year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1991,99,100,6.432499999999891,6.847,0.7013,13377,5.457999999999999,1.7275822725920165,53.021975437605875,18.9,100,71.56097561,6.056666666666672
1992,98,100,6.177499999999895,6.5489999999999995,0.7026,12563,5.546,1.7663797749908667,53.248428853754945,19.2,100,71.49439024,5.846666666666636
1993,98,100,5.9224999999999,6.7,0.7039,12692,5.6339999999999995,1.8051772773897028,53.474882269904015,19.3,100,71.34682927,5.636666666666656
1994,93,100,5.6674999999999045,6.598,0.7052,13042,5.722,1.818011241,53.701335686053085,19.2,100,71.20878049,5.42666666666662
1995,96,100,5.9,6.865,0.7065,13549,5.81,2.860189441,53.927789102202155,19.1,100,71.05341463,5.21666666666664
1996,95,100,5.3,6.986000000000001,0.7078,12445,5.896,1.5999999630000001,54.154242518351225,19.2,100,70.89731707,5.006666666666661
1997,94,100,4.9,6.715,0.7091,10424,5.982,1.9603672869850755,54.380695934500295,19.3,100,70.35121951,4.796666666666624
1998,95,100,4.7,6.4479999999999995,0.7104,11048,6.068,3.499999833,54.607149350649365,19.1,100,71.06097561,4.586666666666645
1999,96,100,4.1,5.706,0.7117,10206,6.154,2.037962291782762,55.5,18.3,100,71.41219512,4.376666666666665
2000,93,100,4.1,5.647,0.713,10774,6.24,5.010949436000001,55.59,17.4,100,71.66341463,4.166666666666629
2001,94,100,3.9,6.1610000000000005,0.7192,11268,6.327999999999999,4.248025257,55.68,16.7,100,71.76829268,3.9566666666666492
2002,93,100,3.2,5.862,0.7254,12033,6.416,6.018122264,55.77,16.0,100,71.86585366,3.7466666666666697
2003,96,100,3.2,6.4510000000000005,0.7316,12754,6.504,5.077522246,55.86,15.2,100,72.06585366,3.5366666666666333
2004,95,100,3.1,6.393,0.7378,13676,6.5920000000000005,6.555566547000001,55.95,14.2,100,72.56341463,3.326666666666654
2005,96,100,2.6,6.582999999999999,0.7440000000000001,14755,6.68,7.236192982,56.04,13.3,100,72.56097561,3.1166666666666742
2006,95,100,2.4,6.792999999999999,0.7502,15880,6.688,6.753133915,56.13,12.4,100,72.61219512,5.4
2007,95,100,2.3,7.349,0.7564,17157,6.696000000000001,7.675350682,56.22,11.8,100,72.66341463,1.6
2008,95,100,2.3,7.183,0.7626,18298,6.704,5.647005366,56.31,11.4,100,72.96341463,1.2
2009,94,100,2.0,6.127000000000001,0.7688,17730,6.712000000000001,2.425937315771179,56.4,11.1,100,73.41219512,1.1
2010,94,100,2.0,6.45,0.775,18055,6.72,0.054557923,56.7455,10.9,100,73.51219512,1.9
2011,95,100,1.3324999999998681,7.2170000000000005,0.778,18502,7.140007843137255,1.915018011,57.0909,10.4,100,74.16341463,2.2
2012,95,100,1.0774999999998727,6.596,0.7809999999999999,18614,7.220724585218704,0.030943607999999997,57.4364,9.9,100,74.31463415,2.0
2013,95,100,0.8224999999998772,5.8629999999999995,0.787,18810,7.301441327300154,0.862092738,57.7818,9.2,100,74.86097561,1.7
2014,88,99,0.5674999999998818,6.257000000000001,0.792,19261,7.382158069381603,1.328849722,58.1273,8.6,100,74.46585366,1.5
2015,91,99,0.3124999999998863,6.728,0.794,20044,7.4628748114630525,3.617442633,58.4727,8.1,100.0,74.61463415,1.0166666666666515
2016,92,99.70153846153846,0.05749999999989086,6.35,0.7938830769230769,20957,7.543591553544502,3.442532048,58.8182,7.7,100.0,74.81219512,0.806666666666672
2017,91.98198198198196,99.6851282051282,-0.1975000000001046,7.251817669172933,0.7980610256410259,21888,7.624308295625951,2.7363173349619103,59.1636,7.4,100.0,74.81463415,0.5966666666666356
2018,91.77619724988142,99.66871794871794,-0.45250000000010004,7.253691599688878,0.8022389743589748,22703,7.705025037707401,2.7751148373607464,59.5091,7.0,100.0,74.96341463,0.38666666666665606
2019,91.57041251778094,99.65230769230769,-0.7075000000000955,7.255565530204823,0.8064169230769238,23670,7.785741779788822,2.8139123397595966,59.8545,6.7,100.0,73.81640104766805,0.17666666666661968
2020,91.3646277856804,99.63589743589742,-0.962500000000091,7.257439460720768,0.8105948717948728,19023.38079096045,7.866458521870271,2.8527098421584327,60.2,3.7058192090394186,100.0,73.8828302075903,-0.03333333333335986
