year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1988,95.0,65.8772649572652,3.986666666666622,2.09,0.4768598290598298,1518.0,4.478,11.23451516,71.12840785510787,53.9,88.9487947674154,68.954,68.86079710144895
1989,95.0,67.0369230769229,3.8466666666666356,2.086,0.4867461538461555,1558.0,4.494,4.185867897,71.63178599918604,54.0,89.41707400559994,69.054,66.14873188405727
1990,97.0,67,3.7066666666666492,2.081,0.499,1595.0,4.51,3.9071138960000003,72.1351641432642,53.8,89.39480591,69.145,66.6
1991,94.0,68,3.566666666666663,2.156,0.5083,1718.0,4.566,9.294075913,72.63854228734237,53.2,89.96698761,69.242,63.4
1992,91.0,70,3.4266666666666197,2.233,0.5176,1937.0,4.622,14.21616358,73.14192043142054,52.3,90.53871155,69.355,60.2
1993,88.0,71,3.2866666666666333,2.363,0.5269,2179.0,4.678,13.86757602,73.6452985754986,50.9,91.10773468,69.49600000000001,57.0
1994,85.0,73,3.146666666666647,2.4859999999999998,0.5362,2434.0,4.734,13.05215872,66.6,49.2,91.67134857,69.67,52.0
1995,80.0,74,3.0066666666666606,2.676,0.5455,2674.0,4.79,10.94922737,70.0,47.4,92.22684479,69.885,47.0
1996,83.0,75,2.8666666666666174,2.7680000000000002,0.5548,2911.0,4.842,9.928372462999999,73.4,45.5,92.77151489,70.14,42.0
1997,84.0,77,2.726666666666631,2.753,0.5641,3152.0,4.894,9.230769231,76.8,43.5,93.30265808,70.428,41.5
1998,84.0,78,2.5866666666666447,2.6210000000000004,0.5734,3376.0,4.946000000000001,7.837613919,80.2,41.4,93.81756592,70.737,41.0
1999,85.0,79,2.4466666666666583,2.5989999999999998,0.5827,3619.0,4.998,7.66748617,83.6,39.2,94.31462859999999,71.063,40.5
2000,85.0,80,2.306666666666672,2.6510000000000002,0.5920000000000001,3910.0,5.05,8.491508492000001,82.92,36.8,94.79665375,71.39699999999999,37.6667
2001,86.0,82,2.1666666666666288,2.699,0.6028,4220.0,5.066,8.33991055,82.24,34.2,95.26753998,71.732,34.8333
2002,86.0,83,2.0,2.9619999999999997,0.6136,4589.0,5.082,9.130645945,81.56,31.5,95.73117828,72.061,32.0
2003,86.0,84,1.9,3.4730000000000003,0.6244,5032.0,5.098,10.03560303,80.88,28.8,96.19146729,72.381,27.6
2004,87.0,85,1.9,3.98,0.6352,5526.0,5.114,10.11122346,80.2,26.3,96.65231323,72.689,23.2
2005,87.0,86,1.6,4.458,0.6459999999999999,6146.0,5.13,11.39577594,79.52,24.0,97.11760712,72.985,18.8
2006,93.0,87,1.4,4.908,0.6568,6933.0,5.164,12.71947902,78.84,21.9,97.59125519,73.271,17.4333
2007,93.0,89,1.2,5.255,0.6676,7931.0,5.1979999999999995,14.23138804,78.16,20.1,98.08387756,73.553,16.0667
2008,97.0,90,1.1,5.614,0.6784,8721.0,5.232,9.654289373,77.48,18.5,98.57659149,73.835,14.7
2009,99.0,91,1.1,5.912999999999999,0.6892,9554.0,5.266,9.399813171,76.8,17.1,99.06166077,74.119,12.95
2010,99.0,91,1.0,6.449,0.7,10565.0,5.3,10.63614046,78.34,15.8,99.7,74.40899999999999,11.2
2011,99.0,92,0.7666666666666515,7.112,0.703,11568.0,5.19,9.536443007999999,79.88,14.6,99.79426575,74.708,7.9
2012,99.0,93,0.6266666666666652,7.2860000000000005,0.713,12463.0,5.08,7.85626211,81.42,13.5,99.94684601,75.013,6.5
2013,99.0,94,0.48666666666662195,7.412000000000001,0.723,13419.0,4.97,7.757635146,82.96,12.5,99.99354553,75.321,1.9
2014,99.0,95,0.3466666666666356,7.398,0.7340000000000001,14383.0,4.86,7.297665959,84.5,11.6,100.0,75.62899999999999,-1.6528985507247853
2015,99.0,96,0.20666666666664923,7.266,0.738,15373.0,4.75,6.900204823999999,85.2333,10.7,101.59233419839995,75.928,-4.364963768116468
2016,99.0,98.34769230769234,0.06666666666666288,7.3629999999999995,0.7536769230769238,16383.0,4.763999999999999,6.699999993,85.9667,9.9,102.06061343658462,76.21,-7.077028985507241
2017,100.4866310160428,99.5073504273505,-0.07333333333338032,6.021058270676718,0.7635632478632495,17484.0,4.7780000000000005,11.40006347358829,86.7,9.2,102.52889267476917,76.47,-9.789094202898923
2018,101.16149732620329,100.66700854700866,-0.21333333333336668,6.135557557687349,0.7734495726495751,18641.0,4.792,11.510559731424735,87.4333,8.5,102.99717191295383,76.704,-12.501159420289696
2019,101.83636363636379,101.82666666666682,-0.35333333333335304,6.25005684469798,0.7833358974358973,19800.0,4.806,11.621055989261151,88.1667,7.9,103.46545115113838,80.52260900058445,-15.213224637681378
2020,102.51122994652405,102.98632478632499,-0.4933333333333394,6.364556131708611,0.7932222222222229,12364.48192090384,4.82,11.731552247097596,88.9,-2.131529411764859,103.93373038932305,80.99407562828753,-17.92528985507306
