year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1983,41,78.72615384615392,12.226617647058823,3.75,0.6190794871794871,14816,3.69,4.571994344885695,77.4154,62.5,92.54375489966924,16.77850994545463,67.942,11.764838709677406
1984,52,79.29641025641035,12.248970588235295,3.661,0.6236957264957272,14998,3.79,3.6101809119999997,76.5231,59.7,92.79625601090765,16.447825018181902,68.38,7.9
1985,40,79.86666666666679,12.271323529411767,3.7260000000000004,0.6283119658119656,15075,3.89,2.59338414,75.6308,57.1,93.04875712214613,16.117140090909174,68.809,8.125
1986,51,80.436923076923,12.293676470588238,3.7289999999999996,0.6329282051282057,14199,3.98,4.271185933935044,74.7385,54.5,93.3012582333846,15.786455163636447,69.232,8.35
1987,62,81.00717948717943,12.316029411764703,3.815,0.637544444444444,14159,4.07,1.8557469919999998,73.8462,52.1,93.55375934462307,15.455770236363719,69.649,8.575
1988,60,81.57743589743586,12.338382352941174,3.738,0.6421606837606841,14045,4.16,1.245438058,72.9538,49.7,93.80626045586155,15.125085309090991,70.062,8.8
1989,65,82.1476923076923,12.360735294117646,4.32,0.6467769230769242,14356,4.25,4.1982932580000005,72.0615,47.5,94.05876156709996,14.794400381818264,70.469,9.025
1990,53,82,12.383088235294117,3.727,0.648,14809,4.34,5.068306313,71.1692,45.3,94.03519440000001,14.463715454545536,70.866,9.25
1991,88,83,12.405441176470589,3.8089999999999997,0.6532,15161,4.404,4.2222507160000005,70.2769,43.2,94.36196899,14.133030527272808,71.248,9.475
1992,90,84,12.42779411764706,3.765,0.6584,15436,4.468,3.628658713,69.3846,41.2,93.145981,13.80234560000008,71.61,9.7
1993,82,84,12.450147058823532,3.7439999999999998,0.6636,15604,4.532,4.0614258539999994,68.4923,39.3,95.01191711,13.471660672727353,71.953,9.15
1994,91,85,12.472499999999997,3.8169999999999997,0.6688,16119,4.596,4.727354828999999,67.6,37.5,95.238294,13.140975745454625,72.279,8.6
1995,91,86,16.9,3.536,0.674,14876,4.66,3.3687607010831186,68.0,35.7,95.64022064,12.810290818181898,72.598,11.35
1996,95,86,15.5,3.617,0.6792,15654,4.7139999999999995,5.874766683,68.4,34.1,96.093624,12.47960589090917,72.925,14.1
1997,95,87,14.2,3.798,0.6844,16497,4.768,6.962888801,68.8,32.5,96.22522736,12.148920963636442,73.268,14.2
1998,96,87,14.1,3.9339999999999997,0.6896,17123,4.822,4.701842416,69.2,31.0,96.09275500000001,11.818236036363714,73.625,14.3
1999,96,88,12.4,3.9010000000000002,0.6948,17380,4.876,2.667013147,69.6,29.6,96.74639893,11.487551109090987,73.988,12.65
2000,97,89,10.7,3.9130000000000003,0.7,18023,4.93,5.296473838,71.71,28.2,98.007132,11.156866181818259,74.34,11.0
2001,97,89,10.2,4.004,0.7045,17735,4.996,2.767143879181816,73.82,27.0,97.20850372,10.826181254545531,74.658,9.9
2002,97,90,9.8,3.968,0.7090000000000001,17506,5.062,0.131917169,75.93,25.8,97.897085,10.495496327272804,74.922,8.8
2003,98,90,9.7,4.164,0.7135,17538,5.127999999999999,1.4226712419999998,78.04,24.7,97.64163208,10.164811400000076,75.118,6.8
2004,98,91,8.9,4.121,0.718,18014,5.194,4.295714251000001,80.15,23.7,98.597701,8.9,75.243,4.8
2005,98,91,9.3,4.296,0.7225,18223,5.26,3.0325736589999996,82.26,22.8,98.932728,8.7,75.3,4.05
2006,98,92,9.7,4.35,0.727,18822,5.28,4.944514348,84.37,22.0,99.11416,8.5,75.296,3.3
2007,98,93,8.1,4.293,0.7315,19011,5.3,3.2041230169999997,86.48,21.2,98.55243683,8.3,75.255,3.55
2008,96,93,12.7,4.336,0.736,18967,5.32,1.40029037,88.59,20.5,98.914037,10.25,75.194,3.8
