year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
2002,71.0,79,0.9570000000000001,0.43200000000000005,3042,5.23,1.6644767549602761,132.89999999999964,90.7,34.2,43.523
2003,68.0,79,0.843,0.4345,2541,5.32,1.5693900961623797,128.39999999999964,90.6,33.77438736,43.195
2004,65.0,79,0.742,0.43700000000000006,2378,5.41,1.4743034373644548,123.89999999999964,91.3,34.01129913,43.065
2005,68.0,79,0.8320000000000001,0.4395,2203,5.5,1.37921677856653,119.39999999999964,92.2,34.25266266,43.24100000000001
2006,70.0,79,0.795,0.442,2114,5.577999999999999,1.2841301197686334,114.89999999999964,94.3,37.2,43.853
2007,73.0,78,0.741,0.4445,2025,5.656000000000001,1.1890434609707086,110.39999999999964,95.3,34.76339722,44.946999999999996
2008,75.0,78,0.5720000000000001,0.447,1685,5.734,1.0939568021727837,105.89999999999964,94.6,35.03491974,46.504
2009,73.0,78,0.405,0.4495,1795,5.812,8.709225274,101.39999999999964,92.1,35.31518936,48.449
2010,89.0,78,0.552,0.452,2129,5.89,15.44687248,96.89999999999964,87.6,35.60245895,50.64
2011,93.0,78,0.665,0.46399999999999997,2408,5.774996078431371,16.33246722,92.39999999999964,81.4,36.9,52.896
2012,95.0,78,0.53,0.488,2781,5.857692006033176,13.60917016,87.89999999999964,73.8,36.19100189,55.032
2013,95.0,77,0.775,0.498,2808,5.94038793363498,5.270354548,83.39999999999964,67.8,36.48876953,56.897
2014,91.0,77,0.779,0.507,2843,6.023083861236785,2.7652707010000004,78.9,64.4,32.3,58.41
2015,87.0,77,0.743,0.516,2859,6.105779788838618,1.42393339,74.4,62.0,37.03030678779987,59.534
2016,90.0,77.23384615384617,0.69,0.4653999999999999,2841,6.188475716440422,0.693918397,69.9,59.5,37.30521573821534,60.294
2017,89.77936507936533,77.11726495726498,0.8019360902255634,0.46576153846153834,2930,6.2711716440422265,0.238176872991545,65.4,58.2,37.58012468863069,60.812
2018,90.41308451308464,77.00068376068378,0.7881897848068462,0.46612307692307686,2983,6.353867571644031,0.14309021419364854,60.9,55.9,37.85503363904604,61.195
2019,91.04680394680418,76.88410256410259,0.7744434793881254,0.4664846153846153,2777,6.436563499245835,0.04800355539572365,56.4,54.6,38.12994258946151,51.04915488018705
2020,91.68052338052348,76.76752136752137,0.7606971739694082,0.4668461538461538,2835.5525423728814,6.519259426847668,-0.04708310340220123,51.9,62.679604519773875,38.40485153987686,50.936936879018134
