year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1980,11.973015873015356,60.784615384615336,2.578571428571429,0.094,0.308600000000002,1210,1.65,0.8191418690000001,79.46196583850929,198.6,-15.713900338428175,49.52872161818186,52.9,47.1513957307061
1981,1.0,61.54290598290595,2.585714285714287,0.095,0.3165023931623949,1241,1.726,7.233943695,79.74291614906838,194.0,-13.362750863405381,48.201674376363826,53.376000000000005,46.31776135741666
1982,1.0,62.301196581196564,2.5928571428571434,0.1,0.32440478632478786,1251,1.8019999999999998,2.1343278359999998,80.02386645962736,189.3,-11.011601388381678,46.874627134545335,53.794,45.48412698412699
1983,1.0,63.05948717948718,2.6000000000000014,0.09300000000000001,0.3323071794871808,1279,1.8780000000000001,3.8810464,80.30481677018633,184.3,-8.660451913358884,45.5475798927273,54.225,38.5
1984,1.0,63.81777777777779,2.6071428571428577,0.10099999999999999,0.34020957264957374,1303,1.954,4.803310015,80.58576708074531,179.0,-6.30930243833609,44.22053265090926,54.693000000000005,36.55
1985,2.0,64.57606837606818,2.6142857142857157,0.11,0.3481119658119667,1322,2.03,3.3420146539999998,80.8667173913044,173.5,-3.958152963313296,42.89348540909077,55.21,34.6
1986,4.0,65.33435897435879,2.621428571428572,0.12,0.3560143589743596,1343,2.064,4.173382558999999,81.14766770186338,167.7,-1.6070034882895925,41.566438167272736,55.772,37.7
1987,9.0,66.0926495726494,2.62857142857143,0.12,0.36391675213675434,1351,2.0980000000000003,3.7724018530000003,81.42861801242236,161.7,0.7441459867332014,40.2393909254547,56.358999999999995,40.8
1988,16.0,66.85094017094002,2.635714285714286,0.134,0.3718191452991473,1351,2.1319999999999997,2.416256856,81.70956832298134,155.7,3.0952954617559953,38.91234368363621,56.958,43.9
1989,49.0,67.60923076923063,2.642857142857144,0.13,0.3797215384615402,1376,2.166,2.836582129,81.99051863354043,149.8,5.446444936779699,37.58529644181817,57.571000000000005,44.0
1990,69.0,68,2.6500000000000004,0.146,0.386,1406,2.2,5.6222581620000005,82.27146894409941,143.8,7.576311587999999,36.25824920000014,58.21,44.1
1991,74.0,69,2.6571428571428584,0.147,0.3942,1435,2.248,3.485227815,82.55241925465839,137.9,9.997324943999999,34.931201958181646,58.891000000000005,44.2
1992,66.0,70,2.6642857142857164,0.159,0.4024,1473,2.296,5.442685551,82.83336956521737,131.9,12.41788769,33.60415471636361,59.618,41.925
1993,74.0,71,2.6714285714285726,0.153,0.4106,1506,2.344,4.711561724,83.11431987577646,126.0,14.8357439,32.27710747454557,60.388000000000005,39.65
1994,84.0,71,2.6785714285714306,0.163,0.4188,1543,2.392,3.890126441,83.39527018633544,120.0,17.8,30.950060232727083,61.19,37.375
1995,69.0,72,2.685714285714287,0.192,0.42700000000000005,1586,2.44,5.121277897,83.67622049689442,114.2,19.65251732,29.623012990909046,62.001999999999995,35.1
1996,77.0,73,2.692857142857145,0.198,0.4352,1634,2.5180000000000002,4.522919218,83.9571708074534,108.4,22.04602051,28.29596574909101,62.798,34.82
1997,78.0,74,2.700000000000001,0.20199999999999999,0.4434,1689,2.596,4.489896497,84.23812111801249,102.7,22.4,26.96891850727252,63.553000000000004,34.54
1998,77.0,74,2.707142857142859,0.19,0.4516,1740,2.674,5.177026873,84.51907142857146,97.1,26.789737699999996,25.641871265454483,64.25,34.26
1999,80.0,75,2.7142857142857153,0.195,0.4598,1801,2.752,4.670156368,84.8,91.7,29.13563728,24.314824023636447,64.881,33.98
2000,82.0,76,2.7214285714285733,0.212,0.46799999999999997,1869,2.83,5.293294718,85.081,86.5,32.0,22.987776781817956,65.447,33.7
