Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gambia,,,,,,,0.00258633,0.0049424,0.0113,0.017588528,0.0190116,0.018423761,0.0208254,0.025187813,0.027913858,0.02368483,0.143691257,0.181363101,0.18449059
"Guinea Bissau",,,,,,,,,,,,,0.050421524,0.061567711,0.072314882,0.085198518,0.079906152,0.058787567,0.039396345
"Equatorial Guinea",,,,,,,,0.029818702,0.028961396,0.028141797,0.027354584,0.026593741,0.170361422,0.187989877,0.201006117,0.4647206,0.498804078,0.47524807,0.487255824
Greece,,,,,,0.094962457,0.466276319,1.450083239,4.416913654,9.19387065,13.59732413,17.2698168,20.27590642,22.16368744,24.17541819,26.17895056,28.36049985,30.91035071,32.50921267
Grenada,,,,,0.551425577,0.5723,0.593249233,3.1296442,5.368971528,7.336898809,8.615248432,11.86143284,13.79195048,13.96539582,15.16832096,16.99764866,17.69564358,18.51744241,19.44724651
Greenland,,,,,,0.209758161,5.836746893,12.51558302,16.18972332,18.56310611,21.19629466,22.16761831,21.9113642,20.99918765,20.03979784,18.95169074,18.19326849,17.45962462,
Guatemala,,,,,,,,0.213787942,0.300106792,0.427994408,0.692393569,1.11516287,1.805938204,1.8322,1.858417694,2.280976013,2.734816025,2.828940885,3.03840435
Guam,,,,1.118804222,1.2166,1.3143,1.412,1.5098,1.6075,1.705288288,1.705514497,1.891300647,1.881585549,1.86,1.8384,1.816816453,1.790553042,,
Guyana,,,,,,,,0.26286943,0.2847,0.306591191,0.655375068,0.873562041,1.423817556,2.597100452,3.769445377,4.614732377,5.627260703,6.6476311,7.641123541
"Hong Kong",0.166876096,1.28429809,6.502274004,10.3940342,15.03158456,18.35867589,22.00733616,24.05645262,25.99226616,27.38288399,27.77729939,29.30490243,30.74983609,32.39689537,31.54565585,31.02823274,31.42438621,32.10247763,35.46104221
Honduras,,,,,,,,,,,,,0.013121286,0.736690735,0.772154601,0.851983924,1.910867889,2.343078641,2.562728652
Croatia,,,,,,0.077073562,0.595494335,2.647614174,5.750695256,8.858323357,12.1094895,16.49116193,19.3143565,20.64920804,21.34042125,22.25602919,23.04482351,23.17575376,24.61803304
Haiti,,,,,,,,,,,,,,,,,,0.012712507,0.012546644
Hungary,,,0.033254719,0.307803059,1.096100728,2.606040893,4.06321606,6.454945759,11.90024786,14.45723028,17.62456478,19.70595237,21.56265736,23.13965059,24.01752372,26.08914508,25.97897973,27.43098954,28.459294
Indonesia,,,0.001914437,0.007076461,0.017810782,0.028238019,0.038365287,0.048200092,0.08535732,0.33716956,0.419034913,0.784810045,0.94746107,1.122379247,1.208356703,1.301419482,1.344871567,1.557631272,1.894337084
India,,,,0.004719203,0.007653809,0.012832666,0.021159236,0.11959435,0.20117392,0.270038204,0.449490875,0.650824488,0.91156066,1.093323336,1.211477217,1.192172985,1.242699781,1.321185131,1.444284754
Ireland,,,,,0.269317496,1.042224556,3.722658286,7.756129025,13.29120154,17.68361396,20.48054339,22.13804031,22.83044373,23.67483822,24.30307547,25.70061677,26.9118345,27.70270556,28.48257535
