Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nigeria,29.17,29.17,29.17,37.67,37.67,37.67,37.67,37.67,37.67,37.67,47.71,48.59,48.59,48.59
Norway,77.59,77.59,77.59,77.59,77.59,77.59,78.41,78.41,78.41,78.41,78.41,77.14,77.14,78.99
Oman,50.67,50.67,50.67,50.67,50.67,50.67,50.67,50.67,50.67,50.67,50.67,61.55,61.55,61.55
Pakistan,44.31,44.31,44.31,44.31,44.31,41.68,41.68,41.68,41.68,38.41,40.32,45.34,43.49,43.49
Palau,50.24,50.24,50.24,50.24,50.26,50.24,50.24,50.24,50.24,50.24,51.28,52.21,52.21,52.21
Panama,54.37,54.37,54.37,54.37,54.37,54.37,54.37,58.87,58.87,58.87,58.87,48.1,48.1,48.1
"Papua New Guinea",30.88,30.88,30.88,30.88,30.88,30.88,31.92,31.92,31.92,31.92,31.92,36.21,36.21,36.21
Paraguay,58.21,58.21,58.21,58.21,58.21,58.21,58.21,58.21,58.21,57.8,57.8,59.77,59.77,59.77
Peru,53.06,53.06,53.06,56.31,56.31,56.31,57.4,57.4,57.4,57.4,57.46,60.7,60.7,60.7
Philippines,50.52,53.8,54.35,53.9,53.9,53.9,53.9,53.9,53.9,53.9,52.02,49.24,49.24,49.24
Poland,52.2,52.2,52.75,52.75,56.85,56.85,56.85,56.85,56.85,64.98,64.83,63.44,63.44,63.44
Portugal,65.56,64.52,64.52,64.52,64.52,65.56,69.95,69.95,69.95,69.95,69.95,73.01,73.01,73.01
"Puerto Rico",58.03,58.03,58.03,58.03,58.03,58.03,58.03,58.03,58.03,57.75,57.75,56.13,56.13,56.13
Qatar,,,,,56.73,56.73,56.73,56.73,56.73,56.73,56.73,54.64,52.79,52.79
Romania,66.6,66.6,66.6,66.6,66.6,68.32,64.95,64.95,64.95,64.95,64.95,71.08,71.08,71.08
Russia,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,75.43,75.73,75.25,75.78,75.78,74.96
Rwanda,55.44,55.44,62.21,62.21,62.21,62.21,63.58,64.4,64.4,65.44,65.44,53.06,53.06,56.76
"Saint Thomas and Principe",,29.09,29.09,29.09,29.09,29.09,29.09,29.09,29.09,29.91,32.37,31.21,31.21,31.21
Samoa,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,57.78,60.44,60.44,60.44
"San Marino",,,,,,,,,,68.85,68.85,59.25,59.25,59.25
"Saudi Arabia",52.74,52.74,52.74,52.74,52.74,52.74,52.74,52.74,52.74,54.82,54.82,56.92,55.07,55.07
Senegal,48.11,48.11,48.11,48.11,48.11,48.11,48.11,48.11,49.15,49.15,45.71,46.3,48.15,48.15
Serbia,43.96,43.96,59.69,59.69,59.69,59.51,59.51,59.51,58.61,58.61,57.59,63.96,63.96,61.41
Seychelles,,,61.62,61.62,61.62,61.62,61.62,61.2,55.88,55.88,55.88,49.39,49.39,51.25
"Sierra Leone",36.08,36.08,36.08,36.08,36.08,36.08,36.08,36.08,37.12,37.12,55.68,55.92,55.92,55.92
Singapore,93.36,93.36,93.36,93.36,93.36,89.54,89.54,89.54,89.54,89.16,89.16,83.61,83.61,83.61
Slovakia,63.28,65.74,65.74,65.74,65.74,65.74,64.13,64.13,64.13,64.68,64.68,58.92,58.92,58.92
Slovenia,47.86,47.86,48.27,48.27,48.27,48.27,51.85,51.85,51.85,51.85,52.4,49.97,52.97,52.97
"Solomon Islands",44.63,44.63,44.63,44.63,44.64,44.63,44.63,44.63,44.63,44.63,44.63,44.63,44.63,44.63
Somalia,,,,,,,,,,,,,54.58,54.58
"South Africa",65.1,65.1,65.1,65.1,65.1,65.1,65.1,66.14,66.14,66.14,66.14,54.1,54.1,54.1
"South Sudan",,,,,,,,,,57.71,57.71,59.91,59.91,59.91
Spain,60.92,60.92,60.92,60.92,61.96,61.96,61.96,63,63,63.14,62.65,67.63,67.63,69.48
"Sri Lanka",38.96,38.96,38.96,38.96,38.96,38.96,38.96,38.96,38.96,38.96,38.96,39.31,39.31,39.31
"Saint Kitts and Nevis",,,52.08,52.08,52.08,53.12,53.12,53.12,53.12,51.51,51.51,65.51,65.51,65.51
"Saint Lucia",,,44.9,44.9,44.9,45.94,45.94,45.94,45.94,45.94,45.94,59.94,59.94,59.94
"Saint Vincent and Grenadines",,,56.19,56.19,56.19,57.23,57.23,57.23,57.23,51.74,51.74,63.66,63.66,63.66
Sudan,,40.43,40.43,40.43,40.43,40.43,40.43,40.43,40.43,40.43,40.43,48.76,46.91,46.91
Suriname,,,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.84,25.94,25.94,25.94
Swaziland,,,35.93,35.93,35.93,35.93,35.93,35.93,35.93,36.37,36.37,33.94,33.94,33.94
Sweden,67.28,67.28,67.28,67.28,67.28,67.28,72.62,72.62,72.62,72.62,72.43,71.74,72.04,72.04
Switzerland,71.7,71.7,71.7,71.7,71.7,70.65,70.65,70.65,71.38,71.38,71.38,67.1,67.1,67.1
Syria,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,44.43,42.58,42.58
Taiwan,57.75,57.75,57.75,57.75,57.75,57.75,57.75,57.75,57.75,57.75,57.75,73.49,73.49,73.49
Tajikistan,,,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,63.49,63.49,63.49
Tanzania,66.17,66.17,66.17,66.17,66.17,66.17,66.17,66.17,66.17,66.17,66.17,61.66,61.66,61.66
Thailand,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,68.98,70.05,70.05,64.54,64.54,64.54
"Timor Leste",,2.08,2.08,2.08,2.08,2.08,2.08,3.59,3.59,3.59,3.59,6.13,6.13,6.13
Togo,48.61,48.61,48.61,48.61,48.61,48.61,48.61,48.61,48.61,48.61,49.65,45.37,48.1,48.1
Tonga,61.28,61.28,61.28,61.28,65.65,65.65,65.65,65.65,65.65,65.65,65.65,57.32,57.32,57.32
"Trinidad and Tobago",,,32.27,32.27,32.27,32.27,32.27,32.27,32.27,32.27,32.27,36.55,36.55,36.55
Tunisia,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,59.33,59.33,59.33
Turkey,64.94,64.94,64.94,64.94,64.94,65.98,65.98,65.75,65.75,66.88,66.88,73.25,68.87,68.87
Uganda,54.15,54.15,54.15,54.15,54.15,54.15,54.84,55.38,55.38,55.38,60.48,60.6,60.6,60.6
Ukraine,68.71,68.71,68.71,66.94,66.94,66.94,67.19,67.19,67.19,67.19,66.25,57.11,57.11,58.96
"United Arab Emirates",51.12,51.12,51.12,51.12,51.12,52.17,52.17,52.17,52.17,52.52,52.52,70.58,71.37,71.14
"United Kingdom",70.61,69.11,67.61,66.86,66.68,66.68,66.81,68.9,69.12,68.08,68.08,70.86,69.36,69.36
"United States",77.22,77.22,77.22,78.26,76.76,76.76,76.76,76.76,76.76,74.85,67.26,72.61,72.61,72.61
Uruguay,55.15,55.15,55.15,55.15,55.15,55.15,55.15,55.15,55.15,55.02,55.02,54.44,54.44,54.44
Uzbekistan,66.97,66.97,66.97,66.97,66.97,67.61,67.61,67.61,67.61,67.61,68.65,67.26,67.26,67.26
Vanuatu,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,51.13,51.13,51.13
Venezuela,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,62.26,60.89,48.97,48.97,48.97
Vietnam,63.47,63.47,65.14,65.14,65.14,65.14,66.08,66.08,66.08,65.89,65.89,60.22,60.22,60.22
"West Bank and Gaza",,50.11,50.11,50.11,50.11,50.11,52.84,54.48,54.48,54.48,54.48,54.36,52.51,52.51
Yemen,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,60.13,60.13,50.37,48.52,48.52
Zambia,61.35,61.35,61.35,61.35,61.35,57.53,57.53,57.53,57.53,57.53,57.53,49.89,49.89,49.89
Zimbabwe,62.41,62.41,62.41,62.41,62.42,62.41,62.41,41.03,41.03,41.03,43.25,38.73,38.73,38.73
