Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Colombia,,,,,,,,,,,,612.5837421,598.9752883,589.0715599,610.1127391,623.4820388,633.8095673,638.0253608,621.0849709,592.8004089,638.3331831,632.0407629,635.432806,641.620901,648.6846858,644.5851641,687.1891042,696.0664144,702.9327955,694.9587033,706.7843269,701.2890025,704.3548183,723.8384416,736.6057204,737.1056021,743.0337398,709.8216655,732.1954836,645.1744895,638.885824,627.1794158,606.2667498,610.4943019,608.5252039,625.6974543,649.3761868,637.511839,659.6119501,676.0442715,679.5304257,673.4314089,672.8682491,710.8577721,711.5831798,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.36015552,44.3294,45.2987,46.2679,47.2372,48.2064,49.1757,50.1449,51.1142,52.0834,53.0527,54.0219,54.9912,55.9604,56.9296818,60.49438628,67.04713254,63.90075122,,,,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,324.8055658,324.4067037,326.9249327,326.9191766,326.2049577,322.0248371,322.6937567,322.2926544,327.1099269,321.2018669,328.4358257,320.8681628,333.49144,341.8261727,333.0622579,330.8309726,335.0568762,337.6481114,335.6892563,340.8487597,328.9062386,322.084471,315.9467466,305.7492283,308.5832291,310.3064576,308.1272876,308.5583357,302.6800103,295.4088427,297.0128448,298.4435713,300.2105486,302.5005724,304.3472655,305.8663077,306.8263273,307.846518,306.7412003,307.6133487,315.9632511,379.1481403,385.4002227,389.5673879,
"Congo (Brazzaville)",,,,,,,,,,,,361.5131913,363.1309642,355.9794579,352.0143386,347.8178837,369.8710759,341.7638883,344.8662778,334.7402454,336.8455951,337.2054114,347.1979992,377.694714,355.0779157,359.3052821,343.7994448,339.9205743,321.9281562,325.2616412,322.599005,327.7961473,315.115239,308.5224997,258.8517086,287.4375503,263.3388464,244.9142101,238.21394,227.9354561,220.0657402,239.9856928,235.2561356,270.0747662,278.6007474,292.283748,369.1895486,316.8682219,327.601335,361.9137826,382.2638147,494.7654746,552.2794135,552.4870285,539.5316172,
"Costa Rica",,,,,,,,,,,,425.6373923,443.1929773,470.5019634,449.0164159,474.4339082,466.4463859,529.1718851,557.8469071,561.2858361,525.9773742,480.8410642,456.3809314,437.0415417,461.6564296,462.9300869,473.0384229,491.5704313,491.2080153,533.3646908,541.8073996,560.4788187,705.4870258,701.8674626,674.4136218,671.4878069,658.2569955,651.0534998,632.7642631,683.0221349,732.0406894,723.2672254,748.4763256,791.1248043,923.5660149,910.0460681,970.7370554,1031.807755,1035.296922,1016.184658,1022.180592,1011.850953,1016.805748,1029.01049,1031.141495,
"Ivory Coast",,,,,,,,,,,,448.0322258,454.0609045,447.4795065,445.5253187,447.9066624,460.9135196,448.8157258,458.607361,443.5399864,430.9211538,410.7964664,391.6022526,366.3280549,358.2552713,361.6714134,386.3178769,380.6009827,373.6589503,373.1753795,354.1901802,351.6897078,370.3634402,370.6108562,367.3344855,354.4486487,386.0685474,382.4350223,370.9333445,430.9777658,406.9103873,383.2165934,401.9087996,373.2243625,516.6769291,524.5566132,505.820363,533.3992702,524.7880986,470.3419871,498.1457337,557.6018467,589.7941616,615.9285182,615.803314,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980.098326,1811.534812,1673.259955,1666.030819,1629.831828,1674.411009,1795.659991,1866.664479,1958.89469,1912.81928,1894.743561,1960.546622,2016.981532,2163.808559,2163.357964,2194.35457,2183.136036,2272.140893,2215.901291,2145.362534,2124.919275,2140.436133,2020.752383,1983.867947,1897.840665,
Cuba,,,,,,,,,,,,1182.379494,1118.912058,1175.464459,1226.389002,1242.585588,1290.265123,1389.872212,1460.990659,1487.920272,1488.695018,1489.85205,1503.685361,1578.045584,1536.195105,1516.815301,1498.928166,1547.192691,1607.897762,1746.403117,1645.064142,1350.827606,1175.85234,976.6097978,1001.235694,995.8989709,1082.022536,1106.34863,1032.407977,1069.671442,1142.289352,1112.485252,1033.724199,1026.135883,1000.961752,945.5317955,943.0465891,897.1440911,952.0419277,1008.401214,1089.10072,1022.088041,1053.639709,1010.566267,1022.668906,
Curacao,,,,,,,,,,,,37113.33953,36146.69961,40710.11218,37557.34036,25763.47323,28353.1282,28090.6737,25027.22106,25303.04158,26517.45125,25001.64167,27354.02163,28902.85064,19859.93813,11685.01942,11099.90043,9544.039193,8775.992603,9465.437568,10030.15131,10062.53333,10501.83445,8854.510426,8997.116781,9055.71211,9222.18501,16175.1953,18814.37234,14680.92492,15720.11056,16994.13392,16662.99292,15566.69219,16180.823,15178.82724,14581.1072,16222.45516,15326.48752,15608.494,13710.07982,16064.05182,13395.36979,11727.50972,12650.86044,
Cyprus,,,,,,,,,,,,945.8202265,1188.65545,1231.202105,924.7469016,869.1814607,998.4441869,1074.366518,1123.517084,1208.198103,1261.513614,1232.101374,1247.82493,1290.513877,1327.217196,1306.774177,1460.411516,1635.553927,1642.211115,1675.881839,1780.703196,1778.897219,1958.800113,2056.481152,2298.322801,1981.394321,2157.549091,2071.928384,2174.776385,2145.320447,2265.416851,2201.681381,2193.67716,2346.799347,2161.633396,2159.602708,2207.924561,2292.226655,2388.589477,2299.81076,2195.347504,2105.25277,1961.784466,1687.785428,1712.124092,
"Czech Republic",,,,,,,,,,,,4618.408711,4613.780591,4551.296952,4194.684185,4342.960366,4438.443585,4716.462701,4429.802566,4703.037045,4557.317686,4567.93052,4633.611367,4646.574497,4740.971072,4764.268339,4839.935925,4978.254945,4876.221068,4739.002775,4796.941458,4349.236238,4222.416576,4089.408515,3963.314094,4019.804879,4152.938259,4184.884684,4057.405827,3782.889207,3988.038494,4111.152482,4163.450106,4357.572662,4460.259931,4400.878113,4491.516134,4468.960352,4330.712691,4034.74351,4237.896741,4077.356059,4054.085018,3989.991414,3915.113582,3860.002964
Denmark,1922.973673,2023.30839,2296.289563,2502.927644,2600.155821,2822.734845,3067.427832,3061.110107,3203.752279,3699.530444,3971.430728,3728.538022,3858.592122,3781.757201,3489.606459,3453.207222,3745.561839,3830.10381,3894.637761,4020.036542,3735.144086,3381.43445,3422.374805,3233.1601,3353.461203,3774.101134,3823.501807,3819.832129,3642.119646,3414.211605,3376.783307,3734.818398,3561.890369,3645.515346,3760.577237,3706.440187,4170.252024,3848.155844,3772.110277,3602.670638,3489.614796,3583.955723,3535.098014,3727.834179,3597.17296,3487.631914,3728.171039,3622.596833,3501.513847,3329.211067,3510.79685,3230.188031,3091.58158,3125.33776,2872.573547,2816.614565
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.2863966,216.8773,213.4682,210.059,206.6499,203.2408,199.8317,196.4226,193.0135,189.6043,186.1952,182.7861,179.377,175.9679,172.5587478,177.4647815,179.6013102,176.673643,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.5025802,316.7626,335.0226,353.2826,371.5426,389.8026,408.0626,426.3226,444.5826,462.8426,481.1026,499.3626,517.6226,535.8826,554.1425709,580.5145341,593.1616931,606.0606061,,,,,,,,
"Dominican Republic",,,,,,,,,,,,505.4012922,573.3728661,586.3150678,600.9449598,598.2221135,602.9233118,601.9520073,602.6264554,611.5821352,591.237555,597.8690324,596.9332864,620.7952975,639.7646126,521.8873712,530.4790945,588.6270989,552.1902807,533.7668078,558.8846445,552.4289951,600.900496,571.4694871,644.4148704,664.8650231,682.1374914,748.6542491,778.5286948,797.021086,843.1627602,805.0811268,841.2714264,784.2144527,698.7314509,748.5467492,763.916636,766.0743451,757.6793282,733.5581,760.7701972,764.8009718,797.4015628,742.472058,734.4078962,
Ecuador,,,,,,,,,,,,357.9750465,360.6004376,355.6864606,419.1307236,449.6612541,486.7903288,568.0737823,569.8214953,586.0520211,626.3771643,635.0927279,666.6354102,602.7435063,629.4941913,620.7638775,603.0214261,602.4702527,615.7186193,574.6324911,619.492232,636.0042405,629.2209537,573.4876409,600.2874654,687.9602202,709.538058,721.6874677,726.9799904,641.723469,698.0762549,727.860058,698.3952797,697.1796971,662.3376614,679.8225411,671.493283,746.9489357,676.5870948,792.5427847,788.0642317,821.168247,797.9498389,846.4532271,891.6886204,
Egypt,,,,,,,,,,,,217.4724068,234.5377369,213.6157621,234.0367635,249.8747949,284.5079422,303.5466828,305.5758939,328.2106626,342.295866,389.0129857,415.3422775,449.1027713,485.0010593,511.0142549,510.652993,529.1505451,527.1335173,547.4351377,561.7428103,549.2365672,551.5418901,560.3487757,528.5536639,551.3367735,574.1954194,587.0087273,617.5315002,619.8348211,580.604826,639.9419096,647.7377265,659.7785579,699.9301119,800.698282,831.0911489,874.7954496,892.8210496,896.785585,862.5107342,886.313268,891.2415468,835.3735486,814.9880595,
