Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chad,2.259,2.259,2.259,2.259,2.259,2.259,2.259,2.259,2.259,2.259,2.259,2.29,2.321,2.352,2.383,2.414,2.4218,2.4296,2.4374,2.4452,2.453,2.4616,2.4702,2.4788,2.4874,2.496,2.5218,2.5476,2.5734,2.5992,2.625,2.6654,2.7058,2.7462,2.7866,2.827,2.8426,2.8582,2.8738,2.8894,2.905,2.9986,3.0922,3.1858,3.2794,3.373,3.467,3.561,3.655,3.749,3.843,3.843,3.843,3.843,3.843,3.843
Chile,5.1,5.127,5.154,5.181,5.208,5.235,5.299,5.363,5.427,5.491,5.555,5.5814,5.6078,5.6342,5.6606,5.687,5.5548,5.4226,5.2904,5.1582,5.026,4.8972,4.7684,4.6396,4.5108,4.382,4.2214,4.0608,3.9002,3.7396,3.579,3.4708,3.3626,3.2544,3.1462,3.038,2.9766,2.9152,2.8538,2.7924,2.731,2.6396,2.5482,2.4568,2.3654,2.274,2.2794,2.2848,2.2902,2.2956,2.301,2.3026,2.3042,2.3058,2.3074,2.309
China,10.94,10.912,10.884,10.856,10.828,10.8,10.76,10.72,10.68,10.64,10.6,10.574,10.548,10.522,10.496,10.47,10.582,10.694,10.806,10.918,11.03,11.492,11.954,12.416,12.878,13.34,13.414,13.488,13.562,13.636,13.71,13.704,13.698,13.692,13.686,13.68,13.58,13.48,13.38,13.28,13.18,13.098,13.016,12.934,12.852,12.77,12.768,12.766,12.764,12.762,12.76,12.76,12.76,12.76,12.76,12.76
Colombia,4.355,4.3638,4.3726,4.3814,4.3902,4.399,4.407,4.415,4.423,4.431,4.439,4.4526,4.4662,4.4798,4.4934,4.507,4.5206,4.5342,4.5478,4.5614,4.575,4.5916,4.6082,4.6248,4.6414,4.658,4.5848,4.5116,4.4384,4.3652,4.292,4.1792,4.0664,3.9536,3.8408,3.728,3.6368,3.5456,3.4544,3.3632,3.272,3.243,3.214,3.185,3.156,3.127,3.1064,3.0858,3.0652,3.0446,3.024,3.0408,3.0576,3.0744,3.0912,3.108
Comoros,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,42.99,43.526,44.062,44.598,45.134,45.67,47.068,48.466,49.864,51.262,52.66,52.874,53.088,53.302,53.516,53.73,54.914,56.098,57.282,58.466,59.65,60.616,61.582,62.548,63.514,64.48,64.266,64.052,63.838,63.624,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41
"Congo (Brazzaville)",1.579,1.5808,1.5826,1.5844,1.5862,1.588,1.592,1.596,1.6,1.604,1.608,1.6168,1.6256,1.6344,1.6432,1.652,1.6456,1.6392,1.6328,1.6264,1.62,1.6118,1.6036,1.5954,1.5872,1.579,1.5702,1.5614,1.5526,1.5438,1.535,1.5414,1.5478,1.5542,1.5606,1.567,1.5694,1.5718,1.5742,1.5766,1.579,1.5848,1.5906,1.5964,1.6022,1.608,1.6384,1.6688,1.6992,1.7296,1.76,1.7746,1.7892,1.8038,1.8184,1.833
"Cook Islands",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24.166,23.332,22.498,21.664,20.83,20.83,20.83,20.83,20.83,20.83,19.648,18.466,17.284,16.102,14.92,13.7526,12.5852,11.4178,10.2504,9.083,8.5164,7.9498,7.3832,6.8166,6.25,6.25,6.25,6.25,6.25,6.25
"Costa Rica",9.491,9.495,9.499,9.503,9.507,9.511,9.554,9.597,9.64,9.683,9.726,9.726,9.726,9.726,9.726,9.726,9.7848,9.8436,9.9024,9.9612,10.02,10.074,10.128,10.182,10.236,10.29,10.228,10.166,10.104,10.042,9.98,9.9018,9.8236,9.7454,9.6672,9.589,9.589,9.589,9.589,9.589,9.589,9.6282,9.6674,9.7066,9.7458,9.785,9.968,10.151,10.334,10.517,10.7,10.698,10.696,10.694,10.692,10.69
"Ivory Coast",8.931,9.0986,9.2662,9.4338,9.6014,9.769,9.8672,9.9654,10.0636,10.1618,10.26,10.738,11.216,11.694,12.172,12.65,12.904,13.158,13.412,13.666,13.92,14.486,15.052,15.618,16.184,16.75,17.246,17.742,18.238,18.734,19.23,19.54,19.85,20.16,20.47,20.78,20.718,20.656,20.594,20.532,20.47,20.966,21.462,21.958,22.454,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43,22.658,21.886,21.114,20.342,19.57,18.938,18.306,17.674,17.042,16.41,16.422,16.434,16.446,16.458,16.47,16.658,16.846,17.034,17.222,17.41,17.076,16.742,16.408,16.074,15.74
