Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Taiwan,3.444447678,2.785323867,3.041098651,3.43798806,3.688705121,4.168822477,4.33554427,4.161721837,3.939225852
Tajikistan,2.903090018,2.951687688,2.960635998,3.0796419,3.627065749,3.943689257,3.801571886,3.7786,3.75555563
Tanzania,2.931274479,3.13670529,2.829546238,2.9115772,3.124424892,3.193985675,2.84704453,2.772089472,2.883267798
Thailand,2.829917929,2.696333333,2.733467487,2.662152754,2.475237324,2.356860098,2.205760923,2.019714692,1.927724956
"Timor Leste",2.309169347,2.136025265,2.646253065,3.088218512,3.280872333,3.122236607,3.11733067,3.152284777,2.952683435
"Trinidad and Tobago",1.818547885,1.754831012,1.850507119,2.072109588,2.118322892,2.233094033,2.219994417,2.216446299,2.009104503
Tunisia,4.549769541,4.879034462,4.986745309,4.734162611,5.00012019,3.957216388,3.6084,3.259530499,3.115255958
Turkey,2.619421921,2.786384412,2.384296483,2.177866369,2.500954934,2.781291986,3.370345137,3.642497956,3.142253438
Uganda,1.916276442,1.96154239,1.960169848,2.010990177,2.242488725,2.414881048,2.54944005,2.415918967,2.458447134
Ukraine,1.931422351,1.827740619,2.009497222,1.984703013,1.861182473,2.0115664,2.040330494,2.153114039,2.424643315
"United Arab Emirates",5.032457624,5.409641545,5.630853809,5.879778129,5.588154903,5.442762278,5.819526637,5.940901,6.046255422
"United Kingdom",4.159204386,3.816858244,3.605974137,3.445264451,3.235638691,3.428699154,3.822095585,4.184358727,4.513496794
"United States",3.741921377,3.339249836,3.428764662,3.42287242,3.279322993,3.23086401,3.127171771,3.310087548,3.394140197
Uruguay,3.307532763,3.747032828,3.96102629,3.944911671,4.184309996,4.38208737,4.297698674,4.420532995,4.504298716
Venezuela,1.369140149,1.348493407,1.39405144,1.604566313,1.477343876,1.498582552,1.690708396,1.601489232,1.408861568
Vietnam,2.618221574,2.895078655,3.200206439,3.627214545,3.912447316,3.67894394,3.41849295,3.366162312,3.380115716
Yemen,,,,,,2.316168,2.553100762,2.581650464,2.416039153
Zambia,1.614583333,1.937657441,2.302928378,2.42943542,2.448715185,2.446369486,3.170006688,3.377222635,2.983837807
Zimbabwe,1.435267857,1.250793651,1.410361313,1.602250257,1.97519148,2.041389667,1.7939793,1.868493555,1.890895516
