Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"Ivory Coast",0.84,0.848,0.856,0.864,0.872,0.88,0.896,0.912,0.928,0.944,0.96,0.98,1,1.02,1.04,1.06,1.106,1.152,1.198,1.244,1.29,1.374,1.458,1.542,1.626,1.71,1.78,1.85,1.92,1.99,2.06,2.122,2.184,2.246,2.308,2.37,2.434,2.498,2.562,2.626,2.69,2.812,2.934,3.056,3.178,3.3,3.414,3.528,3.642,3.756,3.87,3.948,4.026,4.104,4.182,4.26,4.338,4.416,4.494,4.572,4.65
Croatia,5.66,5.728,5.796,5.864,5.932,6,6.082,6.164,6.246,6.328,6.41,6.454,6.498,6.542,6.586,6.63,6.716,6.802,6.888,6.974,7.06,7.174,7.288,7.402,7.516,7.63,7.712,7.794,7.876,7.958,8.04,8.12,8.2,8.28,8.36,8.44,8.466,8.492,8.518,8.544,8.57,8.672,8.774,8.876,8.978,9.08,9.206,9.332,9.458,9.584,9.71,9.884,10.058,10.232,10.406,10.58,10.724,10.868,11.012,11.156,11.3
Cuba,3.49,3.506,3.522,3.538,3.554,3.57,3.654,3.738,3.822,3.906,3.99,4.09,4.19,4.29,4.39,4.49,4.652,4.814,4.976,5.138,5.3,5.486,5.672,5.858,6.044,6.23,6.596,6.962,7.328,7.694,8.06,8.066,8.072,8.078,8.084,8.09,8.18,8.27,8.36,8.45,8.54,8.592,8.644,8.696,8.748,8.8,8.822,8.844,8.866,8.888,8.91,9.03,9.15,9.27,9.39,9.51,9.64,9.77,9.9,10.03,10.16
Cyprus,3.56,3.698,3.836,3.974,4.112,4.25,4.428,4.606,4.784,4.962,5.14,5.22,5.3,5.38,5.46,5.54,5.608,5.676,5.744,5.812,5.88,6.04,6.2,6.36,6.52,6.68,6.844,7.008,7.172,7.336,7.5,7.688,7.876,8.064,8.252,8.44,8.58,8.72,8.86,9,9.14,9.232,9.324,9.416,9.508,9.6,9.668,9.736,9.804,9.872,9.94,9.808,9.676,9.544,9.412,9.28,9.638,9.996,10.354,10.712,11.07
"Czech Republic",8.1,8.128,8.156,8.184,8.212,8.24,8.262,8.284,8.306,8.328,8.35,8.474,8.598,8.722,8.846,8.97,9.088,9.206,9.324,9.442,9.56,9.636,9.712,9.788,9.864,9.94,9.994,10.048,10.102,10.156,10.21,10.254,10.298,10.342,10.386,10.43,10.51,10.59,10.67,10.75,10.83,11.062,11.294,11.526,11.758,11.99,12.13,12.27,12.41,12.55,12.69,12.698,12.706,12.714,12.722,12.73,12.744,12.758,12.772,12.786,12.8
"Congo (Kinshasa)",0.58,0.594,0.608,0.622,0.636,0.65,0.682,0.714,0.746,0.778,0.81,0.846,0.882,0.918,0.954,0.99,1.038,1.086,1.134,1.182,1.23,1.294,1.358,1.422,1.486,1.55,1.652,1.754,1.856,1.958,2.06,2.198,2.336,2.474,2.612,2.75,2.836,2.922,3.008,3.094,3.18,3.218,3.256,3.294,3.332,3.37,3.37,3.37,3.37,3.37,3.37,3.394,3.418,3.442,3.466,3.49,3.524,3.558,3.592,3.626,3.66
Denmark,5.51,5.328,5.146,4.964,4.782,4.6,4.692,4.784,4.876,4.968,5.06,5.192,5.324,5.456,5.588,5.72,5.932,6.144,6.356,6.568,6.78,6.916,7.052,7.188,7.324,7.46,7.596,7.732,7.868,8.004,8.14,8.266,8.392,8.518,8.644,8.77,8.886,9.002,9.118,9.234,9.35,9.488,9.626,9.764,9.902,10.04,10.186,10.332,10.478,10.624,10.77,10.836,10.902,10.968,11.034,11.1,11.14,11.18,11.22,11.26,11.3
"Dominican Republic",2.52,2.53,2.54,2.55,2.56,2.57,2.608,2.646,2.684,2.722,2.76,2.826,2.892,2.958,3.024,3.09,3.198,3.306,3.414,3.522,3.63,3.756,3.882,4.008,4.134,4.26,4.404,4.548,4.692,4.836,4.98,5.088,5.196,5.304,5.412,5.52,5.62,5.72,5.82,5.92,6.02,6.078,6.136,6.194,6.252,6.31,6.444,6.578,6.712,6.846,6.98,7.064,7.148,7.232,7.316,7.4,7.49,7.58,7.67,7.76,7.85
Ecuador,2.55,2.614,2.678,2.742,2.806,2.87,2.94,3.01,3.08,3.15,3.22,3.356,3.492,3.628,3.764,3.9,4.004,4.108,4.212,4.316,4.42,4.52,4.62,4.72,4.82,4.92,5.166,5.412,5.658,5.904,6.15,6.232,6.314,6.396,6.478,6.56,6.648,6.736,6.824,6.912,7,7.02,7.04,7.06,7.08,7.1,7.1,7.1,7.1,7.1,7.1,7.154,7.208,7.262,7.316,7.37,7.416,7.462,7.508,7.554,7.6
Egypt,0.52,0.55,0.58,0.61,0.64,0.67,0.698,0.726,0.754,0.782,0.81,0.856,0.902,0.948,0.994,1.04,1.094,1.148,1.202,1.256,1.31,1.386,1.462,1.538,1.614,1.69,1.882,2.074,2.266,2.458,2.65,2.872,3.094,3.316,3.538,3.76,3.89,4.02,4.15,4.28,4.41,4.552,4.694,4.836,4.978,5.12,5.302,5.484,5.666,5.848,6.03,6.156,6.282,6.408,6.534,6.66,6.758,6.856,6.954,7.052,7.15
