Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Niger,,0.677165508,0.725712836,0.60663867,0.771265149,0.654964983,0.817660689,0.700107574,0.695813596,0.752533853,0.713019609,0.682828248,0.582109571
Nigeria,,0.73517859,0.717703819,0.779640496,0.72208178,0.823823035,0.8207,0.817579567,0.662943304,0.7373,0.811647654,0.804766953,0.733468533
Norway,,0.958511293,0.9472,0.935878932,0.9388,0.9418,0.9447,0.947657406,0.9444,0.941161931,0.946833968,0.959742844,0.950127661
Pakistan,0.590945721,0.5349,0.478887379,0.372907877,0.521746695,0.571315944,0.509884119,0.542038023,0.607087076,0.551683307,0.561720133,0.626921296,0.690263569
"West Bank and Gaza",,0.817945421,0.711818635,0.665910721,0.738076687,0.82174629,0.75083226,0.782169104,0.760899544,0.775086701,0.766101241,0.817770958,0.824345112
Panama,,0.950980365,0.937078059,0.922481298,0.905028522,0.92753309,0.876284182,0.89739114,0.895719826,0.87347424,0.88261503,0.882460237,0.911904812
Paraguay,,0.895427763,0.862656415,0.889281452,0.900353849,0.889152765,0.869149685,0.931004941,0.938647211,0.959249556,0.914199054,0.93986696,
Peru,,0.874649584,0.756369531,0.777106822,0.79869628,0.811914384,0.756304562,0.764071584,0.796768486,0.818986952,0.798418343,0.802856445,0.830123365
Philippines,,0.795313299,0.800711393,0.798442245,0.775170922,0.804861128,0.788763285,0.812921703,0.846413136,0.813300192,0.853588581,0.821298718,0.851028562
Poland,0.921527624,0.9171,0.912639678,0.9147,0.916798174,0.95506531,0.904578626,0.935923874,0.911934912,0.923642278,0.893090427,0.91739881,0.881854117
Portugal,,0.905289888,0.8956,0.885925412,0.8749,0.863906741,0.855960667,0.86603862,0.867180824,0.86182946,0.866213858,0.90463537,0.899984837
Qatar,,,,,0.894493103,0.8759,0.857350588,0.838131666,,,,,
Romania,0.837685466,0.7871,0.736480415,0.7745,0.812449574,0.689065635,0.752606809,0.740043104,0.777552068,0.75294137,0.786967337,0.809229195,0.811240137
Russia,,0.894707382,0.88465637,0.882316172,0.908075571,0.908814192,0.883416891,0.901295125,0.880856991,0.931755424,0.924363256,0.910927355,0.896151304
Rwanda,,0.717583358,0.6016,0.485680968,0.559390426,0.5646,0.569859505,0.637147248,0.749632955,0.748304188,0.678143561,0.665130913,
"Saudi Arabia",0.867819488,0.8797,0.891524911,0.823053539,0.921288133,0.87959832,0.829633653,0.867100954,0.826695323,0.818419814,0.819749713,0.889932334,0.840086281
Senegal,,0.760252059,0.718461037,0.756298721,0.810355306,0.76029408,0.602409363,0.711077392,0.822957873,0.855522096,0.70153451,0.838994384,0.743759334
Serbia,,,0.844413042,0.8073,0.770126104,0.725563347,0.773210645,0.819430411,0.828068733,0.782708704,0.81625104,0.894894958,0.883770406
"Sierra Leone",,0.561355948,0.686470926,0.590737224,0.7013,0.811872959,0.781580985,0.745,0.708426833,0.868556499,0.610593736,0.656723499,0.652287126
Singapore,,0.904328883,0.920632064,0.845258594,0.866255283,0.864162147,0.904473901,0.8562,0.807910562,0.822033048,0.86643666,0.925128222,0.897349894
Slovakia,,0.953579247,0.9451,0.9366,0.9281,0.919640005,0.917293429,0.925751448,0.909378529,0.924242675,0.94345367,0.945179105,0.913386643
Slovenia,,0.936075211,0.9303,0.9245,0.918696642,0.917203367,0.931166053,0.924753785,0.932119727,0.908347547,0.901163757,0.934487343,0.928187847
Somalia,,,,,,,,,,0.610835552,0.599281073,0.594416559,
