Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Turkey,4.99077672,4.912820909,4.724021187,4.649207764,4.395677796,3.994642055,4.074946309,4.305891696,4.518617739,4.618280108,4.618279934
Uganda,3.749646758,4.062401914,4.26151653,4.553399759,4.377595108,4.03914181,4.148373521,4.408295744,4.503000344,4.573324595,4.642710686
Ukraine,3.609341271,3.985788299,3.964974083,3.638429363,3.34598495,3.336173508,3.84866049,4.064846223,3.933048832,3.832311536,3.758857012
"United Arab Emirates",5.60899288,5.834488454,5.981697862,5.869566472,5.590403269,5.492098639,5.530126,5.51007828,5.51007828,5.467321628,5.610544205
"United Kingdom",5.407593489,5.332090866,5.291747881,5.404688706,5.508998462,5.387630946,4.895553432,4.650883019,4.651190568,4.927999312,5.208264351
"United States",5.122624549,5.236435522,4.909064543,4.615763148,4.579018606,4.567127083,4.462552663,4.364229974,4.457786568,4.820101322,5.161226749
Uruguay,4.535850737,4.639829449,4.522774891,4.684717744,4.935787852,4.584041463,4.482820731,4.545413827,4.533235945,4.6066659,4.439753532
Venezuela,3.836086389,3.338054697,3.200557875,3.226021892,3.13549721,3.027159754,3.342856184,3.568385102,3.568723303,3.399836593,3.356985092
Vietnam,3.863875799,4.049916066,4.089916358,3.984417439,3.72313238,3.5918038,4.0147648,4.260381104,4.087752923,3.933877694,3.921566963
Yemen,,,,,4.699253,4.015563362,3.50717662,3.823869115,3.744,3.664050816,3.317830086
Zambia,4.499994888,5.011011423,4.837882756,4.828942104,4.733707671,4.395007468,4.341300461,4.476550791,4.781884385,4.515183969,4.16238308
Zimbabwe,3.668055556,3.371209047,3.842322811,4.439245994,4.504157067,4.602102067,4.83915461,4.890492851,4.539993017,4.379714251,3.994929314
