Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kazakhstan,,-0.287754983,-0.259773642,-0.23515515,-0.263717413,-0.2296893,-0.250328988,-0.186195031,-0.244606882,-0.011543796,-0.052528065,-0.051563937,-0.049178492
Kenya,,-0.002610103,0.070928201,0.005773747,0.116990894,0.035653993,0.038640581,0.082487695,0.228983611,0.188738659,0.237058178,0.314662308,0.250179261
Kosovo,,,0.134326905,0.083281316,0.193344757,0.162387669,-0.004000437,0.019289259,0.106924146,0.004026015,0.17319265,0.117103048,
Kuwait,,-0.279768884,-0.1986,-0.1175,-0.036393713,-0.073858008,-0.0508,-0.0278,-0.0047,0.0184,0.041405596,-0.115944043,-0.048504289
Kyrgyzstan,,-0.115916535,-0.067561634,-0.076416291,-0.116613425,-0.048297901,-0.131519035,-0.055728517,-0.062433012,0.377896905,0.222191751,0.078918613,0.166667372
Laos,,0.447761238,0.486279309,0.42408219,0.4378,0.4514,0.465111643,0.238068148,0.2058,0.1734,0.1411,0.1088,0.076482594
Latvia,,-0.236038744,-0.174175024,-0.210306555,-0.186479792,-0.0979,-0.009379056,-0.044994887,-0.08055073,-0.0508052,-0.085116692,-0.164454147,-0.163831443
Lebanon,,0.066601366,0.0487,0.030700924,0.066965543,0.069415495,0.003057434,-0.007968698,-0.004645911,-0.012245976,0.07250116,0.030867048,-0.075028144
Lesotho,,,,,,,-0.094437942,-0.0957,-0.097,-0.0982,-0.0995,-0.100786686,
Liberia,,,0.169705048,0.019808557,0.0178,0.015801283,0.0176,0.0193,0.0211,0.022859605,-0.008701568,0.086077176,0.04057676
Libya,,,,,,,,-0.062263638,-0.0655,-0.0688,-0.071999818,-0.130131885,
Lithuania,,-0.302619159,-0.290040016,-0.267903358,-0.310751766,-0.282765448,-0.156308502,-0.281919926,-0.245553687,-0.27263096,-0.262814581,-0.275435746,-0.182276621
Luxembourg,,,,,0.112811804,0.081512012,0.091514379,0.044481251,-0.068510741,0.090384804,0.037600271,0.005297689,0.029771445
"Macedonia (F.Y.R.O.M.)",,,0.078173637,0.0171,-0.043889087,-0.060566407,-0.089474969,-0.086592704,0.02225201,0.0320765,-0.049329836,0.077230327,-0.062728427
Madagascar,,-0.030840099,-0.0618,-0.092685081,-0.0799,-0.0671,-0.054270688,-0.047277849,-0.010739038,-0.015436864,-0.033088386,-0.061459843,-0.025507912
Malawi,,0.197341457,0.199081421,0.1858,0.172589406,0.1339,0.095295742,0.165935576,0.07514552,0.057695087,0.054794814,0.062750474,0.021560058
Malaysia,,0.182671487,0.068335734,0.024165014,-0.027878465,0.013273014,-0.035359878,-0.001914886,0.245237038,0.22050041,0.203514993,,
Mali,,-0.066319168,-0.0365,-0.006719193,0.013729379,-0.022721779,-0.095620744,-0.082917713,-0.047895018,-0.032202613,-0.062366147,-0.064837813,-0.064547285
Malta,,,,,0.452651113,0.27565968,0.284611642,0.340875238,0.398308456,0.391501367,0.33572951,0.333253354,0.241762459
Mauritania,,,-0.05036835,0.002584888,0.060833108,0.075038329,0.071448751,-0.002736215,-0.061642654,-0.038156051,0.074283458,-0.156557575,-0.134765625
Mauritius,,,,,,,0.179483563,0.1742,0.169,0.163749352,0.1452,0.126588583,0.073929414
Mexico,,,-0.100007206,-0.133049652,-0.081315048,-0.053913124,-0.105269365,-0.099098481,-0.170896098,-0.10005594,-0.15708296,-0.157982796,-0.206639215
Moldova,,-0.114621021,-0.136119783,-0.006633222,-0.049328852,-0.039428242,-0.033825692,-0.00156391,-0.021541858,-0.066109814,-0.042142995,0.000913991,-0.003178872
