Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Paraguay,,,,,,,99,104,113,114,81,76,59,59,55,37,38,33,18,29,20,16,10,20,13,10,7,8,8,4,5,2,2,1.5,1,1,2,1.5,1,,,,,,,
Peru,,,,,,,294,264,229,200,214,72,89,138,143,183,93,89,140,120,130,94,46,36,14,12,10,8,8,11,4,2,4,4,2,1,5,1,1,1,1,2,1,1,1,3
Philippines,2658,3409,3190,3724,2620,1643,1506,1022,1095,1043,1200,1244,1210,1042,1115,254,291,224,347,455,336,288,313,338,50,332,281,283,163,239,250,177,161,121,132,172,126,166,131,77,92,72,85,82,54,78
Poland,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,63,53,28,23,20,12,9,6,2,2.3333,2.6667,3,3,2.6,2.2,1.8,1.4,1,1.2,1.4,1.6,1.8,2,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,78,85,100,40,1,1,2,7,4,1,1,2,3,4,5,18,18,10.5,3,4,2,1,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,1,2,1
"Saint Vincent and Grenadines",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,5,8,8,4,4,4,3.75,3.5,3.25,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,
"Saudi Arabia",,,,,,,,,,,,,25,35,33,29,13,12,15,35,33,25,28,26,10,15.6667,21.3333,27,28,31,37,22,18,21,13,10,4,14,14,10,2,1,3,3.5,4,
Senegal,,,,,,,,,704,566.6,429.2,291.8,154.4,17,91,80,67,100,52,63,24,23,22,16,16,5,25,45,38,33,26,13,20,28,16,16,12,21,14,4,4,5,13,3,6,1
Serbia,63,67,59,37,31,20,17,11,25,15,12,6,8,6,4,2,5.5,9,1,1,4,3.6667,3.3333,3,2.5,2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,,,,,,,,,,
"Sierra Leone",,,,,,,,577,692,663,601,583,54,45,12,19,26,43.5,61,82,55,25,27.2,29.4,31.6,33.8,36,38,200,93,11,10,15,8,12,12,5,56,23,9,10,11,6,43,36,3
Singapore,6,3,4,2.5,1,1.5,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
