Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo (Brazzaville)",,24.13227,26.5275,28.92282,27.93835,27.58931,28.96427,26.72081,26.44169,29.1507,31.85961,28.3639,24.8682,21.37253,22.28331,26.4655,30.64778,33.7334,36.819,39.90457,43.4666,47.02861,46.1909,45.35321,53.7981,62.24299,59.4092,56.5754,53.7416,50.9079,48.0741,45.2403,42.40652,39.867,37.3275,34.7881,32.2486,29.70908,,,,,,,,,,
"Congo (Kinshasa)",,59.36956,55.964,52.5584,49.1528,45.74721,43.62432,36.88805,42.203,47.51795,47.54365,45.9567,44.3698,42.7828,41.1959,39.609,38.022,36.43509,40.4946,44.5542,48.6137,52.67325,37.62617,44.04761,42.6057,41.1639,39.722,38.2801,36.8382,35.3964,33.9545,32.5126,31.0708,29.6289,28.187,26.7451,25.3033,23.8614,34.5295,45.19764,45.52974,29.27455,44.55826,49.6514,54.74461,,,
"Cook Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,61.22565,53.13645,51.0149,48.8933,46.7718,44.6502,42.5287,40.4071,38.2856,36.164,34.0424,31.9209,29.7993,27.6778,25.5562,23.43465,,,,,
"Costa Rica",28.81654,27.91962,24.29727,31.57222,34.62056,22.93355,28.61572,26.41971,24.44541,29.76897,25.28046,29.6008,22.91884,21.22333,24.16648,19.35641,24.02983,21.21835,22.53357,21.14676,22.82506,20.63057,19.19102,16.83254,15.92439,16.95023,15.5634,14.1766,12.7898,11.40293,9.51526,11.57762,13.186,14.7944,16.40273,9.53916,16.16491,6.15063,5.78594,11.20137,8.95599,11.54301,12.27982,9.6327,6.13544,5.58523,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,1.60551,1.86406,0.52155,0.5247,0.52778,0.60292,0.48694,0.46192,0.44835,0.4668,0.4853,0.50381,0.54651,1.85637,1.04982,0.94386,0.69668,0.56046,0.74531,2.14933,0.98859,2.61533,,
Cuba,,39.92271,25.50252,23.96082,18.07857,17.34197,16.53506,16.18723,16.3856,16.5839,16.78229,14.01471,12.11694,10.01781,9.24943,9.50158,7.82669,9.21855,10.61267,11.75671,11.05665,10.3389,7.7276,6.68439,7.75188,7.2662,6.7805,6.2948,5.8091,5.32335,3.98066,3.194,3.35351,3.41292,3.19323,3.10997,3.18491,3.91346,4.501,3.84736,4.95929,3.52287,4.20672,3.54487,5.37609,4.47378,4.23581,
Cyprus,,3.59306,2.27451,3.35191,35.37159,5.51557,1.99838,0.9197,1.0666,1.39009,1.13013,1.84942,0.74527,1.19446,1.40762,1.22341,1.80467,0.93668,1.21279,1.01298,0.8704,0.7278,1.04836,1.09639,0.61686,1.509,2.4011,3.2932,4.1853,5.07739,1.18527,1.6102,2.03513,1.35872,1.86385,1.34614,1.11789,4.73259,4.9079,5.0833,5.2586,5.434,5.60935,9.16384,2.38675,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,5.46384,3.4399,1.41594,1.4703,1.5246,1.5789,1.6332,1.68753,1.45096,1.25116,2.31581,1.58777,1.58471,0.62823,1.77587,1.17028,0.41597,1.21935,0.82399,0.74861,0.76944,0.71128,0.54896,0.48506,,
Denmark,,3.70353,3.36803,2.45016,2.96772,6.3481,9.7285,1.12436,2.20816,1.2384,0.26866,0.89721,1.34931,0.88016,1.34323,1.67663,0.7697,1.16314,1.14858,1.77858,1.06644,6.67577,0.19774,0.1962,0.1946,0.193,0.1914,0.1898,0.18821,0.12393,0.08788,2.265,4.4421,6.6192,8.79637,6.6543,4.5123,2.37022,0.53183,1.11317,1.2864,1.4597,1.63292,0.51984,0.22989,,,
Djibouti,,,,,,,,,,,,,,,,,11.65525,8.93758,13.1181,17.2986,21.47913,36.2106,50.94209,39.9776,29.013,18.04848,22.71894,22.8076,22.8962,22.9848,23.0734,23.162,23.2506,23.3392,23.4278,23.5164,23.6051,23.6937,23.7823,23.8709,23.9595,24.0481,24.13672,15.5977,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.57231,20.9475,21.32275,18.58705,14.67937,15.20702,14.61331,11.05513,12.96885,11.93696,9.46206,12.19055,13.56978,14.98697,20.49678,,,
