Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Puerto Rico",..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,7.7,..,..,7.7,..,,..,,..,5,5,6.3,..
Romania,12.5,..,..,,..,6.3,..,16.7,..,22.2,14.3,24,..
Russia,,..,..,9.5,..,16.7,..,15.8,..,6.7,6.5,9.7,..
Rwanda,35.7,..,..,16.7,..,33.3,..,32,..,39.3,35.5,47.4,..
Samoa,7.7,..,..,23.1,..,23.1,..,7.7,..,7.7,7.7,15.4,..
"San Marino",12.5,..,..,20,..,20,..,20,..,,11.1,,..
"Saint Thomas and Principe",14.3,..,..,25,..,38.5,..,9.1,..,15.4,7.7,18.2,..
"Saudi Arabia",,..,..,,..,,..,,..,,,,..
Senegal,20.6,..,..,17.9,..,12.9,..,25,..,16.1,20,20,..
Serbia,..,..,..,16.7,..,19.2,..,15,..,9.1,22.2,26.3,..
Seychelles,12.5,..,..,20,..,20,..,22.2,..,23.1,25,30.8,..
"Sierra Leone",13,..,..,14.3,..,8,..,7.7,..,10.3,6.9,13.8,..
Singapore,,..,..,,..,5,..,,..,5.9,5.6,5.3,..
"Saint Martin (Netherlands)",..,..,..,..,..,..,..,..,..,..,..,..,..
Slovakia,9.5,..,..,13.3,..,13.3,..,14.3,..,7.1,11.9,14.3,..
Slovenia,6.3,..,..,17.6,..,22.2,..,7.7,..,18.2,43.8,50,..
"Solomon Islands",,..,..,,..,,..,,..,,4.3,4.3,..
Somalia,..,..,..,..,..,..,..,5.6,..,8,8,6.7,..
"South Africa",41.4,..,..,44.8,..,34.3,..,40,..,37.1,41.7,41.7,..
"South Sudan",..,..,..,..,..,..,..,16.7,..,22.7,22.7,20,..
Spain,50,..,..,43.8,..,52.9,..,30.8,..,30.8,30.8,38.5,..
"Sri Lanka",10.3,..,..,5.7,..,5.9,..,..,..,2.9,7.1,4.3,..
"Saint Kitts and Nevis",,..,..,..,..,,..,11.1,..,12.5,12.5,11.1,..
"Saint Lucia",8.3,..,..,..,..,7.7,..,15.4,..,15.4,15.4,27.3,..
"Saint Martin (France)",..,..,..,..,..,..,..,..,..,..,..,..,..
"Saint Vincent and Grenadines",20,..,..,21.4,..,21.4,..,18.2,..,10,9.1,9.1,..
Sudan,2.6,..,..,6.3,..,6.3,..,9.1,..,16.1,15.2,11.4,..
Suriname,11.8,..,..,16.7,..,..,..,11.1,..,5.6,5.6,22.2,..
Swaziland,13.3,..,..,18.8,..,26.3,..,23.8,..,26.3,26.3,26.3,..
Sweden,52.4,..,..,47.6,..,45,..,52.2,..,56.5,52.2,52.2,..
Switzerland,14.3,..,..,42.9,..,42.9,..,42.9,..,42.9,42.9,28.6,..
Syria,6.3,..,..,6.3,..,6.3,..,10,..,8.8,5.9,6.1,..
Tajikistan,3.1,..,..,5.9,..,5.9,..,6.3,..,11.1,11.1,5.9,..
Tanzania,15.4,..,..,20.7,..,26.9,..,27.6,..,36.7,32.3,20,..
Thailand,7.7,..,..,10,..,12.5,..,8.7,..,8.3,4.2,11.1,..
"Timor Leste",22.2,..,..,25,..,21.4,..,23.1,..,11.8,12.5,18.8,..
Togo,20,..,..,9.5,..,14.3,..,22.6,..,21.4,20.7,20,..
Tonga,..,..,..,..,..,8.3,..,8.3,..,9.1,,,..
"Trinidad and Tobago",18.2,..,..,36.4,..,34.5,..,18.4,..,6.5,9.7,28.6,..
Tunisia,7.1,..,..,7.1,..,3.8,..,6.9,..,3.7,10.5,23.1,..
Turkey,4.3,..,..,4.2,..,7.7,..,4,..,4,4,3.8,..
Turkmenistan,9.5,..,..,7.1,..,6.3,..,9.4,..,8.8,5.7,2.9,..
"Turks and Caicos",..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,,..,..,,..,,..,14.3,..,12.5,14.3,14.3,..
Uganda,23.4,..,..,28,..,32,..,32.1,..,32.1,29.6,36.7,..
Ukraine,5.6,..,..,4.3,..,4.3,..,,..,14.3,10.5,13,..
"United Arab Emirates",5.6,..,..,8,..,16.7,..,18.2,..,15.4,16.7,26.7,..
"United Kingdom",28.6,..,..,22.7,..,22.6,..,17.2,..,15.6,22.7,30.8,..
"United States",14.3,..,..,23.8,..,33.3,..,27.3,..,31.8,26.1,..,..
Uruguay,,..,..,28.6,..,21.4,..,7.1,..,14.3,14.3,35.7,..
Uzbekistan,3.6,..,..,5.3,..,3.2,..,10.5,..,10.5,10.5,..,..
Vanuatu,8.3,..,..,7.7,..,,..,,..,,,,..
Venezuela,13.6,..,..,21.4,..,25.9,..,37.8,..,16.1,23.3,24.2,..
Vietnam,11.5,..,..,4.2,..,4.2,..,9.1,..,9.1,9.1,4.2,..
"Virgin Islands (U.S.)",..,..,..,..,..,..,..,..,..,..,..,..,..
"West Bank and Gaza",..,..,..,..,..,..,..,..,..,..,..,..,..
Yemen,2.9,..,..,5.7,..,5.9,..,8.1,..,8.8,9.7,5.4,..
Zambia,25,..,..,16.7,..,16.7,..,11.8,..,15,20,33.3,..
Zimbabwe,14.7,..,..,16.3,..,18.6,..,13.5,..,11.1,11.5,16.1,..
