Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Costa Rica",78856,76418.2,73980.4,71542.6,69104.8,66667,64941.2,63215.4,61489.6,59763.8,58038,56666,55294,53922,52550,51178,49907,48636,47365,46094,44823,43727.4,42631.8,41536.2,40440.6,39345,38415,37485,36555,35625,34695,33892.4,33089.8,32287.2,31484.6,30682,30108,29534,28960,28386,27812,27422.4,27032.8,26643.2,26253.6,25864,25547.2,25230.4,24913.6,24596.8,24280,23891,23502
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22290,22487.8,22685.6,22883.4,23081.2,23279,23422,23565,23708,23851,23994,24038,24082,24126,24170,24214,24293,24372,24451,24530,24609,24745.5,24882
Cuba,5117,5016.2,4915.4,4814.6,4713.8,4613,4535.2,4457.4,4379.6,4301.8,4224,4170.4,4116.8,4063.2,4009.6,3956,3932.8,3909.6,3886.4,3863.2,3840,3814.4,3788.8,3763.2,3737.6,3712,3679.8,3647.6,3615.4,3583.2,3551,3533.8,3516.6,3499.4,3482.2,3465,3453.6,3442.2,3430.8,3419.4,3408,3402,3396,3390,3384,3378,3374.6,3371.2,3367.8,3364.4,3361,3354,3347
Cyprus,1350,1343.8,1337.6,1331.4,1325.2,1319,1303.6,1288.2,1272.8,1257.4,1242,1228,1214,1200,1186,1172,1163.2,1154.4,1145.6,1136.8,1128,1118,1108,1098,1088,1078,1057.22,1036.44,1015.66,994.88,974.1,954.42,934.74,915.06,895.38,875.7,859.76,843.82,827.88,811.94,796,783.56,771.12,758.68,746.24,733.8,725.22,716.64,708.06,699.48,690.9,680.2,669.5
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1277.2,1279.4,1281.6,1283.8,1286,1283.4,1280.8,1278.2,1275.6,1273,1267.8,1262.6,1257.4,1252.2,1247,1247,1247
"North Korea",6498,6365.4,6232.8,6100.2,5967.6,5835,5682.2,5529.4,5376.6,5223.8,5071,4977.4,4883.8,4790.2,4696.6,4603,4544.4,4485.8,4427.2,4368.6,4310,4246,4182,4118,4054,3990,3932.4,3874.8,3817.2,3759.6,3702,3655.4,3608.8,3562.2,3515.6,3469,3439,3409,3379,3349,3319,3295.2,3271.4,3247.6,3223.8,3200,3183.2,3166.4,3149.6,3132.8,3116,3091.5,3067
"Congo (Kinshasa)",79983,77948.8,75914.6,73880.4,71846.2,69812,67998.6,66185.2,64371.8,62558.4,60745,59180.4,57615.8,56051.2,54486.6,52922,51587.4,50252.8,48918.2,47583.6,46249,45088.2,43927.4,42766.6,41605.8,40445,39147.2,37849.4,36551.6,35253.8,33956,32923.6,31891.2,30858.8,29826.4,28794,28069.4,27344.8,26620.2,25895.6,25171,24425.2,23679.4,22933.6,22187.8,21442,20804.2,20166.4,19528.6,18890.8,18253,17429,16605
Denmark,1291,1281.2,1271.4,1261.6,1251.8,1242,1234.2,1226.4,1218.6,1210.8,1203,1197.8,1192.6,1187.4,1182.2,1177,1175.8,1174.6,1173.4,1172.2,1171,1171.4,1171.8,1172.2,1172.6,1173,1170.4,1167.8,1165.2,1162.6,1160,1155.4,1150.8,1146.2,1141.6,1137,1133.2,1129.4,1125.6,1121.8,1118,1113.8,1109.6,1105.4,1101.2,1097,1091.8,1086.6,1081.4,1076.2,1071,1064.5,1058
Djibouti,3185,3004.6,2824.2,2643.8,2463.4,2283,2161.2,2039.4,1917.6,1795.8,1674,1555.4,1436.8,1318.2,1199.6,1081,1020.76,960.52,900.28,840.04,779.8,747.4,715,682.6,650.2,617.8,589.92,562.04,534.16,506.28,478.4,470.24,462.08,453.92,445.76,437.6,430.56,423.52,416.48,409.44,402.4,396.98,391.56,386.14,380.72,375.3,370.58,365.86,361.14,356.42,351.7,344.8,337.9
Dominica,3227,3172.6,3118.2,3063.8,3009.4,2955,2921.6,2888.2,2854.8,2821.4,2788,2775.2,2762.4,2749.6,2736.8,2724,2711.4,2698.8,2686.2,2673.6,2661,2681.6,2702.2,2722.8,2743.4,2764,2774.8,2785.6,2796.4,2807.2,2818,2819.6,2821.2,2822.8,2824.4,2826,2833.8,2841.6,2849.4,2857.2,2865,2857,2849,2841,2833,2825,2818,2811,2804,2797,2790,2771,2752
