Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Cape Verde",188,274.8,361.6,448.4,535.2,622,708.8,795.6,882.4,969.2,1056,1142.8,1229.6,1316.4,1403.2,1490,1479.8,1469.6,1459.4,1449.2,1439,1565.1,1700,1890,2190,2282,3722,5614,6406,6800,8246,9095,11629,15252,18450,21513,25232,33241,39985,46865,54644,64132,70187,71716,71700,71600,71578,71764,71860,71874,71971,74503,70220,66177,59621,63584,64724,64970,62680,57511
"Costa Rica",10000,12000,14000,16000,18000,20000,24000,28000,32000,36000,40000,48200,56400,64600,72800,81000,90800,106200,123100,133600,157400,170600,188559,194855,202459,209930,214706,240444,256521,272000,281433,304863,326789,364119,430000,478939,525682,684636,742415,802597,898734,944950,1037986,1159223,1343193,1388503,1329505,1436695,1437733,1499601,1060384,1031719,995089,968459,881217,859514,838346,814910,774303,630843
Cuba,155402,158001.875,160601.75,163201.625,165801.5,168401.375,171001.25,173601.125,176201,178800.875,181400.75,184000.625,186600.5,189200.375,191800.25,194400.125,197000,197000,196000,211000,221550,232100,244000,255000,256500,268600,287800,370400,353300,304107,336648,339057,336945,349000,349471,353163,356158,370800,387642,433762,488606,574415,665639,724261,768196,855958,961573,1055118,1088089,1119786,1163625,1193415,1216522,1237276,1264817,1295857,1322002,1349188,1444480,1508074
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83080,78846,68070,63868,63715,61130,62571,59231,61709,58805,
"Cayman Islands",,,,,,,,,,,1400,1610,1820,2030,2240,2450,2750,3100,3400,3800,4150,4790.5,5431,6071.5,6712,7343,7780,8810,9550,10760,12330,11795,12753,14011,17610,19410,19218,19026,27673,31511,35000,38000,38000,38000,38000,38000,38000,35050,35766,36151,37351,37229,37392,36717,32903,33534,34116,34768,,
Cyprus,10630,12614,14598,16582,18566,20550,23111.8,25673.6,28235.4,30797.2,33359,35257.6,37156.2,39054.8,40953.4,42852,47699,43348,53348,60469,66735,77204,85192,99965,119460,136054,155921,180118,202244,223117,245941,268898,290852,310990,330364,347343,366363,386013,404710,424060,440091,434978,427427,424104,418365,420030,408319,409279,413323,414512,413192,405024,373196,349108,327874,323707,320573,317241,311559,323914
"Czech Republic",,,,,,,,,,,,,,,,,,,,1153004,1178732,1204495,1230784,1269169,1301376,1332331,1380327,1437034,1495474,1557478,1623642,1707398,1818638,1972293,2177951,2444156,2817215,3279773,3741492,3806137,3871651,3860843,3675470,3626294,3427666,3217340,2887583,2402774,2477927,2526857,2367400,2203900,2117400,2001000,2001900,1906594,1758590,1640094,1511942,1473000
Germany,3220990,3545792,3870594,4195396,4520198,4845000,5593400,6341800,7090200,7838600,8587000,9436400,10285800,11135200,11984600,12834000,14212000,15748000,17305000,18917000,20431600,21645900,22571600,23385600,24420600,25391800,26189300,27007100,27823200,28847800,31887000,33559719,35420843,37000000,38800000,42000000,44100000,45200000,46530000,48210000,50220000,52330000,53670000,54233000,54526000,54791000,54400000,53100000,50300000,53700000,52900000,51400000,50100000,48700000,47021000,45350000,45300000,44400000,42500000,40400000
Djibouti,,,,,,,,,,,1167,1243.8,1320.6,1397.4,1474.2,1551,1635,1660,1920,2270,2624,2990,3420,3624,3670,4048,4299,4452,4801,4806,5710,6230,6789,7349,7516,7556,8151,8283,7932,8831,9704,9932,10125,10169,11103,10578,11301,14113,14910,16842,18474,18442,19955,20686,21912,22902,24925,36582,36855,
Dominica,,,,,,,,,,,1300,1476,1652,1828,2004,2180,2540,2930,3140,400,1210,2155,3100,3110,3900,4812,6000,7000,8000,10000,11632,12404,13700,15900,16700,17800,18737,19200,20070,21332,22700,23250,23708,22468,20963,19000,17500,17450,17500,16500,15484,14992,16237,17144,16449,20585,13328,12961,2660,
