Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Macedonia (F.Y.R.O.M.)",,,,98.98544,,,,,,,,,,,,,,
Madagascar,,72.65446,71.9056,71.1568,70.4079,69.659,68.9102,68.1613,67.4125,66.6636,65.91478,70.0807,74.2466,78.41248,,,,
Malawi,,,,,,,,,,,,74.26925,75.3981,76.527,77.6558,78.78466,72.49172,
Malaysia,,97.20814,97.3254,97.4427,97.56,97.6773,97.7946,97.9119,98.0292,98.1465,98.2638,98.38104,,,,,,
Maldives,,98.03439,98.2354,98.4363,98.6373,98.8383,99.0392,99.24022,99.2204,99.2005,99.1806,99.1608,99.1409,99.1211,99.1012,99.08133,,
Mali,,,,,,,,47.37997,49.6278,51.8756,54.1234,56.37127,56.31502,57.3676,58.4203,59.4729,60.52549,
Malta,,,,,,,97.45976,97.6171,97.7745,97.9319,98.0892,98.2466,98.40398,,,,,
"Marshall Islands",,,,,,,,,,,,,98.16972,,,,,
Mauritania,,67.73265,67.5423,67.3519,67.1615,66.9711,66.7807,66.5903,66.39988,,,,,,,,,
Mauritius,,93.72184,94.0825,94.4432,94.8038,95.1645,95.5252,95.8858,96.2465,96.6072,96.9678,97.3285,97.68915,,,,,
Mexico,,96.7512,97.346,97.9407,97.729,97.5173,97.64425,98.10612,98.19888,98.40971,98.67003,98.37557,98.41656,98.72037,98.52684,98.92221,98.87351,
Moldova,,99.40321,99.3978,99.3923,99.3868,99.3814,99.3759,99.3705,99.365,99.3596,99.3541,99.3487,99.3432,99.33775,,,,
Mongolia,,96.99861,97.1009,97.2033,97.3056,97.4079,97.5102,97.6125,97.7149,97.8172,97.9195,98.02181,,,,,,
Montenegro,,,,,99.45795,99.4458,99.4337,99.4215,99.4094,99.3972,99.3851,99.3729,99.36079,,,,,
Morocco,,,,,,80.80267,82.0533,83.304,84.5546,85.80525,86.72862,87.779,88.82942,94.62719,,,,
Mozambique,,,,,74.36055,75.2739,76.1872,77.1005,78.0138,78.9271,79.84044,,,,,,,
"Burma (Myanmar)",,95.7881,95.1213,94.4545,93.7878,93.121,92.4542,91.7874,91.1207,90.4539,89.7871,89.1203,88.4536,87.7868,87.12,86.4532,85.7864,85.11967
Namibia,,,91.14834,89.83,88.5118,87.1935,85.8752,84.5569,83.23858,85.7936,88.3486,90.9035,93.45852,,,,,
Nepal,,,80.61597,81.5428,82.4696,83.3964,84.3232,85.25,86.1768,87.1036,88.0304,88.9572,89.88402,,,,,
Nicaragua,,,83.63,84.0114,84.3928,84.7742,85.15562,,,,,,,,,,,
Niger,,,26.23006,32.7849,39.3398,45.8947,52.44952,49.8901,47.3307,44.7713,42.2119,39.6524,37.093,34.53362,,,,
Nigeria,,,,,78.12795,77.6155,77.1031,76.5907,76.0783,75.56594,,,,,,,,
Oman,,,,,97.86509,97.8189,97.7727,97.7265,97.6803,97.63412,97.5199,97.40565,97.8369,98.2681,98.6994,99.1306,99.43405,98.51479
Pakistan,,,,,,,76.65172,79.10218,79.2611,79.42005,79.14432,79.50414,78.04242,80.28826,79.40381,79.76598,,
Palau,,,,,,,,,,,,,,,99.76959,99.0076,98.24561,
Panama,,96.53054,96.6709,96.8113,96.9517,97.0921,97.2325,97.3729,97.5133,97.6537,97.7941,97.93447,,,,,,
"Papua New Guinea",,69.13374,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,98.80972,97.69172,98.04145,98.50034,98.6018,98.7032,98.8047,98.90615,98.04035,
Peru,,,,,,97.80303,97.92135,98.51275,98.01326,98.1545,98.2957,98.4369,98.5781,98.71934,98.9382,99.15706,99.23967,99.08887
Philippines,,94.45826,94.1649,93.8716,93.5783,94.2666,94.955,95.6433,96.3316,97.01995,97.101,97.1821,97.2632,97.3443,97.42543,,,
Portugal,,,,,,,,,,,,,99.3918,,,,,
"Puerto Rico",,,,,,,,,,,,98.81458,,,,,,
Qatar,,,,,,94.88588,96.289,97.6921,99.09516,95.31861,97.70183,96.32373,97.57916,98.68559,98.82147,98.38078,,
Romania,,,,97.74423,97.8853,98.0264,98.1675,98.3086,98.4497,98.5908,98.7319,98.873,99.01409,,,,,
Russia,,,,99.67908,99.677,99.675,99.673,99.6709,99.6689,99.6669,99.6648,99.66278,,,,,,
Rwanda,,78.52217,78.3358,78.1495,77.9631,77.7767,77.5904,77.404,77.2177,77.0313,76.8449,76.65858,78.8893,81.12005,,,,
Samoa,,,,,,,,,,,,,99.02962,,,,,
"Saint Thomas and Principe",,,95.97399,94.1286,92.2832,90.4379,88.5925,86.7471,84.9017,83.05633,86.5724,90.0886,93.6047,97.12077,,,,
"Saudi Arabia",,98.07428,97.794,97.5137,97.2334,96.95305,97.2139,97.4748,97.7356,97.9965,98.2573,98.5182,98.779,99.0399,99.30072,,,
Senegal,,,,58.48508,58.3951,58.3051,58.2151,58.12517,63.4846,68.844,74.20335,74.0849,73.96651,67.5401,61.11376,,,
Serbia,,,,,,,,,,,,,99.34544,99.4194,99.4934,99.5673,99.6413,99.71523
Seychelles,,,,98.7706,98.7476,98.7246,98.7016,98.6787,98.6557,98.6327,98.6097,98.58672,,,,,,
"Sierra Leone",,,,,,59.61425,60.1605,60.7068,61.253,61.7993,62.3455,62.8918,63.438,63.9843,64.5305,,,
Singapore,,99.40999,99.4428,99.4756,99.5084,99.5412,99.5739,99.6067,99.6395,99.6723,99.7051,99.73789,99.89365,99.89687,99.89628,99.89716,99.73515,99.91319
"South Africa",,,,,,,,,97.04518,97.4802,97.9152,98.38872,98.43064,98.49655,98.5891,98.68172,98.68459,
"South Sudan",,,,,,,,,,44.07936,,,,,,,,
Spain,,,,,,99.58037,99.57169,99.5759,99.58001,99.52782,99.63875,99.50677,99.65465,99.64105,99.69463,99.75731,99.61875,99.63757
"Sri Lanka",,,95.06529,95.4576,95.85,96.2424,96.6347,97.02708,97.1798,97.33251,97.5095,97.68654,,,,,,
Sudan,,85.69496,83.5666,81.4382,79.3098,77.1814,75.053,72.9246,70.7962,68.66786,,,,,,,,
Suriname,,,,,,95.61588,96.5559,97.4959,98.4359,99.37586,98.6743,97.97273,98.0292,98.08572,,,,
Swaziland,,90.69415,90.8435,90.9928,91.1421,91.2915,91.4408,91.5901,91.7394,91.8888,92.0381,92.18742,,,,,,
Syria,,,,97.14407,95.8757,94.60731,,,,,,,,,,,,
Tajikistan,,99.84443,,,,,,,,,,,,,,,,
