Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Libya,13,11,9.5,8.2,7.1,6.2,5.6,5.4,5.2,5,4.9,4.7,4.3,3.7,3.4,3.2,3.1,3.2,3.6,4.3,5,6.1,7.3,8.7
Lithuania,7,8.1,8.2,11,12,14,12,12,12,11,11,10,9.8,9.9,9.3,11,12,11,11,8.7,7.3,7.1,8.4,8.4
Luxembourg,0.6,0.3,0.3,0.3,1,0.8333,0.6667,0.5,1.2,0.5,0.2,0.5,0.7,0.7,0.7,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.4
Madagascar,148,138,128,118,109,101,95,91,87,84,81,78,75,72,70,67,64,62,60,58,56,55,54,52
Malawi,40,38,38,39,40,40,40,38,37,34,32,30,28,26,24,22,20,18,16,14,13,11,10,9.3
Malaysia,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.8,6.9,7.5,6.7,6.4,6,5.8,6.1,6,5.8,5.8,5.8,5.8,5.8,5.8
Maldives,29,25,22,19,16,14,12,10,9,7.8,5.4,6.9,10,2.9,0.5,2,1.9,1.8,2.7,2.6,2.5,2.1,2.2,2.2
Mali,19,19,19,18,18,18,17,17,16,15,15,14,14,13,13,12,12,11,10,10,9.9,9.9,10,10
Malta,0.3,0.8,0.3,0.6,0.45,0.3,0.3,0.3,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,1,0.2,0.2,0.2,0.7,0.4,0.4
"Marshall Islands",3.6,2.5,22,29,26,24,23,19,14,5.7,3.5,17,7,7.3,48,31,48,59,19,30,81,25,32,39
Mauritania,99,95,90,85,80,76,71,67,64,60,57,53,50,46,43,41,38,36,34,32,30,29,27,26
Mauritius,2.7,2.7,2,1.9,1.7,1.1,0.8,2.2,0.8,1.3,0.5,0.8,0.8,0.9,1.3,1.2,0.7,1.2,1.3,1.3,1,1.6,1.1,1.2
Mexico,7.8,6.9,6.6,6.2,5.8,5.5,5.1,4.6,4.3,3.8,3.3,3.3,3.1,3.1,2.4,2.5,2.3,2.1,2.2,2,2.2,2.1,1.8,1.8
Micronesia,26,44,58,70,79,86,89,88,86,84,81,78,74,69,64,58,52,47,42,37,32,28,25,21
Monaco,0.7,0.1,0.7,0.7,0.7,0.7,0.1,0.1,0.1,4,3.22,2.44,1.66,0.88,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.1,0.1,0.1
Mongolia,16,16,15,14,13,13,12,11,10,9.8,9.1,8.5,7.9,7.4,6.9,6.5,6.2,5.9,5.6,5.4,5.2,5.1,5,4.9
Montenegro,,,,,,,,,,,,,,,,0.6,0.9,1.3,0.6,0.2,0.2,0.2,0.2,0.2
Montserrat,,,9.3,9.8667,10.4333,11,11,12,32,20,21,23,24,23,22,22,22,21,21,21,21,21,21,21
Morocco,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,9.5,8.6,8.6,8.6
Mozambique,118,122,124,125,124,122,118,112,106,99,92,85,79,75,71,69,67,66,66,65,64,65,66,69
"Burma (Myanmar)",154,154,154,155,155,154,153,151,148,143,135,126,115,103,92,82,73,67,61,57,54,52,50,49
Namibia,116,92,68,53,52,67,98,132,161,180,187,185,178,169,159,147,133,116,93,73,58,53,55,57
Nauru,6.6,5.9,5.5,5,4.6,4.2,3.6,2.7,1.3,0.8,6.6,1.2,5.8,1.7,2.2,27,33,1.9,2.3,1.7,1.6,5.4,6.6,6.7
Nepal,52,48,44,40,36,33,30,27,24,22,20,19,18,18,18,17,17,17,17,17,17,17,17,17
Netherlands,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1
"Antilles (Netherlands)",0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,
"New Caledonia",7.6,8.9,11,2.5,2.3,2.5,6.8,3.8,5.2,3.3,8,1.2,3.1,0.8,4.1,1.4,2.3,1.8,2.6,3.5,2.5,3,0.8,1.1
"New Zealand",0.6,0.7,0.5,0.3,0.5,0.6,0.4,0.2,0.5,0.3,0.3,0.1,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.1
Nicaragua,11,12,9.4,9.9,9.2,8.9,8.5,8.3,7.4,8.6,6.4,6.2,5,5.8,5.3,5.4,4.3,4.1,3.3,3.3,4.6,3.6,2.9,2.7
Niger,132,129,123,116,108,99,91,82,74,66,59,52,47,42,38,34,30,27,25,23,21,19,18,17
Nigeria,99,100,101,101,102,103,103,104,104,103,103,102,101,100,98,97,96,95,94,94,93,93,93,94
Niue,1.2,5.2,27,4.9,28,1.3,30,1.1,1,11,1.2,1.3,94,1,0.9,0.7,0.5,0.3,0.3,0.2,0.2,31,0.4,0.5
"Northern Mariana Islands",2.9,11,28,12,3.4,3.3,3.4,28,29,5.6,13,4.7,4.1,3,9,15,12,9.1,2,8.4,4.4,6.2,5.6,6.4
Norway,0.4,0.4,0.2,0.3,0.4,0.5,0.3,0.3,0.3,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Oman,2.5,2.4,2.2,2.1,1.9,1.8,1.7,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.2,1.1,1,1,0.9,0.8,0.8,0.8,0.7,0.7
Pakistan,69,69,69,69,69,69,69,69,69,69,69,70,70,70,69,64,59,51,44,38,33,30,28,27
Palau,10,2,2.6,35,75,6.3,3.7,3.6,12,41,21,7,2.3,1.8,1.6,4.2,7.8,4.8,13,24,24,7.5,1.5,1.7
Panama,8.3,8.1,8,7.8,7.7,7.5,7.7,6.3,7.6,7.7,6.6,6.2,5.9,6.6,5.5,6.6,5.1,5.4,6.2,6.9,5,4.2,4.9,4.8
"Papua New Guinea",105,101,96,91,86,81,76,71,67,64,62,62,62,62,63,63,62,61,59,56,51,46,40,33
Paraguay,4.6,3.6,3.7,3.8,3.8,4.8,5.3,5.8,4.7,5.2,4.3,3.9,3.8,4.1,4.7,4.7,3.9,3,3.6,3,3.8,2.7,2.9,2.9
Peru,34,29,30,28,26,26,21,19,17,12,14,12,11,11,9.8,9.7,8.6,7.9,7.8,8.5,8.5,8,7.8,7.7
Philippines,55,54,52,52,51,50,48,42,43,45,40,39,40,38,36,35,34,33,31,31,30,29,28,27
Poland,3.8,3.8,3.8,3.7,3.3,3.2,2.9,2.9,2.9,2.9,2.9,2.8,2.5,2.5,2.3,2.3,2.1,2.1,2.3,2.1,1.6,1.8,1.8,1.7
Portugal,3.1,3.1,2.4,3.7,2.7,3.5,3.3,3.6,3.9,3.2,2.9,2.6,2.5,2.2,2,1.8,1.6,1.5,1.5,1.5,1.2,1.4,1.4,1.3
"Puerto Rico",2,1.6,1.6,2.1,2.1,2.2,1.5,1.4,1,0.8,0.5,0.8,0.6,0.4,0.4,0.5,0.4,0.4,0.4,0.2,0.3,0.3,0.3,0.3
Qatar,5.7,5.2,4.8,4.3,3.8,3.3,2.4,1.8,1.3,1,0.7,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.6,0.2,0.1,0.2,0.1,0.1
Moldova,5.6,6.9,7.2,7.9,12,11,13,12,13,16,17,15,16,16,19,20,19,19,17,17,16,14,14,14
Romania,6.9,7.3,8.4,10,10,11,11,12,11,9.7,9.5,11,11,10,9.4,8.1,7.7,7.3,7.5,7,6.9,6,5.8,5.4
Russia,8.2,8.5,9.8,13,15,16,18,18,16,21,21,21,23,23,22,23,21,19,19,18,16,15,13,12
Rwanda,5.1,5,4.8,4.5,4.4,4.6,5.3,6,6.8,7.3,7.7,7.9,7.8,7.7,7.5,7.6,8.1,8.3,8.2,8.2,8.1,7.9,7.3,6.9
"Saint Kitts and Nevis",,,,2.8,5.3,2.4,4.9,12,4.6,2.3,2.4,2.4,2.8,3,2.1,2.2,4.2,2.2,2.4,2.4,2.3,1.9,2.9,2.9
"Saint Lucia",4,1.7,9,5,4.2,8.3,5,0.9,3.3,2.4,0.8,0.7,0.7,1.3,4,3.9,2.2,2.2,2.1,1.1,0.6,0.6,0.6,1.2
"Saint Vincent and Grenadines",1,1.6,2.2,2.7,3.3,3.8,5.7,4.25,2.8,0.9,3.3,2,1,5.9,5.9,0.9,2.8,2.8,0.9,1,5.7,4.8,3.8,2.8
Samoa,4.8,4.7,4.5,4.4,4.2,4.1,3.9,3.8,3.6,3.3,3,2.6,2.3,2,1.9,2.1,2.5,2.8,3,3.2,3.3,3.4,3.4,3.2
"Saint Thomas and Principe",37,36,34,33,31,29,25,22,18,14,10,7.7,5.6,4.5,4.3,5.2,7.1,9.5,12,13,14,13,12,9.3
"Saudi Arabia",3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Senegal,26,25,26,26,27,29,30,30,31,31,30,29,28,27,26,24,24,23,22,22,21,21,21,21
Serbia,,,,,,,,,,,,,,,,2.8,2.3,2.1,1.7,1.7,1.6,1.5,1.6,1.6
"Serbia and Montenegro",3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.8,3.8,2.6,2.7,2.7,2.7,,,,,,,,,
Seychelles,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.6,5.1,4.2333,3.3667,2.5,1.2,1.2,2.3,2.3,1.7,1.1,1.3,1.5
"Sierra Leone",97,95,95,94,94,93,93,93,92,91,90,88,85,81,77,72,67,61,56,51,47,45,43,43
Singapore,4,3.2,3,3.6,3.2,3.6,4,3.5,4,3.1,3.2,2.9,2.6,2.3,2.2,1.8,1.7,2.2,2.1,1.8,1.9,1.7,1.7,1.7
Slovakia,2.1,2.1,2.1,1.7,2.1,1.6,1.4,1.1,0.9,0.9,1,1,1.2,1.2,1,0.9,0.9,0.7,0.8,0.8,0.6,0.6,0.6,0.6
