Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"South Sudan",1700,2200,2700,3300,4000,4700,5600,6500,7600,8600,9600,11000,12000,12000,13000,14000,15000,16000,17000,17000,18000,18000,18000,18000,18000,17000,17000,16000,16000,16000
Suriname,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Swaziland,200,500,1000,1400,2200,3200,4200,5300,6500,7600,8700,9700,11000,12000,13000,14000,14000,15000,16000,16000,15000,15000,15000,14000,14000,14000,13000,12000,11000,10000
Chad,3100,4000,5000,6200,7400,8700,9900,11000,12000,14000,15000,16000,17000,18000,18000,19000,19000,19000,19000,19000,19000,19000,18000,18000,17000,16000,16000,15000,15000,14000
Togo,3600,4100,4700,5400,6200,7000,7900,8900,9900,11000,12000,12000,13000,14000,14000,15000,15000,15000,16000,15000,15000,15000,14000,13000,13000,12000,12000,11000,10000,9900
Thailand,1000,1900,3400,5000,6800,8500,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,14000,14000,13000,12000,11000,11000,9700,8700,7800,6700,5700,4900,4000,3300
Tajikistan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,500,500,500,500,1000,1000,1000,1000
Tunisia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Tanzania,31000,39000,48000,57000,67000,77000,86000,95000,100000,110000,120000,130000,130000,140000,140000,140000,150000,150000,150000,140000,140000,130000,120000,120000,110000,110000,110000,100000,98000,93000
Uganda,88000,99000,110000,120000,130000,140000,150000,160000,160000,160000,170000,170000,170000,170000,170000,170000,170000,170000,160000,160000,160000,160000,150000,140000,130000,130000,120000,120000,110000,100000
Ukraine,100,100,100,200,500,500,1000,1000,1000,1200,1400,1500,1600,1800,2100,2200,2500,2800,2900,3000,3000,3100,3100,3100,3100,3100,3100,3000,3000,2900
Uzbekistan,100,100,100,100,100,100,100,100,100,100,100,100,200,200,1000,1000,1200,1400,1600,1900,2100,2500,2800,3200,3600,4100,4600,5100,5500,5900
Venezuela,500,1000,1000,1000,1000,1000,1000,1100,1300,1500,1700,1900,2200,2500,2700,3000,3200,3400,3600,3800,4000,4200,4400,4400,4400,4300,4200,4100,4000,3900
Vietnam,100,100,200,500,1000,1000,1100,1400,1800,2100,2500,2900,3300,3600,4000,4300,4500,4600,4700,4900,5000,5200,5300,5500,5600,5700,5600,5600,5400,5200
Yemen,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500
"South Africa",5700,9700,16000,25000,37000,51000,68000,86000,110000,130000,150000,170000,200000,220000,250000,270000,290000,320000,340000,360000,380000,390000,390000,400000,400000,390000,380000,370000,360000,340000
Zambia,19000,25000,30000,36000,42000,49000,55000,60000,66000,71000,76000,80000,84000,87000,88000,88000,87000,86000,84000,82000,81000,80000,79000,77000,76000,75000,73000,71000,69000,66000
Zimbabwe,37000,48000,60000,72000,83000,95000,110000,120000,130000,140000,140000,150000,150000,150000,150000,150000,150000,140000,140000,140000,130000,130000,120000,110000,110000,100000,99000,94000,89000,84000
