Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Taiwan,5.9,5.7,4.4,4.3,4.2,4,3.9,4,2.4,2.3,2.3,2.2,2.1,2.1
Tajikistan,,,85.1,75.1,39.6,27.6,24.3,36.9,33.3,27.1,25.6,23.3,21.5,16.8
Tanzania,209.6,195.5,168.7,98.5,52.8,46.6,41.3,34.7,32.2,31.8,27.7,33,23.2,21.5
Thailand,18.8,18.4,17.3,16.3,16.2,14.7,17.1,7.7,7,6.7,6.7,6.6,6.7,6.6
"Timor Leste",,154.8,125.4,88,13.1,6.9,5.8,5.7,5,2.9,2.9,0.3,0.3,0.5
Togo,237.4,229.4,218.3,252.7,245.7,251.3,205,178.1,177.2,142.3,121.4,94.9,77.8,71.2
Tonga,16.1,13.9,11.7,10.3,10.8,9.6,8.2,7,10.3,8,7.4,7.4,7.5,6.8
"Trinidad and Tobago",,,1.3,1.1,0.9,0.9,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.6
Tunisia,11.9,11.1,10.1,9.3,8.3,7.9,5.7,5,4.2,4.1,4.7,4.2,3.9,4.7
Turkey,36.8,26,27.4,26.5,20.7,14.9,14.2,17.2,11.2,10.5,12.7,16.4,16.6,16.4
Uganda,123.2,110.5,99.2,96,92,100.7,84.4,94.4,84.5,76.7,78.3,64.4,39.7,37.1
Ukraine,25.6,17.6,10.6,9.2,7.8,5.5,5.8,6.1,4.4,1.5,1.3,1.2,0.6,0.5
"United Arab Emirates",18.8,17.5,15.8,13,13.9,11.6,11.1,12.6,13.4,11,11.4,11.3,11.2,13
"United Kingdom",1,0.9,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.3,0.3,0.1,0.1
"United States",0.7,0.7,0.8,0.8,0.7,0.7,0.7,1.4,1.4,1.4,1.2,1.2,1.1,1.1
Uruguay,51.3,48.2,43.9,44.2,46,43.5,40,42.1,24.9,24,23.5,22.8,21.7,22.5
Uzbekistan,14.4,12.8,11.5,11.7,11.9,8.1,10.1,10.8,5.3,3.8,3.5,3.3,3.4,3.2
Vanuatu,66.9,81.8,83.5,78,69.9,69.7,53.5,48.2,47.1,47.2,46.2,46.2,44.2,44.3
Venezuela,43.9,37.9,28.8,25.4,10,26.8,24,30.2,26.1,27.7,35.6,49.9,88.7,136.4
Vietnam,31.9,30.6,27.6,24.3,20,16.8,13.3,12.1,10.7,8.8,7.7,5.3,4.9,4.6
"West Bank and Gaza",,92.9,92.9,122.3,108.2,81.2,56,94.6,97.3,92.3,86.7,87.5,83.5,46.9
Yemen,257,269.3,240.2,228,178.8,93,83,82.1,83.8,71.9,66.1,66.3,68,82.2
Zambia,33.2,31.7,30.3,29.9,30.5,28.6,28.4,27.9,26.9,27,32.6,33.7,34.3,33.7
Zimbabwe,371.3,314.8,223.5,179.9,676.1,596.7,353.8,198.3,156.5,126.9,128.9,120,118.4,119.2
