Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Germany,9.6,9.23,8.86,8.49,8.12,7.75,7.38,7.01,6.64,6.27,5.9,5.77,5.64,5.51,5.38,5.25,5.12,4.99,4.86,4.73,4.6,4.5,4.4,4.3,4.2,4.1
Ghana,134.6,131.87,129.14,126.41,123.68,120.95,118.22,115.49,112.76,110.03,107.3,104.61,101.92,99.23,96.54,93.85,91.16,88.47,85.78,83.09,80.4,77.66,74.92,72.18,69.44,66.7
Greece,13.6,13.08,12.56,12.04,11.52,11,10.48,9.96,9.44,8.92,8.4,8.06,7.72,7.38,7.04,6.7,6.36,6.02,5.68,5.34,5,4.98,4.96,4.94,4.92,4.9
Grenada,25.1,24.3,23.5,22.7,21.9,21.1,20.3,19.5,18.7,17.9,17.1,16.8,16.5,16.2,15.9,15.6,15.3,15,14.7,14.4,14.1,13.82,13.54,13.26,12.98,12.7
Guatemala,85.9,82.78,79.66,76.54,73.42,70.3,67.18,64.06,60.94,57.82,54.7,53.01,51.32,49.63,47.94,46.25,44.56,42.87,41.18,39.49,37.8,36.66,35.52,34.38,33.24,32.1
Guinea,246.2,239.37,232.54,225.71,218.88,212.05,205.22,198.39,191.56,184.73,177.9,171.88,165.86,159.84,153.82,147.8,141.78,135.76,129.74,123.72,117.7,113.96,110.22,106.48,102.74,99
"Guinea Bissau",244.8,239.36,233.92,228.48,223.04,217.6,212.16,206.72,201.28,195.84,190.4,183.84,177.28,170.72,164.16,157.6,151.04,144.48,137.92,131.36,124.8,119.82,114.84,109.86,104.88,99.9
Guyana,67.2,65.7,64.2,62.7,61.2,59.7,58.2,56.7,55.2,53.7,52.2,51.63,51.06,50.49,49.92,49.35,48.78,48.21,47.64,47.07,46.5,46.04,45.58,45.12,44.66,44.2
Haiti,154.4,150.14,145.88,141.62,137.36,133.1,128.84,124.58,120.32,116.06,111.8,115.62,119.44,123.26,127.08,130.9,134.72,138.54,142.36,146.18,150,134.92,119.84,104.76,89.68,74.6
Honduras,63.2,60.99,58.78,56.57,54.36,52.15,49.94,47.73,45.52,43.31,41.1,39.69,38.28,36.87,35.46,34.05,32.64,31.23,29.82,28.41,27,26.12,25.24,24.36,23.48,22.6
Hungary,21.1,20.21,19.32,18.43,17.54,16.65,15.76,14.87,13.98,13.09,12.2,11.69,11.18,10.67,10.16,9.65,9.14,8.63,8.12,7.61,7.1,6.96,6.82,6.68,6.54,6.4
Iceland,7,6.74,6.48,6.22,5.96,5.7,5.44,5.18,4.92,4.66,4.4,4.22,4.04,3.86,3.68,3.5,3.32,3.14,2.96,2.78,2.6,2.52,2.44,2.36,2.28,2.2
India,121.8,118.28,114.76,111.24,107.72,104.2,100.68,97.16,93.64,90.12,86.6,83.64,80.68,77.72,74.76,71.8,68.84,65.88,62.92,59.96,57,54.86,52.72,50.58,48.44,46.3
Indonesia,91,87.6,84.2,80.8,77.4,74,70.6,67.2,63.8,60.4,57,54.98,52.96,50.94,48.92,46.9,44.88,42.86,40.84,38.82,36.8,35.5,34.2,32.9,31.6,30.3
Iran,57.8,55.59,53.38,51.17,48.96,46.75,44.54,42.33,40.12,37.91,35.7,34.13,32.56,30.99,29.42,27.85,26.28,24.71,23.14,21.57,20,19.24,18.48,17.72,16.96,16.2
Iraq,58.2,57.21,56.22,55.23,54.24,53.25,52.26,51.27,50.28,49.29,48.3,47.45,46.6,45.75,44.9,44.05,43.2,42.35,41.5,40.65,39.8,38.82,37.84,36.86,35.88,34.9
Ireland,10.1,9.87,9.64,9.41,9.18,8.95,8.72,8.49,8.26,8.03,7.8,7.48,7.16,6.84,6.52,6.2,5.88,5.56,5.24,4.92,4.6,4.46,4.32,4.18,4.04,3.9
Israel,12.4,11.9,11.4,10.9,10.4,9.9,9.4,8.9,8.4,7.9,7.4,7.15,6.9,6.65,6.4,6.15,5.9,5.65,5.4,5.15,4.9,4.78,4.66,4.54,4.42,4.3
Italy,10.6,10.13,9.66,9.19,8.72,8.25,7.78,7.31,6.84,6.37,5.9,5.74,5.58,5.42,5.26,5.1,4.94,4.78,4.62,4.46,4.3,4.2,4.1,4,3.9,3.8
Jamaica,34.3,33.35,32.4,31.45,30.5,29.55,28.6,27.65,26.7,25.75,24.8,24.35,23.9,23.45,23,22.55,22.1,21.65,21.2,20.75,20.3,19.76,19.22,18.68,18.14,17.6
Japan,6.9,6.69,6.48,6.27,6.06,5.85,5.64,5.43,5.22,5.01,4.8,4.66,4.52,4.38,4.24,4.1,3.96,3.82,3.68,3.54,3.4,3.3,3.2,3.1,3,2.9
Jordan,38.1,37.19,36.28,35.37,34.46,33.55,32.64,31.73,30.82,29.91,29,28.29,27.58,26.87,26.16,25.45,24.74,24.03,23.32,22.61,21.9,21.3,20.7,20.1,19.5,18.9
Kazakhstan,59.2,58.23,57.26,56.29,55.32,54.35,53.38,52.41,51.44,50.47,49.5,47.03,44.56,42.09,39.62,37.15,34.68,32.21,29.74,27.27,24.8,23.06,21.32,19.58,17.84,16.1
Kenya,107.7,108.29,108.88,109.47,110.06,110.65,111.24,111.83,112.42,113.01,113.6,108.9,104.2,99.5,94.8,90.1,85.4,80.7,76,71.3,66.6,63.96,61.32,58.68,56.04,53.4
