Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mozambique,3.297948575,3.350299903,3.420644088,3.622399025,3.516843583,3.378074945,3.275122231,3.313658446,3.336097262,2.948451489,2.819128752
"Burma (Myanmar)",,,,,,,3.256152,3.027611271,2.575495179,,
Namibia,3.260947022,3.51702389,3.609273397,3.44267256,3.538084287,3.590372031,3.524352964,3.560624471,3.606096369,3.370078581,3.325049162
Nepal,3.506953619,3.652026485,3.325890593,3.505988738,3.656636715,3.383838385,3.22317525,3.26577555,3.154742414,3.024562525,3.009883642
Netherlands,5.335312792,5.081702901,4.895208657,4.871320231,4.914512592,4.957125466,4.788155826,4.748207871,4.975117232,5.316329644,5.449276447
"New Zealand",4.425726921,4.3436568,4.572982261,4.419156478,4.435509774,4.528353212,4.406987792,4.322445814,4.386581358,4.673076882,4.815448761
Nicaragua,3.44966452,3.425236221,3.550367645,3.63919525,3.399219259,3.527127809,3.642630797,3.437048472,3.023856195,3.023856195,2.888888836
Nigeria,4.254347222,4.478164931,4.232939736,3.985346461,4.053492534,3.936771165,3.828189956,3.758904229,3.270743327,2.902287813,2.864854336
Norway,4.740711609,4.673631447,4.549807307,4.689976273,4.622299887,4.4996591,4.568248383,4.573461911,4.570688264,4.700139427,4.957847118
Oman,4.343949045,4.332163798,4.50963841,4.630238561,4.526863505,4.749869011,5.009135,4.639994308,3.895284279,3.882432415,3.882432461
Pakistan,3.683784042,3.742069916,3.820170844,3.788670057,3.895619801,3.882341221,3.828165463,3.845470965,3.845533172,3.733935731,3.663678169
Panama,4.218734969,4.057555794,3.973682456,4.008583711,4.160240467,4.366747633,4.350890345,4.220475822,4.000854867,4.074963814,4.075337887
Paraguay,3.044200667,3.191834411,3.553782151,3.827105662,3.879981251,3.961620622,3.895655742,3.831771344,3.317332394,3.118253937,3.256150007
Peru,4.10704811,3.917973877,3.768794173,4.034118149,4.139392046,4.044916689,4.081689328,4.037752915,3.579257916,3.334641009,3.439395666
Philippines,3.975629476,4.028416494,3.988582797,4.269050764,4.23022828,4.18539124,4.349795742,4.361325654,4.098639698,3.851264837,3.758683443
Poland,3.923483832,4.242529053,4.37304561,4.123841129,3.934323137,3.947795628,3.773365102,3.637270138,3.639826824,3.692646426,3.748557568
Portugal,4.14144385,4.205818054,4.149497629,4.062828435,4.011231762,3.915066997,3.87564473,4.044637177,3.867676826,3.763584789,3.787773132
"Puerto Rico",3.543859649,3.644782718,3.645652498,3.762894833,3.893978425,4.03796062,4.286174349,4.290009527,,,
Qatar,4.307940777,4.349447213,3.652998062,4.231304548,5.130673,5.418885167,5.639814255,5.458740094,5.506556191,5.413465129,4.862778664
Romania,3.91084071,3.926713454,3.836018374,3.622455155,3.524492839,3.552215693,3.690174687,3.76486953,3.558187564,3.010927162,2.705522537
Russia,3.719849706,3.734345757,3.779002843,3.749289836,3.560410514,3.479931545,3.713878526,3.981106177,3.981106177,3.745397229,3.657305241
Rwanda,,,,4.181212,3.896697799,3.685519,3.910877493,4.040576,3.617771824,3.37505723,3.493519545
"Saudi Arabia",4.913978495,4.862926898,4.952272957,5.228383656,5.335885,5.190991462,5.026497922,4.856744743,4.644537103,4.461443103,4.30599165
Senegal,4.302631579,4.826599093,4.594353141,3.855047558,3.857757654,3.785842439,3.600342971,3.851916411,3.653699953,3.374571841,3.433804512
Serbia,3.790697674,3.712062089,3.575948958,3.422410904,3.268336191,3.468901075,3.576872193,3.427824937,3.110970542,3.122449052,3.317321062
Seychelles,,,,,,3.618646,4.015164425,3.840027634,3.840027634,3.5051,3.170212746
"Sierra Leone",,,,,,3.034096,3.09653255,3.037050712,2.737478367,2.703997526,2.993801594
Singapore,4.294082516,4.186158166,4.043636629,4.129724191,4.17232067,4.338194618,4.260828354,4.133014977,4.433689788,4.648806914,4.56000948
Slovakia,3.778589744,3.829376988,3.676658363,3.450089013,3.428784407,3.323982912,3.21247444,3.424757317,3.494267315,3.525716768,3.561889172
Slovenia,4.47638357,4.517230822,4.596090441,4.499375398,4.346981,4.27357557,4.279193092,4.279679328,3.988914596,3.973820642,4.11879921
"South Africa",4.516692136,4.498364723,4.444399983,4.620554749,4.60991815,4.528703076,4.615650395,4.447498757,4.331484684,4.307181966,4.149532795
Spain,4.3751682,4.552533566,4.310461409,4.153496589,4.253428261,4.228945299,4.3388174,4.248679175,4.410636157,4.383190103,4.337610245
"Sri Lanka",4.212253521,4.777961866,4.73537626,4.432058453,4.469445731,4.537039,4.684742234,4.637170534,4.064115647,3.726808822,3.562565804
Suriname,,,,,3.315888,3.494208817,3.689096134,3.665800246,,,
Swaziland,,,,3.349374,3.275732621,3.523086699,3.718848336,3.516225403,3.099721861,2.9886,2.877551079
Sweden,5.080424567,4.818028562,5.125880183,5.387522667,5.100520675,4.832016169,4.922792436,4.87128787,4.965571099,5.33308213,5.50843668
Switzerland,5.463014245,5.425957786,5.36691797,5.245320792,5.274185894,5.289028709,5.222131497,5.27832478,5.412473196,5.418471163,5.363745689
Syria,5.153846154,5.167435842,4.772059174,4.426600134,4.190058652,,,,,,
Taiwan,5.02592475,5.05410951,4.815058352,4.810688868,4.742156201,4.622673278,4.752458757,4.540527271,4.14974124,4.127809693,4.138921738
Tajikistan,4.070955635,4.184590855,3.62297055,3.267119998,3.662068322,4.02120986,3.8617,3.702127695,3.788168977,3.995575953,3.995575905
Tanzania,3.585263736,3.42013703,3.65353635,3.729956554,3.701668415,3.79215417,3.561640451,3.472251382,3.288140941,3.123625394,3.173892975
Thailand,4.030144928,3.88280429,4.035330335,4.314024759,4.264688731,4.150157838,4.343503299,4.380679365,4.112650898,3.94577167,4.029921055
"Timor Leste",2.738461538,2.865058241,3.035413795,3.010886615,3.175809357,3.463793589,3.14184373,2.967876014,,,
"Trinidad and Tobago",3.729918396,3.917647445,3.805880992,4.062420595,4.237428271,4.057713926,4.11887131,4.123515048,3.956449909,3.841026849,3.911593199
Tunisia,4.688618926,4.5697452,4.241403312,4.529130458,4.396839793,4.1575,3.918167644,4.039190002,3.676148861,3.437586218,3.476222038
Turkey,4.604152553,4.268573423,4.456064903,4.714185003,4.553442717,4.567463876,4.608756034,4.589848052,4.125129091,3.824546826,3.824546814
Uganda,3.536900308,3.72655116,3.446920351,3.247079413,3.572090018,4.009568009,3.80106763,3.706338025,3.372319895,2.920849223,2.957805634
Ukraine,4.302212719,4.46966185,3.871098289,3.587973617,3.5805336,4.140098979,4.137702352,3.893074311,3.642350757,3.339289554,3.25693965
"United Arab Emirates",4.394625486,4.493507126,4.889585379,4.827353055,4.871787997,5.224608432,5.31882,5.344695429,5.344695429,5.082269898,5.080535889
"United Kingdom",5.068770334,4.970526405,4.745726727,4.693032969,4.808322231,4.957425569,4.793760205,4.679370712,4.999359069,5.309104865,5.311907291
"United States",5.283876584,5.292184358,5.192702428,5.084161702,5.058021835,5.087361358,5.202704822,5.251364506,5.33137586,5.459636488,5.712910175
Uruguay,3.809355661,3.900020481,3.933552786,3.947686035,4.015654583,3.932557061,3.976491775,3.949387192,3.452534573,3.156819167,3.080867052
Venezuela,3.4464672,3.557530608,3.43842045,3.403174546,3.439102022,3.383662371,3.711301635,3.511696077,3.188395063,3.031853061,2.625608206
Vietnam,3.376727404,3.424730284,3.73686032,3.96192871,3.54918328,3.5963939,3.852411551,3.701421852,3.686545481,3.587204903,3.689886332
Yemen,,,,,2.975823,3.141964276,4.03490432,4.712067797,4.118,3.52384922,2.63506484
Zambia,2.819334973,3.447064069,3.42948635,3.499072196,3.542766211,3.65860611,3.893966844,3.82955077,3.1488944,2.948100035,3.072847843
Zimbabwe,3.508333333,3.485482685,3.482648898,3.698376581,3.530593667,3.286057,3.437506808,3.703990752,3.176517049,2.597176516,2.426212549
