Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Uganda,4.179775281,4.025006005,3.934907409,4.064228364,4.291059633,4.371802534,4.374175877,4.06065303,3.855983205
Ukraine,3.050955414,3.050503657,3.34474276,3.608979052,3.701676512,3.6713698,3.638442172,3.469353556,3.637849654
"United Arab Emirates",5.094117647,5.121250793,5.137456966,5.146799596,4.785862548,4.73712094,5.102376478,5.194513,5.35260389
"United Kingdom",5.289855072,4.994704327,4.634723109,4.643199762,4.866534215,5.163411308,5.347427892,5.253760932,5.161606291
"United States",4.782222222,4.839210181,4.911062138,4.851880171,4.708117878,4.510722231,4.413949035,4.403809842,4.434974069
Uruguay,3.930555556,4.003156566,4.076764875,4.501391308,4.917566496,5.08542865,4.979790611,4.684201516,4.660847021
Venezuela,2.692307692,2.621641586,2.137250048,2.430240713,2.950720054,3.0576712,2.957124679,2.7167439,2.279819016
Vietnam,3.585185185,3.812561789,4.190429737,4.371581662,4.253525619,3.99776018,3.93123375,3.583681322,3.528616932
Yemen,,,,,,2.218823,3.077643914,3.770685572,3.676279666
Zambia,5.082474227,4.858324182,4.72871026,4.809402989,4.570488573,4.498175057,4.648990574,4.68271155,4.478449358
Zimbabwe,3.138888889,3.306944444,3.489928571,3.967228506,4.305375423,4.199143667,4.2819389,3.926960727,3.53289229
