Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Germany,--,--,--,--,--,--,--,--,--,--,--,407782.00,362341.00,335733.00,315382.00,298757.00,296874.00,283880.00,268939.00,256078.00,263092.00,267764.00,272264.00,274394.00,276135.00,266199.00,267558.00,275893.00,262148.00,247775.00,253876.00,258751.00,271234.00,272161.00,264633.00
"East Germany",298038.60,303441.00,307699.00,313647.00,335920.00,348264.00,350559.00,350955.00,349234.00,341933.00,297683.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"West Germany",240614.00,245252.00,244763.00,237130.00,234157.00,230894.00,227144.00,216427.00,211039.00,209689.00,200377.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,46.00
Greece,25531.70,30112.00,30554.00,35806.00,35945.00,41848.00,43911.00,48970.00,56162.00,58567.00,58900.00,58517.00,62181.00,62429.00,65488.00,64421.00,65704.00,66067.00,68235.00,68320.00,72405.00,75489.00,76811.00,78156.00,78958.00,77888.00,71717.00,73946.00,71788.00,72256.00,64285.00,66533.00,68631.00,60282.00,57502.00
Greenland,2.20,2.20,1.10,1.10,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,17.00,237.00,220.00,430.00,403.00,468.00,451.00,472.00,494.00,497.00,324.00,541.00,542.00,548.00,631.00,807.00,1315.00
Haiti,,,42.00,69.00,73.00,67.00,20.00,20.00,34.00,13.00,13.00,28.00,29.00,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,0.05,0.00,0.07,0.02,0.04,62.00,149.00,136.00,155.00,186.00,192.00,202.00,65.00,71.00,115.00,114.00,118.00,80.00,82.00,84.00,95.00
"Hong Kong",3.31,63.00,1120.00,3309.00,4630.00,5690.00,6911.00,8609.00,9556.00,10191.00,10894.00,11703.00,12564.00,13683.00,10566.00,10720.00,8885.00,6710.00,7962.00,6713.00,7583.00,8855.00,9610.00,11768.00,11785.00,11931.00,12570.00,13515.00,12506.00,13593.00,11380.00,13811.00,13615.00,14299.00,15198.00
Hungary,30330.06,30213.00,31282.00,29855.00,29985.00,28209.00,27890.00,28165.00,26015.00,24496.00,22367.00,21890.00,20240.00,19854.00,18499.00,18662.00,19222.00,19057.00,18303.00,18407.00,16725.00,16806.00,15492.00,16190.00,14850.00,12718.00,13248.00,13274.00,13039.00,11761.00,12112.00,12801.00,12572.00,12402.00,11820.00
Iceland,13.23,26.00,28.00,41.00,61.00,76.00,82.00,66.00,74.00,78.00,72.00,66.00,55.00,58.00,78.00,72.00,73.00,64.00,77.00,66.00,111.00,108.00,108.00,94.00,115.00,129.00,119.00,133.00,120.00,108.00,117.00,116.00,116.00,132.00,110.00
India,118824.61,133848.00,142636.00,151495.00,164029.00,172213.00,185549.00,200475.00,214049.00,227327.00,243012.00,261538.00,276459.00,301239.00,306011.00,324806.00,341416.00,354130.00,357631.00,379141.00,393345.00,405867.00,422496.00,449492.00,483968.00,510826.00,543579.00,592390.00,633948.00,692971.00,735965.00,770315.00,841320.00,837345.00,880177.00
Indonesia,209.44,190.00,176.00,151.00,42.00,2437.00,4769.00,5761.00,7222.00,8410.00,9195.00,10234.00,10616.00,10687.00,11904.00,13522.00,14918.00,17336.00,19552.00,25186.00,24627.00,30190.00,32250.00,43292.00,39773.00,45581.00,54008.00,67759.00,58944.00,62055.00,62296.00,68166.00,80069.00,90607.00,107076.00
