Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iraq,3000000,4250000,5500000,6750000,8000000,9250000,10500000,11750000,13000000,14250000,15500000,16750000,18000000,19250000,20500000,21750000,23000000,24250000,25500000,26750000,28000000,45500000,63000000,80500000,98000000,115500000,133000000,150500000,168000000,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,5000000,10000000,14000000,13000000,23000000,24000000,13000000,21000000,31000000,13000000,45000000,109000000,54000000,202000000,212000000,190000000,270000000,219000000,256000000,418000000,281000000,208000000,352000000,137000000,75000000,211000000,85000000,151000000,324000000,382000000,296000000,166000000,286000000,247000000,229000000,169000000,404000000,474000000,579000000,409000000,609000000,510000000,406000000,554000000,373000000,744000000,637000000,538000000,455000000,420000000,393000000,720000000,1392000000,1195000000,655000000,369000000
Italy,104000000,245000000,261000000,240000000,385000000,295000000,243000000,149000000,192000000,325000000,280000000,395000000,296000000,341000000,417000000,526000000,529000000,505000000,691000000,1303000000,1168000000,1715000000,1689000000,1183000000,1258000000,920000000,228000000,617000000,386000000,335000000,206000000,349000000,248000000,341000000,208000000,297000000,291000000,454000000,426000000,504000000,208000000,270000000,467000000,365000000,263000000,832000000,553000000,749000000,422000000,512000000,539000000,947000000,747000000,862000000,671000000,676000000,618000000,793000000,555000000,491000000
Jordan,,,,,,,,,,,,36000000,29000000,22000000,23000000,50000000,34000000,18000000,27666666.6667,37333333.3333,47000000,56666666.6667,66333333.3333,76000000,39000000,2000000,7000000,7000000,7000000,64000000,64200000,64400000,64600000,64800000,65000000,45333333.3333,25666666.6667,6000000,11142857.1429,16285714.2857,21428571.4286,26571428.5714,31714285.7143,36857142.8571,42000000,20000000,16500000,13000000,13000000,28000000,117000000,69000000,21000000,25000000,114000000,16000000,17000000,80000000,1000000,86000000
Japan,1000000,61000000,100000000,8000000,14000000,9500000,5000000,14666666.6667,24333333.3333,34000000,24500000,15000000,8000000,34000000,53000000,42000000,31000000,20000000,9000000,11000000,167000000,117000000,67000000,17000000,17000000,44000000,99000000,71000000,43000000,15000000,30000000,68000000,126000000,153000000,162000000,158000000,188000000,32000000,32800000,33600000,34400000,35200000,36000000,36800000,37600000,38400000,39200000,40000000,36200000,32400000,28600000,24800000,21000000,17200000,13400000,9600000,5800000,2000000,3000000,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000000,12000000,3000000,6000000,183000000,19000000,12000000,9666666.6667,7333333.3333,5000000,5500000,6000000,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,8000000,7400000,6800000,6200000,5600000,5000000,4400000,3800000,3200000,2600000,2000000,2000000,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57000000,61375000,65750000,70125000,74500000,78875000,83250000,87625000,92000000,67333333.3333,42666666.6667,18000000,18000000,14000000,12571428.5714,11142857.1429,9714285.7143,8285714.2857,6857142.8571,5428571.4286,4000000,5000000,5000000,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,
"South Korea",,,,,,,,,,,,,141000000,135857142.857,130714285.714,125571428.571,120428571.429,115285714.286,110142857.143,105000000,105000000,130000000,65000000,95500000,126000000,33000000,78000000,64500000,51000000,48000000,72000000,118000000,89000000,60000000,7000000,28000000,24000000,21000000,32000000,21000000,10000000,228000000,162000000,96000000,73000000,108000000,158000000,279000000,109000000,224000000,197000000,345000000,218000000,347000000,163000000,101000000,479000000,751000000,1066000000,688000000
Kuwait,,,,,,,,3000000,4615384.6154,6230769.2308,7846153.8462,9461538.4615,11076923.0769,12692307.6923,14307692.3077,15923076.9231,17538461.5385,19153846.1538,20769230.7692,22384615.3846,24000000,19000000,14000000,9000000,4000000,10500000,17000000,23500000,30000000,36500000,43000000,49500000,56000000,62500000,69000000,75500000,82000000,88500000,95000000,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5000000,9000000,13000000,17000000,21000000,25000000,29000000,33000000,37000000,41000000,45000000,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,26000000,4000000,6000000,8000000,398000000,95000000,107000000,168000000,14000000,54000000,32000000,10000000,14000000,64000000,7000000,36000000,27750000,19500000,11250000,3000000,3000000,3000000,3000000,10000000,12750000,15500000,18250000,21000000,16000000,113000000,113000000,18000000,10000000,18000000,32000000,28000000,,,,,,,,,
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,6562500,10125000,13687500,17250000,20812500,24375000,27937500,31500000,35062500,38625000,42187500,45750000,49312500,52875000,56437500,60000000,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,2000000,2571428.5714,3142857.1429,3714285.7143,4285714.2857,4857142.8571,5428571.4286,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000,23500000,36000000,96333333.3333,156666666.667,217000000,146666666.667,76333333.3333,6000000,42000000,60000000,13000000,15500000,18000000,3000000,19000000,29000000,20000000,15500000,11000000,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,9545454.5455,9090909.0909,8636363.6364,8181818.1818,7727272.7273,7272727.2727,6818181.8182,6363636.3636,5909090.9091,5454545.4545,5000000,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71000000,109000000,78666666.6667,48333333.3333,18000000,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
