Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,2064481491,1866970864,1959730346,1492802526,780399404.2,709835572.4,810612045.3,719310052.9,975089462.3,907797733.5,1029057317,667042804.6,403911465.7,732308307.1,658243345.4,584178383.7,510113422,380677539,369392744.1,236250690.9,1891304348,1473333333,1851809654,1635432294,1816631149,2309731003,2716544076,3277795173,4335835006,4403016205,3498347635,3968716180,4501849079,5026566853,5566510631,5874759865,5851559598
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,82426439.01,101071149,127792724.4,126227529.7,103163003.5,115727996.8,106418287.3,121532408.7,178353878.4,198834376.5,191094008.3,163945581.9,233596127.1,243524698.8,231590097.7,153244954.3,137246677.8,172093100.1,170266027.2,126784106.7,135604304.4,128634256.4,111941932.4,126050678.1,160691386.2,210598652.5,231503916.1,243427043.3,276348701.2,338433624,410899118.7,428954442.1,454236114.1,524000751.3,525000184.7,605173470.6,671924617.6,626636198.4,644193885.5
"Costa Rica",,,,,,98490566.04,109539622.6,119064150.9,137675471.7,152000000,178867924.5,201636028.9,237091183.1,307802250.7,346267339.2,399918319.7,475157526.3,583465577.6,660186697.8,738798133,898611435.2,497066161.8,530068142.9,870839751.1,1047821226,1073230774,1189120939,1253262112,1337844972,1486582349,1513692998,1480124153,1772834432,1889480115,1999991723,2200732617,2235667517,2454546862,2593066993,2662448194,2750125247,2784232980,2883593463,2953827955,3143191718,3381006629,3744493565,4336781533,4661611262,4351437293,5389888745,5909365530,6274183864,6258544045,6190712162,6583028019,6968198673
"Ivory Coast",,,,,,84060739.6,113563056.4,132113341,124815817.8,125788293.7,149781200.7,163787713.4,205136257.7,254835146.8,314077971.9,365820237.1,438584568.8,478672002.2,607119003.8,743224932,846925451.273,950625970.546,1054326489.82,1158027009.09,1261727528.36,1365428047.64,1469128566.91,1572829086.18,1676529605.45,1780230124.73,1883930644,1739429623,1849518089,1704617617,1225567181,1655439067,1771488121,2026146993,2042539746,2051326695,1844543565,1808451685,1760480758,1885035425,2063557690,2470556987,2533190053,2961423575,3463333283,3249439893,3141870105,3382474393,3516663464,3975273615,5024511239,4067820555,4921753219
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3824148084,3667812097,3732241162,3760005972,3448686334,3222320826,3422875766,3862011878,4826655332,5737714946,6008501679,6495778162,7760327976,9072640097,7812231760,7221903347,7693133367,6935424782,6878211783,6983262291,6010877506,6158258331
Cuba,,,,,,,,,,,447364700,543431100,639362434.4,784870808.2,895950609.8,1023808902,1084408039,1116598795,1401507662,1535191507,1568682917,1589734458,1642742824,1737240629,1866279112,1850187138,1925474442,1914403027,2125957256,2016546713,2043887766,1902214412,1970892432,2002917703,3053532568,3483453721,4416100000,4644700000,4349300000,4712700000,5019700000,5091200000,5158000000,5110200000,5262900000,5711347094,6883300000,8307900000,8682700000,9061000000,9623000000,10129000000,11275000000,11593000000,11602000000,12369300000,
Cyprus,,,,,,,,,,,,,,,,70151177.06,99379379.99,130615838.2,176246518.9,226722155.7,377989054.7,367456485.4,367633785.5,357114794.2,366591226.3,380254030.7,464314802.3,569603166.9,661573902.1,670701893.5,791513444.3,819352020.2,928703911.3,841823321.6,902100833.3,937128072.4,931367628.6,892360319.3,925000000,916073354.9,829877474.1,818488160.3,898557692.3,1069988675,1256000000,1272354185,1251035002,1382699151,1524534935,1395387608,1307152318,1269113150,1038031607,925783324.5,952766352.7,818675834.5,861249719.1
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8521440291,10060674730,12867143934,15072572683,14543512963,15358877613,14797305116,14555608814,16117673659,18394861112,21883406005,27391263745,31389633266,36617615819,44434972430,52413350750,42625190159,43990732135,50283577662,46086119270,46550273157,50261351319,44904314244,47011044091
Denmark,,,,,,,,,,,2882266667,3176682870,3759803146,5025869907,5676221103,6738192197,7128039702,7946095416,9264135205,10726858012,11387356057,9606648511,9213791945,9421104429,9453488597,9968008003,13771845260,16488311916,17045680755,16621433066,20550851566,20392558430,22596378456,20504788785,22564066283,27227616736,26600272475,25381785146,25711706065,25369398813,23220051713,23131037632,24889736152,28870470726,32047871009,31829111708,34133147239,38176056726,41423863792,35674047268,35206678432,37989375787,37406286589,40473181102,41464656063,38266136327,41306244465
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19209885.72,14389970.8,14736018.82,14209913.29,13879620.3,12287236.74,12204522.82,12204522.82,12587145.02,12333939.15,12086360.08,12569814.48,13187524.27,13682119.73,14384344,15428677.53,16305332.52,17258511.94,18309597.63,,,,,,,,,
