Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ireland,2697793000,3022330000,3181000000,3297000000,3403000000,3517000000,3789000000,4228000000,5206000000,6075000000,6779000000,7668000000,9260000000,9972000000,8465000000,8185000000,9532000000,9060000000,9536000000,11097000000,11479000000,11429000000,14294000000,14658000000
Iran,205000000,142000000,190000000,656000000,559000000,677000000,1122000000,1607000000,1266000000,1305000000,1025000000,1464000000,1950000000,1978000000,2259000000,2631000000,2489000000,2483000000,3306000000,4197000000,4771000000,3914000000,4632000000,
Iraq,18000000,15000000,14000000,15000000,1000000,2000000,15000000,45000000,92000000,139000000,186000000,170000000,555000000,867000000,1432000000,1736000000,1557000000,1640000000,1682000000,1938000000,2833000000,3120000000,2959000000,1986000000
Iceland,309000000,312000000,314000000,372000000,380000000,386000000,383000000,415000000,486000000,558000000,635000000,702000000,848000000,881000000,550000000,562000000,751000000,865000000,1078000000,1375000000,1618000000,2411000000,3024000000,3128000000
Israel,3491000000,3506000000,3740000000,3598000000,4800000000,4611000000,2854000000,2426000000,2473000000,2908000000,2750000000,3670000000,4234000000,5271000000,4924000000,5621000000,5869000000,6165000000,6577000000,6590000000,6574000000,6587000000,7578000000,8073000000
Italy,30411000000,31884000000,31415000000,31339000000,29570000000,28712000000,26924000000,28213000000,32623000000,37893000000,38364000000,41666000000,46134000000,46217000000,40407000000,38432000000,43271000000,40943000000,43825000000,45562000000,41415000000,42423000000,46719000000,51602000000
Jamaica,1199000000,1218000000,1290000000,1380000000,1486000000,1577000000,1494000000,1482000000,1621000000,1733000000,1783000000,2094000000,2142000000,2222000000,2070000000,2095000000,2060000000,2069000000,2074000000,2255000000,2401000000,2539000000,2809000000,3099000000
Jordan,973000000,1026000000,1063000000,1083000000,1016000000,935000000,884000000,1254000000,1266000000,1621000000,1759000000,2426000000,2754000000,3539000000,3472000000,4390000000,4351000000,5123000000,5145000000,5518000000,4968000000,4943000000,5549000000,6221000000
Japan,4894000000,5775000000,6175000000,5664000000,5715000000,5970000000,5750000000,6069000000,11475000000,14343000000,15554000000,11490000000,12422000000,13781000000,12537000000,15356000000,12533000000,16197000000,16865000000,20790000000,27285000000,33456000000,36978000000,45276000000
Kazakhstan,155000000,258000000,350000000,454000000,394000000,403000000,502000000,680000000,638000000,803000000,801000000,973000000,1214000000,1255000000,1185000000,1236000000,1524000000,2154000000,2365000000,2239000000,1833000000,2038000000,2356000000,2651000000
Kenya,785000000,823000000,1077000000,1213000000,1211000000,500000000,536000000,513000000,619000000,799000000,969000000,1181000000,1514000000,1398000000,1124000000,1620000000,1844000000,2004000000,1829000000,1745000000,1596000000,1471000000,1564000000,
Kyrgyzstan,5000000,4000000,7000000,12000000,18000000,20000000,32000000,48000000,62000000,92000000,94000000,189000000,392000000,569000000,300000000,212000000,405000000,486000000,585000000,468000000,482000000,477000000,480000000,487000000
Cambodia,71000000,117000000,99000000,129000000,240000000,345000000,429000000,509000000,441000000,673000000,929000000,1109000000,1169000000,1280000000,1463000000,1671000000,2258000000,2663000000,2895000000,3220000000,3419000000,3523000000,4024000000,4832000000
Kiribati,2000000,2100000,2600000,3100000,2800000,2700000,3200000,3175000,3150000,3125000,3100000,2300000,3300000,3300000,3900000,4300000,4900000,4900000,3400000,3200000,2000000,2800000,4100000,
"Saint Kitts and Nevis",63000000,68000000,72000000,71000000,69000000,58000000,62000000,57000000,75000000,103000000,121000000,132000000,125000000,110000000,83000000,90000000,94000000,95000000,101000000,343000000,317000000,332000000,355000000,367000000
"South Korea",6670000000,6350000000,6317000000,8263000000,8337000000,8527000000,7917000000,7617000000,7002000000,8222000000,8282000000,8437000000,9253000000,13440000000,13262000000,14315000000,17329000000,18731000000,19457000000,22390000000,18711000000,20924000000,17173000000,19856000000
Kuwait,307000000,389000000,396000000,456000000,342000000,394000000,286000000,320000000,328000000,398000000,413000000,508000000,530000000,610000000,660000000,574000000,644000000,780000000,619000000,615000000,931000000,831000000,643000000,919000000
Laos,52000000,63000000,61000000,97000000,86000000,114000000,108000000,110000000,77000000,122000000,143000000,160000000,190000000,280000000,271000000,385000000,413000000,461000000,613000000,642400000,725000000,717000000,655000000,757000000
Lebanon,710000000,715000000,1000000000,1221000000,673000000,742000000,837000000,4284000000,6782000000,5931000000,5969000000,5457000000,5796000000,6317000000,7157000000,8026000000,6797000000,7361000000,7032000000,6835000000,7087000000,7373000000,8086000000,8694000000
Liberia,,,,,,,,,,59000000,67000000,124000000,131000000,158000000,123000000,,,,,,,,,
Libya,4000000,4000000,3000000,23000000,39000000,84000000,90000000,202000000,243000000,261000000,301000000,244000000,99000000,99000000,159000000,170000000,,,,,,,,
"Saint Lucia",230000000,237000000,253000000,283000000,263000000,281000000,233000000,210000000,282000000,326000000,382000000,294000000,302000000,311000000,296000000,309000000,321000000,337000000,354000000,778000000,810000000,776000000,875000000,989000000
"Sri Lanka",367000000,282000000,351000000,369000000,414000000,388000000,347000000,594000000,709000000,808000000,729000000,733000000,750000000,803000000,754000000,1044000000,1421000000,1756000000,2506000000,3278000000,3978000000,4591000000,5083000000,5608000000
Lesotho,29000000,33700000,33720000,24700000,23100000,18000000,16000000,14000000,21000000,26000000,27000000,29000000,31000000,30000000,30000000,23000000,24000000,22000000,17000000,16000000,34000000,48000000,23000000,24000000
Lithuania,102000000,345000000,399000000,504000000,591000000,430000000,425000000,556000000,700000000,834000000,920000000,1038000000,1154000000,1248000000,972000000,958000000,1321000000,1317000000,1374000000,1383000000,1153000000,1210000000,1325000000,1419000000
Luxembourg,1695000000,1640000000,1639000000,1634000000,1697000000,1686000000,1780000000,2497000000,3051000000,3824000000,3770000000,3819000000,4351000000,4918000000,4546000000,4519000000,5358000000,5395000000,5629000000,6033000000,4762000000,4766000000,4993000000,5537000000
Latvia,37000000,231000000,235000000,222000000,153000000,172000000,153000000,201000000,271000000,343000000,446000000,622000000,880000000,801000000,724000000,639000000,771000000,744000000,865000000,953000000,895000000,899000000,951000000,1057000000
Macau,3233000000,3085000000,2876000000,2648000000,2598000000,3205000000,3745000000,4428000000,5225000000,7431000000,7181000000,8482000000,11198000000,13749000000,15182000000,22688000000,31118000000,36521000000,43665000000,43303000000,31500000000,31015000000,36465000000,40358000000
Morocco,1469000000,1857000000,1649000000,1934000000,2177000000,2280000000,2966000000,3157000000,3802000000,4540000000,5426000000,6900000000,8307000000,8885000000,7980000000,8176000000,9101000000,8491000000,8201000000,9070000000,7765000000,7922000000,9086000000,9523000000
Moldova,71000000,50000000,74000000,64000000,49000000,57000000,58000000,72000000,79000000,112000000,138000000,150000000,229000000,293000000,240000000,222000000,253000000,279000000,324000000,328000000,300000000,344000000,443000000,500000000
Madagascar,106000000,102000000,110000000,136000000,137000000,152000000,149000000,109000000,119000000,239000000,275000000,382000000,395000000,440000000,328000000,425000000,507000000,596000000,609000000,740000000,696000000,913000000,849000000,879000000
Maldives,211000000,266000000,286000000,303000000,314000000,321000000,327000000,337000000,402000000,471000000,826000000,1235000000,1515000000,1559000000,1473000000,1713000000,1966000000,2032000000,2422000000,2811000000,2691000000,2640000000,2771000000,3054000000
Mexico,6847000000,7531000000,8184000000,8307000000,8135000000,9133000000,9190000000,9547000000,10058000000,11609000000,12801000000,13329000000,14055000000,14726000000,12542000000,12628000000,12458000000,13320000000,14311000000,16606000000,18729000000,20619000000,22467000000,23802000000
"Marshall Islands",2500000,3000000,3000000,3000000,2900000,3000000,3100000,3400000,4000000,5000000,3690000,3580000,3300000,2700000,3100000,3700000,4780000,4090000,4300000,5400000,1500000,30400000,18100000,20100000
"Macedonia (F.Y.R.O.M.)",19000000,35000000,29000000,30000000,80000000,88000000,49000000,55000000,86000000,103000000,116000000,156000000,219000000,262000000,232000000,199000000,242000000,237000000,270000000,298000000,268000000,283000000,331000000,387000000
Mali,26000000,27000000,25000000,28000000,36000000,47000000,91000000,105000000,136000000,142000000,149000000,175400000,227000000,286000000,196000000,208000000,218000000,144000000,178200000,213900000,186000000,201600000,206400000,
Malta,813000000,780000000,789000000,818000000,841000000,731000000,704000000,757000000,869000000,949000000,924000000,966000000,1185000000,1082000000,899000000,1066000000,1276000000,1260000000,1402000000,1521000000,1381000000,1451000000,1746000000,1845000000
"Burma (Myanmar)",169000000,215000000,183000000,196000000,222000000,195000000,132000000,136000000,70000000,97000000,83000000,59000000,97000000,80000000,75000000,91000000,334000000,550000000,964000000,1687000000,2199000000,2289000000,1988000000,1670000000
Montenegro,,,,,,,,,,,,,660000000,859000000,792000000,765000000,926000000,860000000,929000000,959000000,947000000,978000000,1110000000,1224000000
Mongolia,33000000,20000000,25000000,47000000,43000000,43000000,49000000,143000000,154000000,205000000,203000000,261000000,349000000,272000000,253000000,288000000,197000000,215000000,236000000,257000000,279000000,379000000,462000000,526000000
"Northern Mariana Islands",655000000,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,49000000,61000000,61000000,61000000,74000000,64000000,65000000,106000000,96000000,138000000,145000000,182000000,213000000,217000000,135000000,171000000,224000000,228000000,225000000,202000000,114000000,164000000,331000000
