Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Mauritius,,,,,,,,,,,,0.2,2.8,2.9,1.7,2,1.5,0.2,2.4,1,1.9,3,2.1,2.5,1.8,1.7,1.9,3.5,1.9,1.9,2.8,4,3.9,1.6,3.4,2.3,2.8,3,3.5,5.9,1.8,3.2,3,2.4,4.8,1.9,4,1.7,3.2,2.3,2.3,3.5,4.3,2.7,2.6,3.1,3.3,3.2,3.2,3.2,2.2,3,3.4,3.2
Mexico,,,,,,0.9,1,1.2,1.5,1.4,1.5,1.7,1.8,1.6,2,1.8,2.1,2.1,2,2,2.1,2.2,2.4,2.3,2.6,2.4,2.5,3.1,2.6,2.9,2.9,2.9,3.2,3.5,3.2,3.5,3.7,3.3,3.6,3.7,3.4,3.5,3.5,3.4,3.6,3.7,3.6,3.9,3.9,3.8,3.9,3.8,4.1,4.1,3.9,4,3.8,3.9,4,3.9,3.9,3.9,4,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,5.7,5.4,5.1,4.8,5.2,4.3,4.7,5.9,5.4,4.8,4.4,5.9,5.3,4.9,4.1,3.9,4.8,3.7,3.2,4.3,3.1,3.7,3.7,3.6,3.2,3,3,3.9,3.1,2.4,3.3,3.6
Netherlands,5.1,4.9,5.8,5.6,5.4,5.7,5.5,7.2,6.2,7.1,6.6,6.7,7.1,6.8,6.8,7.3,7.1,7.5,7.7,6.8,6.8,5.8,7.1,6.7,7,6.5,6.4,6.4,6.4,6.7,6.4,6.3,5.7,5.9,5.6,5.7,5.7,6,5.8,5.4,5.6,5.6,5.9,5.9,5.6,5.8,5.4,4.7,5.1,5,5,5.1,5.1,5.2,4.9,4.6,4.8,4.4,4.6,4.4,4.4,4.3,4.5,4.2
"New Zealand",6.2,5.6,5.8,6.7,5.7,7,6.4,7.1,6.3,7.2,6.1,6.4,6.9,8,7.1,6.5,6.6,6.3,6.8,7,5.8,7.7,6.7,6.8,7.2,7.2,6.7,7.2,6.1,6.6,6.6,7.1,5.5,7,6.1,5.7,6.2,5.9,7.4,6.9,6,5.5,7.4,6.7,5.9,6.2,6,6,5.2,6.2,6.4,5.1,4.6,5.6,4.9,5.2,5.5,5.3,4.9,4.2,4.8,5.1,,
Nicaragua,,,,,,,,,,,,1,0.9,0.6,1.1,1.9,1.7667,1.6333,1.5,2.6,2.35,2.1,1.85,1.6,2.3,1.1,2.3,1.4,1.3,1.38,1.46,1.54,1.62,1.7,1.78,1.86,1.94,2.02,2.1,2.1,2.2,2.2,3.7,2.2,2.8,2.8,2.8,3.9,3.7,2.9,2.5,2.4,2.6,2.9,3.4,3.9,2.8,3.1,3.8,3,3.4,2.6,3.6,
"Northern Ireland",4,3.5,4.4,5.1,5.4,3.5,5.3,4.3,4.7,5.2,6.4,6.1,5.6,6.7,8.1,3.9,5.4,5.2,5.7,7.1,5.8,5.9,5.2,6.9,5.7,6.3,5.5,7.1,6.5,6.4,6.2,4.9,6.2,4.3,6.7,4.3,4.4,5.1,4.4,4.3,4.3,4.7,3.8,4.1,5.1,4.9,4.3,4.8,5.5,5.8,4.8,3.9,5.1,3.6,4.4,3.5,3.1,4.2,3.6,3.6,3.7,5.2,3.9,4.4
Norway,,6,5.6,6.9,6.4,5.9,7,7.1,6.4,6.7,7,7.2,7.5,6.7,6.7,7.4,7.1,7.1,7.7,7.5,7,6.2,6.4,6.5,6,6.6,5.8,5.6,5.8,6.4,6.3,5.6,6.5,6.3,6.2,4.5,5.6,5.9,5.5,4,5.2,4.3,4,4.8,4.4,4.3,4.3,4.5,5,3.7,4.3,4.1,4,4.5,4.4,3.5,4,4.5,4,3.3,3.7,3.4,4.1,3.8
Panama,,,,,,1.2,0.9,1.4,1.6,3.3,2.7,2.2,2.6,2.5,2.1,3.1,3.3,3.8,2.8,2.5,3.2,3.1,2.3,4.9,3.3,3.8,3.6,3.5,2.6,3.1,3.5,4.6,2.8,4.6,4.2,4.6,3.9,4.4,4,3.4,3.3714,3.3429,3.3143,3.2857,3.2571,3.2286,3.2,3.8,3.4,3.6,2.9,4.2,3.6,3.7,3.1,3.6,3.8,3.6,3.7,3.5,3.8,3.6,4.3,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,2.7,3.3,2.3,3.7,3.3,3,3.1,2.8,3.8,3.7,3.8,4,4.1,3.1,2.8,3.2,
Peru,,,,,,,,,,,,,,,,,2.1,2.3,2.5,2,2,2,2.4,2.1,2.175,2.25,2.325,2.4,2.3,2.5,2.7,2.1,2,2,2.1,2.2,2.3,1.9,1.8,1.9,1.6,1.5,2.1,2.3,2.5,2.5,2.8,2.7,2.6,3.2,2.9,2.6,2.7,3.2,3.1,3.2,3.1,3,3.5,3.4,3.1,3.2,3.1,
Philippines,,,,,,,,,,,,,,1.7,2,2.2,1.6,2.05,2.5,2.8,2.8174,2.8348,2.8522,2.8696,2.887,2.9043,2.9217,2.9391,2.9565,2.9739,2.9913,3.0087,3.0261,3.0435,3.0609,3.0783,3.0957,3.113,3.1304,3.1478,3.1652,3.1826,3.2,3.7,3.5,3.5,3.3,3.4,3.3,3.7,3.9,3.7,4,3.6,3.62,3.64,3.66,3.68,3.7,,,,,
Poland,,,,,,,,,,4,4.1,4.2,4.7,4.7,5,5.6,5.2,5.2,5.1,5.1,5.7,5.8,5.5,5.6,5.4,5.7,5.6,6.1,5.5,5.7,5.8,6.1,5.8,5.5,5.5,5.8,5.7,5.8,5.5,5.7,5.9,6,5.6,5.5,5.5,5.6,5.7,5.6333,5.5667,5.5,5.4,5.8,5.7,5.6,5.6,5.6,5.7,5.6,5.5,5.4,5.2,5.4,5.1,5.1
