Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,26.24,25.92683,,,,,,,,,,,,,,,
"Congo (Brazzaville)",,,,12.01866,8.12216,10.20579,10.47305,8.90617,9.4751,11.54343,9.88766,10.41899,10.2301,9.90714,8.83037,9.96604,9.00775,10.43664,7.80134,8.74257,5.49284,4.03804,7.81435,3.22959,9.95545,10.10673,14.23338,15.21966,17.2737,19.32768,21.79439,18.62466,20.4851,22.89388,22.55518,23.27195,24.468,25.66397,,,
"Cook Islands",,,,,,,,,,,,,25.8,15.65217,15.6203,15.5884,15.5565,15.5246,15.4928,15.4609,15.429,15.3971,15.3652,15.33333,13.6129,16.60714,15.55172,13.75862,17.57692,19.0711,20.56522,17.767,14.96875,16.35484,14.57143,14.58065,15.66667,17.21429,15.54545,13.93939,
"Costa Rica",31.216,32.0461,31.72408,32.1524,32.58065,32.47697,32.43437,36.68085,30.61007,27.41088,27.9232,32.69003,24.87229,24.22307,29.5071,23.44796,23.98157,25.18852,23.54378,22.6386,22.5894,20.97789,21.23775,20.21772,20.57751,18.65127,18.50602,17.53494,16.948,16.36115,16.16496,15.27497,14.9102,14.54534,13.78091,14.4155,14.17028,13.4907,12.81121,13.10042,
"Ivory Coast",,43.11111,43.23148,41.80992,41.96923,36.19643,35.14525,33.0233,30.90129,32.57826,31.5719,30.5656,29.5592,28.5529,27.5465,26.5401,25.5338,24.5274,23.5211,22.5147,21.50839,20.5088,19.5092,18.50954,22.5019,21.99718,20.22957,21.18264,22.32538,20.3817,18.4381,16.49447,17.04336,15.46104,17.34812,18.1555,18.9628,18.49686,20.71104,21.84952,
Croatia,,,,,,17.93413,16.74747,16.67187,16.60881,15.8555,16.13265,15.78476,15.6636,15.45324,15.51227,13.31749,12.52821,13.1504,13.7727,14.3949,15.01711,14.53263,14.01797,13.62151,12.78314,13.26522,13.18215,12.54437,12.24542,13.4469,14.64833,14.11456,14.1662,13.67053,13.42271,12.96228,13.03218,12.65309,12.8819,13.11067,
Cuba,28.97461,29.04199,31.68461,30.02262,26.21972,25.56003,24.51773,23.49505,22.45569,21.9804,22.11742,23.49105,21.658,22.71698,22.64854,22.35249,23.83052,21.65713,23.20594,23.83932,24.61348,23.89855,22.1693,20.5009,18.83248,19.25471,18.38284,18.44314,17.9247,17.76244,17.04858,17.0609,16.44718,15.98429,14.04662,13.59899,13.08885,12.67444,,,
Cyprus,18.6185,19.04955,20.82625,19.80952,24.20641,25.57593,24.87321,25.5898,25.91684,25.52102,26.23025,24.86686,24.06546,23.65904,24.20048,24,23.00388,22.31593,20.11031,19.88652,19.7393,19.84429,17.89126,18.5083,19.12539,20.95278,20.52865,20.32455,18.14094,18.46752,18.27353,17.89744,17.42232,17.27557,16.66585,16.71825,17.16906,16.53363,16.16962,15.62938,
"Czech Republic",13.37774,13.51832,14.24594,14.78405,14.98417,14.99439,14.90084,15.03061,14.37807,14.29848,14.4787,14.58454,14.11328,13.40767,12.71325,12.43045,10.96596,10.81605,10.60508,12.02565,11.24444,11.6663,13.881,16.0958,18.31054,18.44056,12.55929,12.62375,12.80428,12.84617,12.99464,11.75297,13.59026,13.68902,13.83119,13.90249,13.91295,13.93601,13.89131,,
"North Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.99988,,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,43.27474,40.966,38.6573,36.3486,34.0398,31.7311,29.4224,27.1136,24.80491,23.01843,23.5245,24.0305,24.5366,25.0426,25.54864,27.80707,24.59079,25.49121,25.03079,25.68275,25.71434,24.57417,
