Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Costa Rica",0.63209942,0.652810219,0.69271323,0.674841007,0.734527519,0.798031225,0.830188744,0.897670179,0.946962446,1.095222145,0.983385695,1.266029884,1.092228044,1.160206992,0.765344425,0.554103649,0.526038668,0.443373976,0.410512909,0.291430113,0.367191735,0.454597451,0.656704287,0.558668959,0.493783781,0.400115024,0.463631405,0.329026004,0.557441204,0.585252354
Croatia,1.720189036,1.668607467,1.610405505,1.759366458,1.756227057,1.751693266,1.639294628,1.67655453,1.608701019,1.692639199,1.556344827,1.540753136,1.76669968,1.880303572,1.910147378,1.711092616,1.721384237,1.799960627,1.786045619,1.748127469,1.716189297,1.854466721,1.946679137,1.905842324,1.896428516,1.8394971,1.778563332,1.681743776,1.778815264,1.775426099
Cuba,0.43484963,0.538668234,0.640657221,0.643959845,0.592812963,0.58028827,0.684337691,0.811351664,0.955124382,1.081004585,0.948214184,0.854056733,0.7699302,0.82596842,0.884547846,0.907698441,0.899793611,0.864089959,0.811843027,0.803533807,0.86792458,0.88473727,0.870790084,0.887554581,0.707371414,0.682934457,0.582764909,0.562628463,0.629995968,0.570283081
Cyprus,5.201423018,5.575815031,5.69541216,5.718287387,5.244551018,4.975709377,4.570659379,4.286339308,3.766951759,3.59339147,3.672814476,3.78116979,3.824238927,3.600871604,3.556319157,3.19171448,3.212452398,2.900308989,3.082741006,2.82566671,3.101104564,2.966098138,3.134802526,3.195440821,3.197660621,3.267894982,3.031050879,2.890087185,2.980518035,2.988761967
"Czech Republic",1.520575539,1.420374049,1.304987852,1.301139324,1.251848776,1.187750686,1.028315488,0.970616235,0.961622674,1.013119086,0.984548857,1.053811874,1.249600799,1.374652012,1.366293757,1.281522198,1.26358323,1.227106576,1.143261314,1.107169132,1.110797721,1.186969395,1.295854786,1.390805904,1.476125971,1.494923582,1.436613362,1.3218657,1.413851884,1.377663735
"North Korea",12.54211127,12.85376996,13.4713601,13.59194436,13.28504211,13.35379651,13.95556607,15.29919385,16.3975344,16.75981825,14.86615436,12.95323327,11.71931981,12.10993463,12.63054531,12.49259175,12.71672875,12.870429,13.91726287,13.86140524,14.00549322,13.72999876,13.20338184,13.79292453,13.70128141,14.39262865,13.75638981,13.34506827,13.71084508,13.73730657
"Congo (Kinshasa)",3.316481941,3.518768987,3.22952357,3.086617906,2.683799649,2.780086994,2.644994852,2.614404628,2.319180146,2.275644891,1.530506118,1.495340102,1.078255361,1.259081091,1.94750651,3.315872092,4.473288449,3.99437734,3.033807673,2.50879602,2.795623024,3.204552692,3.593357206,3.827356704,3.821808151,3.363197572,3.258561532,3.256140049,3.985590468,4.190242466
Denmark,1.147410958,1.334132258,1.332643028,1.665489025,1.751497558,2.08259183,2.173998922,2.123149649,2.231079198,2.049406073,1.840946381,1.640219028,1.866862449,1.935177802,1.740602793,1.694393574,1.64849867,1.804019731,1.606589341,1.643395916,1.601117805,1.625372719,1.819435288,1.886825161,1.807299122,1.600451681,1.355376468,1.197603731,1.418034816,1.381308563
Djibouti,0.883435051,0.839907314,0.795987811,0.797133988,0.795673751,0.825102358,0.720886377,0.741230493,0.763081653,0.968945651,0.808114396,0.715306184,0.585863183,0.622644957,0.698869275,0.79822978,1.037324752,1.09602624,0.893784429,0.711368145,0.790278138,0.97905485,1.056478624,1.165634936,1.162863103,1.275663061,1.240906757,1.263365172,1.504870005,1.615338853
Dominica,0.351551569,0.368974255,0.390324526,0.386187595,0.360835033,0.357178009,0.312535824,0.336483787,0.294561084,0.292902005,0.208178467,0.280940173,0.278470909,0.28064386,0.138158523,0.076992598,0.083695243,0.12774705,0.160986251,0.169189136,0.096150697,0.061770543,0.066664977,0.083268708,0.06845386,0.038206948,0.03014568,0.003481488,0.016889658,0.015876428
