Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jamaica,3211,3418,3640,4092,4497,4889,5300,5973,5949,6150,6422,6539,6588,6672,7028,7429,7572,7691,7947,8423,9314,9204,9335,9996,9459,9305,8624,8351,8323,8073,7554,7653,7620,7769,7682,7309,7416,7976,8193,8725,9163,9197,9373,9465,9525,9636,9535,9267,9051,9039,9016,9045,9023,9270,9310,9312,9502,9561,9408,9019,8822,8882,8774,8730,8719,8733,8804,8802,8864,8958
Japan,2684,2971,3265,3458,3608,3872,4120,4383,4596,4967,5571,6186,6675,7168,7921,8293,9092,9996,11157,12402,13576,14032,15001,15979,15575,15853,16308,16913,17717,18597,19040,19790,20366,21009,21897,22985,23737,24868,26617,27968,29412,30483,30827,30776,31224,32239,33438,34029,33902,34122,35361,35743,35962,36661,37666,38499,39263,40126,39913,37970,39771,39899,40718,41702,42018,42689,43103,44090,44615,45165
Jordan,3698,3770,3838,3906,3973,3614,4757,4679,4936,5086,5181,5971,5825,5891,6627,7078,6976,6802,5945,6166,5326,5260,5237,5311,5572,5743,6885,7076,8267,8714,9961,10011,10323,10130,10598,10571,11122,11036,10562,9123,8432,8192,8780,8541,8533,8748,8589,8723,8800,8864,9085,9348,9759,9943,10467,10907,11170,11579,11848,11890,11553,11238,10933,10680,10516,10352,10232,10183,10176,10248
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14475,14117,13773,14275,14055,14045,14082,13855,14910,14784,14461,12774,12052,10984,9740,9090,9222,9486,9430,9766,10738,12149,13285,14447,15729,17111,18755,20205,20634,20617,21835,23154,23964,25094,25839,25849,25844,26619,27433,28118
Kenya,1589,1884,1630,1546,1678,1754,1798,1803,1770,1759,1772,1677,1713,1743,1853,1814,1982,2018,2094,2152,2235,2298,2334,2369,2397,2301,2305,2421,2537,2530,2567,2524,2575,2494,2444,2457,2541,2601,2667,2700,2729,2677,2552,2471,2472,2514,2554,2504,2519,2515,2464,2495,2438,2440,2480,2544,2614,2711,2638,2645,2787,2880,2937,3037,3131,3244,3371,3474,3621,3777
Kuwait,199539,205751,207452,216696,229401,222883,227165,217292,206646,204306,199092,180427,182714,175031,174835,162605,166176,154839,154087,144849,212090,213716,209300,184411,151554,125491,125522,113439,114282,122127,91698,71101,60014,61952,62352,56415,58558,53821,53394,55057,42293,25734,49958,72818,84473,88724,88101,85898,83168,76642,76572,74600,75613,87687,95417,101862,104886,105568,102112,89279,81954,84411,84583,80734,77189,74621,74591,70533,70724,72057
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844,3806,3765,3939,3913,3692,3559,3446,3734,3761,3775,3427,2926,2551,2049,1919,2026,2197,2212,2262,2359,2465,2446,2595,2748,2716,2774,2986,3186,3242,3195,3361,3330,3659,3768,3872,3996,4141,4240,4366
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14114,14351,14577,14768,15084,14663,14935,14752,15282,16089,16238,14260,9817,8871,9219,9295,9622,10591,11388,11782,12540,13523,14653,16043,17571,19662,22202,24618,23995,20881,20480,22188,23371,24197,24879,25829,26605,28086,29633,30776
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15896,16465,17043,17122,17220,16586,17059,17265,18537,18340,17237,16227,12785,10764,9777,10365,10982,11981,12969,12913,13503,14503,15608,17393,18742,20522,22396,25177,26106,22486,23340,25315,26639,27851,29086,29954,31051,32792,34324,35677
Luxembourg,23255,21443,22876,23040,23010,24017,24930,26003,26233,26735,27585,28419,28453,29142,31049,31291,31432,31401,32633,35660,36089,36703,38649,41402,42590,39357,40151,40702,42289,43169,43368,43689,43462,44737,47458,48723,52232,53069,57967,63339,63801,68394,68719,70651,72359,72371,72384,75564,79141,84701,90456,91649,94158,94536,96568,98119,101567,108366,105084,98660,101588,101878,99110,100385,102259,103785,103764,103093,103457,103783
