Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,4.45,-0.37,-1.79,-3.38,2.21,-1.06,0.1,-2.32,2.34,5.83,2.26,5.7,-16.49,-7.48,2.39,0.53,1.96,-0.8,-0.34,-0.2,0.33
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.94,1.91,-5.15,2.41,-4.58,1.97,1.3,4.04,0.78,-0.57,3.65,0.23,-11.06,-4.21,-0.88,1.69,0.46,1.58,2.67,3.23,0.63
Luxembourg,,,,,,,,,,,,,,,,,,,,,3.01,1.55,0.25,1.43,-0.36,0.82,-1.49,-1.58,-0.46,-0.26,-1.13,-1.31,-0.66,-0.27,1.8,1.85,2.61,4.28,2.75,4.21,2.89,1.43,2.2,1.35,3.41,3.05,3.29,4.08,4.69,5.99,4.62,2.56,1.73,2.29,0.95,3.99,5.35,4.81,-2.21,1.83,2.85,1.95,1.35,3.06,3.05,2.82,2.97
Malaysia,,,,,,,,,,,,,,,,,,,,,3.48,3.45,3.35,3.31,3.4,3.32,3.46,3.29,3.37,3.62,5.84,3.58,3.91,2.29,1.38,1.57,3.93,2.82,4.17,4.76,0.91,5.17,4.83,1.86,1.69,9.88,2.24,0.23,2.84,4.85,1.1,3.19,3,0.87,2.5,1.76,1.48,0.02,2.6,8.42,3.02,2.79,2.52,2.83,1.56,0.61,1.86
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,1.25,0.38,0.88,-0.35,-1.35,-2.39,2.94,-1.51,-4.23,4.5,1.72,1.79,3,0.29,-1,0.09,1.32,2.77,3.61,3.14,3.91,2.29
Mexico,1.14,1.14,1.14,1.14,1.17,1.4,1.4,1.4,1.4,1.45,2.35,2.35,2.35,2.35,2.54,2.68,2.68,2.68,2.68,2.92,5.32,5.32,5.32,5.33,6.07,4.18,4.18,4.74,6.01,6.26,3.44,3.44,0.48,4.27,4.97,3.24,3.56,3.56,3.77,3.59,2.87,3.25,3.29,2.94,-0.86,5.04,6.1,1.26,1.82,2.47,-0.89,1.7,1.06,3.17,1.09,3.43,0.82,2.13,-1.43,7.83,0.98,3.37,1.09,-0.67,3.1,1.53,0.93
Netherlands,-0.37,-1.15,1.08,1.95,1.08,0.8,-0.2,-1.65,0.29,1.15,1.37,1.91,1.27,1.66,0.76,0.69,-0.4,0.84,8.98,-0.6,-0.81,-0.67,-0.8,-2.36,-3.15,-0.18,-1.13,-0.46,0.76,1.68,-0.48,-2.4,-1.83,0.29,0.78,1.35,0.7,1.59,2.36,2.65,1.29,1.85,-0.28,1.22,3,3.13,2.09,2.12,2.8,0.91,1.26,-0.5,-1.13,0.28,-0.29,1.94,2.91,1.65,-1.41,-0.72,0.94,-0.86,-0.87,0.54,0.48,2.01,1.83
"New Zealand",,,,,,,,,,,,,,,,,,,,,2.52,0.98,1.8,3.95,3.01,0.98,-0.06,6.03,0.2,0.49,-1.85,0.16,-0.4,1.3,2.45,0.82,0.54,-3.68,-3.53,0.11,-2.6,0.71,5.11,4.01,4.26,2.81,0.15,-0.51,2.44,1.4,1.91,3.32,2.36,3.97,2.11,1.23,0.56,0.01,-2.9,1.32,0.93,-0.46,2.58,4.13,1.94,5.14,2.84
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-2.6,3.59,3.44,5.82,7.31,2.54
Norway,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.44,-1.54,-0.58,0.33,0.59,-0.19,-0.04,0.79,-1.38,0.46,-0.23,-1.92,-1.67,0.85,-0.36,-0.69,-0.08,0.1,0.71,0.13,0.57,-0.53,0.03,2.39,0.65,-0.68,-0.55,0.42,2.37,2.99,0.22,-0.37,-3.03,-1.4,-1.16,0.46,0.49,1.23,0.93,1.65,2.59,2.52,0.86,-0.65,-1.42,-0.63,-2.02,2.04,1.57,3.21,4.81,3.55,-1.97,0.14,1.76,1.94,0.34,1.38,0.31,0.36,0.43
Pakistan,,,,,,,,,,,,,,,,,,,,,5.4,-1.36,5.41,4.16,4.39,1.88,1.78,1.75,1.8,2.59,1.38,2.63,2.64,2.5,2.95,0.5,4.76,-0.19,4.83,4.64,-1.88,3.9,4.81,1.15,1.77,-0.8,5.72,4,2.32,-0.86,1.75,3.6,2.5,4.29,1.37,7.34,1.72,2.68,2.51,3.04,3.16,2.99,0.78,0.19,1.59,2.65,2.58
Peru,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.58,1.56,1.56,1.56,1.56,4.19,4.12,3.89,3.67,3.92,2.1,2.47,1.7,1.69,1.9,3.38,3.65,2.86,4.66,3.2,2.01,8.16,3.44,0.2,2.02,2.59,6.72,0.13,3.46,5.31,5.14,3.79,2.21,4.36,0.92,11.03,0.25,4.64,-0.68,2.22,-0.7,4.16,5.2,0.75,0.86,2.93,1.69,1.64,2.22,0.23,1.05,1.81,1.4
