Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Scotland,4.72,5.1,4.44,4.77,5.16,5.29,5.21,4.93,5.52,5.38,5.31,5.68,4.69,5.1,5.5,5.36,5.39,5.64,5.65,5.97,5.44,5.18,5.09,6.06,5.93,6.1,5.82,5.35,5.77,5.59,5.61,5.4,5.07,5.78,5.32,5.66,4.83,5.18,5.46,4.79,4.95,4.51,4.62,5.44,5.02,4.97,4.91,4.43,5.29,5.15,4.98,4.63,5.5,4.71,5.5,4.66,4.7,5.05,5.4
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.8,3.81,3.51,4,4.34,3.81,4.74,4.02,4.55,4.61,4.42,5.07,4.8,4.9,4.6
Singapore,,,,,,,,,,,,1.21,1.5,1.05,1.1,0.92,1.37,0.73,1.63,1.78,1.75,2.35,1.85,2.38,0.94,2.93,2.58,2.33,4.28,2.66,2.64,4.13,2.83,2.96,3.36,3.36,3.51,2.8,2.73,4.08,2.76,4.35,2.84,3.08,3.01,3.1,4.14,3.98,3.63,3.55,3.79,3.78,4.22,3.2,4.29,3.92,4.4,4.5,4
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,5.15,4.53,4.7,4.73,4.83,5.63,4.61,5.45,5.59,4.68,4.79,4.78,5.92,6.09,5.83,6.34,6.71,6.02,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,3.86,4.66,4.21,3.91,5.58,5.32,6.07,5.71,4.16,4.27,5.52,6.43,5.45,4.62,5.42,5.69,5.11,4.87,4.68,6.21,6.47,5.35,6.56,5.73,6.57,,,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,2.82,2.65,2.87,2.84,3.07,3.24,3.08,3.3,3.15,3.16,2.91,2.82,2.9,2.9,2.54,2.64,2.57,2.5,2.5,2.3
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.55,1.68,1.87,2.05,2.38,2.47,2.8,3.25,3.45,3.53,3.41,3.66,3.54,3.87,4.07,4.01,3.76,4.02,3.79,4.21,4.13,4.18,3.97,4.21,4.37,4.2,4.4,
Spain,1.12,1.04,1.09,1.05,1.07,1.41,1.57,1.72,1.86,1.6,1.87,1.77,1.99,1.84,1.87,2.09,2.26,1.98,2.13,2.34,2.16,2.12,2.27,2.25,2.22,2.4,2.46,2.56,2.58,2.94,2.78,2.99,3.08,3.04,3.14,3.11,3.27,3.1,3.38,3.66,3.29,3.42,3.4,3.31,3.49,3.76,3.64,3.74,3.72,3.82,3.81,4.06,3.89,4.05,4.11,4.34,4.3,4.3,4.3
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.95,2.65,0.81,2.5,2.1,4.08,1.37,2.23,1.03,1,2.44,1.65,3,2.7,2.4,2.2,
Sweden,4.18,4.33,4.05,4.62,4.33,4.32,5.14,5.32,4.86,5.34,5.82,5.89,5.9,5.69,5.75,5.92,5.72,5.89,6.4,6.53,6.75,6.55,6.38,6.88,6.13,6.76,6.48,6.71,6.22,6.64,6.81,6.49,6.96,6.92,6.94,6.47,6.57,6.09,7.11,6.67,6.77,6.44,6.23,6.46,6.06,6.69,6.47,6.42,6.18,6.59,6.79,6.51,6.6,6.51,6.56,6.42,5.8,6.6,6.3
Switzerland,3.47,3.59,3.35,3.89,3.53,3.49,3.32,3.09,3.39,3.66,4.23,4.31,4.57,4.27,4.65,4.48,4.24,4.24,4.51,4.22,4.89,4.7,4.69,4.61,4.93,4.52,5.04,4.85,4.57,5.1,5.22,5.06,5.53,5.11,5.12,5.4,5.65,4.93,4.87,4.9,5.08,4.66,5.13,4.78,5.17,5.04,4.63,5.3,4.81,4.59,5.21,5.19,5.37,4.86,5.33,5.6,5.2,5.3,
Thailand,,,,,,,,,,,,0.01,0.03,0.05,0.07,0.09,0.05,0.08,0.03,0.13,0.1,0.085,0.07,0.12,0.1,0.1,0.11,0.14,0.2,0.15,0.12,0.14,0.11,0.1167,0.1233,0.13,0.21,0.23,0.245,0.26,0.18,0.19,0.14,0.23,0.6,0.52,0.61,0.7,0.83,0.69,0.67,0.69,,,,,,,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,3.38,3.37,3.39,3.305,3.22,4.36,3.87,4.32,3.77,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,3.45,3.47,3.6,3.45,3.74,3.9,3.9,
"United Kingdom",4.1,4.12,4.14,4.16,4.34,4.31,4.38,4.47,4.51,4.55,4.59,4.63,4.67,4.71,4.72,4.78,4.83,4.82,4.95,5.13,4.94,5.12,5.07,5,5.07,5.15,4.93,4.99,4.94,5.21,5.19,5.19,5.18,5.19,5.22,5.24,4.84,5.01,4.98,4.81,4.85,4.63,4.62,4.57,4.79,4.82,4.71,4.73,4.68,4.85,4.99,4.81,5.1,5.04,5.13,4.95,5.1,5.3,5
