Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jordan,,,,,,,,,,,,,,2.6,2.36,2.12,1.88,1.64,1.4,1.3,1.2,1.1,1,0.9,0.75,0.6,0.45,0.3,0.2,0.1,0.1,0.1,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,6.3,7.14,7.98,8.82,9.66,10.5,6.8,4.5,3,0.2,0.6,0.5,0.1,0.2,0.1,0.1,0.1,,,,
Kenya,,,,,,,,,,,,,,23.1,20.95,18.8,19.7,20.6,21.5,23.0125,24.525,26.0375,27.55,29.0625,30.575,32.0875,33.6,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.35,3,3.2,3.0333,2.8667,2.7,2.2,1.4,0.6,0.8,,,
Kyrgyzstan,,,,,,,,,,,,,,,44.3,41.56,38.82,36.08,33.34,30.6,36.4,42.2,36.4,34.2,28.1,13.6,15.4,9.9,9.9,4,2.1,4.1,1.8,2.9,3.3,1.3,2.5,
Laos,,,,,,,,,,,,,,33.6,35.08,36.56,38.04,39.52,41,39.56,38.12,36.68,35.24,33.8,32.52,31.24,29.96,28.68,27.4,26.46,25.52,24.58,23.64,22.7,,,,
Latvia,,,,,,,,,,,,,,,,,,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,1.1,0.6,1.2,1.7,1.6,1,1,0.7,0.5,,
Lesotho,,,,,,,,74.8,74.15,73.5,72.85,72.2,71.55,70.9,70.25,69.6,68.5625,67.525,66.4875,65.45,64.4125,63.375,62.3375,61.3,61.1,60.9,60.7,60.5,60.3,60.1,59.9,59.7,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,64.3143,60.0286,55.7429,51.4571,47.1714,42.8857,38.6,,
