Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,7,8,10,15,16,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,1,3,3,3,3,50,79,109,115,325,745,994,1433,1565,1239,1673,1954,1508,2060,2113,1372,1306
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,730,711,649,657,652,579,577,810,1022,1135,1199,1347,1473,1630,1657,1653,1773,1673,1838,1832,1635,1606
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,161,355,53,55,54,52,48,47,48,47,49,48,57,58
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,68,78,63,77,81,73,106,174,213,227,267,345,407,381,388,434,394,376,367,307,289
Madagascar,,,,,,,1,1.625,2.25,2.875,3.5,4.125,4.75,5.375,6,5,6,5,4,10,8,13,15,14,13,14,11,12,11,12,11,11,29,16,12,115,175,301,375,338,547,398,397,427,427,427,437
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,14,18,23,15,21,17,17,22,25,28,34,38,34,33
Malaysia,,,,,,4,4,4,4,5,10.5,16,21.5,27,32.5,38,43.5,49,100,139,185,130,153,176,119,116,164,194,190,323,342,367,435,571,802,1117,1365,1556,1329,1131,1103,1211,1294,1423,1580,1643,1586
Maldives,,,,,,,,,,,,,,3,3,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,2,3,2,3,8,6,5,3,3,3,3,3,4,4
Mali,,,,,,23,18,26,44,54,59,48,39,36,32,67,68,88,73,76,107,93,117,126,103,112,110,92,84,86,73,88,138,154,155,177,212,344,431,454,473,784,827,895,895,819,803
Malta,,18,18,20,19,22,32,36,26,29,35,28,39,43,37,35,46,46,52,70,58,42,30,25,24,19,20,17,21,27,20,14,23,27,31,34,209,229,264,260,230,227,200,201,202,200,203
"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,25,23,24,22,22,23,25,26,26,27
Mauritania,,,,,,,,,1,2,6,4,2,1,1,1,2,7,9,5,14,12,50,2,5,5,4,3,2,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,118,132,160,168,180,178,177,215,215,215,215,215,215,215,215,211,226,249,249,249,249,249,246
Mexico,,,,,,,,,,177,1039,1220,1226,1391,1564,1619,1771,1987,2442,2790,3096,3026,3700,3977,4127,4365,4945,5551,6504,6649,7522,10150,11030,16620,19830,22742,26543,26880,26041,22076,22080,23588,23366,23433,24462,26233,28542
