Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Cayman Islands",,,,,,216.91,220.56,220.62,224.97,225.39,225.92,227.75,228.81,220.27,228.71,230.53,231.06,225.79,230.6,247.22,232.3,241.49,279.87,229.19,230.44,169.71,206.46,121.09,217.49,122.05,97.67,114.68,107.87,105.42,105.04,97.52,94.43,101.5,99.57,99.31,100.15,100.24,100.29,98.19,100.46,101.35,102.36,103.17,103.02,99.58,102.71,104.78,105.34,104.36
"Central African Republic",30.66,31.23,31.57,31.56,33.49,32.48,35.12,35.47,36.96,37.95,39.18,40.56,41.97,44.83,46.01,46.17,47.47,47.03,48.9,50.6,52.11,53.52,53.85,51.61,52.38,57.29,57.36,60.73,61.97,62.55,64.02,67.04,68.74,70.06,74.12,82.53,82.13,84.45,84.24,92.75,90.34,92,89.76,94.78,101.37,103.85,108.92,110.54,113.6,115.2,120.14,121.52,123.71,112.63
Chad,42.6,44.93,47.84,46.76,46.05,46.64,45.97,48.21,47.47,45.88,45.46,43.28,40.05,40.95,43.72,45.24,46.47,49.11,49.5,51.24,49.61,50.61,52.28,44,52.75,53.91,53.98,61.03,60.58,59.41,68.01,69.31,59.96,70.66,72.26,74.06,82.26,93.96,86.51,82.64,95.86,89.26,100.48,88.05,107.33,104.62,110.3,113.08,103.59,165.45,114.46,171.88,153.4,152.05
Chile,27.69,28.96,29.16,28.83,28.1,31.4,31.48,33.65,31.28,32.95,33.28,31.4,28.63,33.57,34.86,34.36,37.03,36.54,39.56,40.14,43.4,43.69,40.87,42.66,42.58,44.46,46.93,50.3,54.38,57.96,59.71,62.39,66.36,71.77,76.15,79.06,79.29,81.46,80.81,83.14,89.77,89.6,91.78,94.96,99.61,105.43,102.37,105.18,104.88,108.21,112.76,112.08,112.11,111.69
Colombia,27.53,29.72,29.31,30.86,31.42,31.35,32.02,33.31,33.96,35.54,37.68,38.27,38.59,41.39,45.17,47.96,47.9,50.63,52.54,53.02,54.52,53.78,52.5,54.37,55.01,56.81,58.46,62.34,67.36,70.21,71.31,70.32,72.05,74.3,78.58,79.3,81.99,81.23,86.11,87.38,88.54,90.43,93.18,97.51,98.79,103.7,106.74,110.23,106.51,103.62,106.31,112.1,116.31,114.79
Comoros,42.81,42.33,47.24,47.96,48.94,50.08,50.62,51.33,53.97,52.26,54.04,53.68,53.67,57.54,57.79,57.65,61.11,61.55,61.46,62.78,58.69,63.4,64.74,61.43,64.11,66.93,72.34,74.92,75.13,81.24,83.36,85.26,88.56,88.61,88.96,91.39,90,94.42,96.03,96.49,98,97.76,99.19,100.07,96.03,103.9,107.48,107.93,106.53,106.31,105.59,101.42,106.29,106.14
"Congo (Kinshasa)",60.46,61.13,61.4,62.27,62.53,63.04,65.2,68.04,69.09,71.49,71.55,72.9,75.3,77.27,79.16,80,80.78,78.63,82.66,85.85,86.47,91.33,94.03,96.73,100.28,102.85,105.38,108.55,112.33,117.32,121.47,124.85,125.62,128.83,106.88,106.54,103.97,106.35,103.9,102,100.07,98.16,98.98,99.52,99.98,100.5,101.25,102.04,103.1,105.63,110.28,111.44,109.95,103.56
"Congo (Brazzaville)",39.13,40.1,40.86,42.46,43.73,45.22,48.82,48.76,48.16,47.94,49.08,47.31,48.7,47.08,48.49,49.27,49.51,49.07,50.94,52.21,54.43,57.23,56.39,58.77,61.19,60.55,62.07,63.8,62.65,62.84,60.86,62.07,63.28,67.3,72.9,75.68,76.26,76.07,81.33,82.69,83.6,86.37,87.64,93.98,100.39,105.64,110.28,116.62,120.97,124.72,127.34,131.11,133.41,105.68
"Costa Rica",14.86,15.76,16.72,17.77,18.39,19.04,19.83,23.64,25.84,28.71,30.63,32.12,33.32,32.36,36.64,37.85,38.43,38.51,39.63,38.58,39.46,36.98,39.27,40.9,42.15,43.51,44.94,46.42,53.99,59.16,62.76,65.74,66.73,70.52,74.61,78,79.22,83.21,87.2,87.22,88.29,85.2,89.42,91.61,97.76,110.63,108.18,106.8,109.5,115.05,118.08,119.39,123.3,127.99
"Ivory Coast",16.89,19.59,19.61,21.19,21.31,22.64,23.87,24.61,26.24,26.79,29.27,28.41,30.43,34.21,38.26,37.57,38.56,41.05,43.69,45.87,47.84,47.16,46.36,53.88,53.38,55.64,57.52,61.72,61.99,65.99,65.82,68.4,69.41,71.34,79.16,82.73,84.24,85.87,87.09,92.87,90.48,93.3,93.96,98.02,97.9,104.08,100.87,107.86,101.92,109.43,114.56,122.2,125.25,123.37
