Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40061,42929,43060,46532,49137,55098,49192,50958,37862,50378,56473,36021,50645,61370,58022,45201,70861,65432,60967,52336,42233,57615,68996
Cuba,9952,9633,9756,9722,9533,9352,9461,9461,9202,8167,8509,7131,8292,10490,11360,12383,12481,12481,12481,12321,12321,12321,12321,12321,12321,12321,12321,12321,10397,8740,7997,8156,7242,9438,10469,11648,12700,13006,20058,21585,23257,25215,27117,27319,22982,24880,26085,25188,14945,14383,24693,23311,23658,22768
Cyprus,7497,13436,12864,9113,17110,6298,10727,6323,13951,7691,15027,11298,1725,15000,17050,16867,16846,20186,18268,20781,18907,18925,14229,17916,21321,13036,23230,27050,25773,18711,13575,28472,30131,25606,23448,23206,9606,10199,21609,8372,23113,24174,22956,17215,11461,12006,15302,11520,17882,17690,18367,23170,15413,1522
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38178,36264,37141,37132,38691,36769,39911,34777,40655,40517,38399,49927,44258,38222,41731,49334,48812,43087,54588,48057,48076,58042
Czechoslovakia,21988,22554,22296,20568,20406,22193,24912,26264,29249,26309,31378,30010,32863,36716,33097,32172,36434,39042,36285,38771,34375,38300,39203,44853,44348,42079,43439,43219,45748,49486,46519,39453,,,,,,,,,,,,,,,,,,,,,,
"North Korea",20012,20951,21916,23182,20979,22439,20723,20072,23514,23341,23569,22016,24284,25434,25971,28163,29144,30469,31809,34326,35383,37057,38202,41176,42716,44818,43296,45398,45548,47922,51773,46695,51878,45744,19600,14478,16545,25387,19596,18649,25800,27898,28461,29642,26006,30476,27345,24433,28642,28559,30931,31743,31305,35996
"Congo (Kinshasa)",6844,6847,6767,6770,6731,6748,6789,6775,6815,7257,7230,7373,7306,7353,7382,7340,7282,7162,7998,7994,8262,8433,8281,8429,7999,7832,8281,7953,8002,7973,8012,8031,8164,8174,7731,7860,8126,8262,7944,7935,7933,7744,7740,7740,7739,7739,7739,7739,7738,7734,7729,7729,7743,7737
Denmark,33292,37026,34903,39401,38418,36796,37046,39785,39520,35203,39367,39430,37164,41111,35435,31972,39713,39750,40899,38267,39350,42761,33186,51149,47415,47266,44480,46823,49873,54500,53329,32749,46956,48696,53774,52973,53943,51822,50112,53218,52644,49905,53028,51016,52777,47433,48729,46706,55556,51065,53078,55784,56795,58865
Djibouti,,,,,,,,,,,,,,,,,,,,,25000,25000,25000,23333,17500,16667,15000,15385,13333,16667,16413,16453,16500,16556,16667,16816,17032,17248,17686,18333,17143,16667,16667,16571,15000,16667,17386,17816,18186,18509,18829,20000,20000,19379
Dominica,11818,11818,12174,12174,12500,12500,12800,12800,12308,12308,12593,12593,12857,12857,12667,13333,13333,13333,14194,14375,14242,14118,13889,13529,13333,12000,13846,13333,13333,13636,13386,13384,13333,13401,13430,13460,13491,13524,13559,13559,13578,13627,13333,13769,13571,14049,14483,14371,14366,14167,14000,16667,16667,16260
"Dominican Republic",14505,15595,16109,15569,16481,18036,16624,16299,17405,19599,21333,22000,21200,19305,21249,22117,20986,15086,15084,14274,16943,16209,19445,19791,19749,19192,18953,20159,20478,18482,16973,14806,15724,11916,15166,15316,14904,15103,14481,10506,15536,13616,14551,15408,15700,13988,13513,15052,14724,16607,16127,15622,15727,14760
Ecuador,6908,6714,7800,4521,6131,6129,6088,6409,6902,7853,6728,7004,9036,9345,9686,9715,8417,9033,9471,10478,11239,14339,10967,12790,15812,9459,9010,8785,10850,10342,10543,10160,11049,10571,10493,10437,11667,10458,11290,13125,7578,13563,15934,17874,19545,17581,21480,20830,20456,21307,16232,26149,22686,32993
Egypt,26528,27660,27955,29364,39014,36255,34654,35270,37181,38104,37191,37776,36925,36234,36159,37822,36538,38194,36674,39307,39856,39864,41143,42501,43802,46922,45891,48295,51255,54440,55103,55952,57155,54711,51599,63043,64828,66778,68800,70641,66309,72301,71911,71825,73618,71657,68855,70104,68701,63896,68391,68994,69005,70031
"El Salvador",9047,10364,11101,11047,10146,12074,10717,12178,13219,15457,15871,11406,17555,14278,16221,13890,14080,16673,16299,16280,16231,15046,16083,18569,17072,15475,14960,18551,18641,18565,15525,19578,18895,15166,19780,20375,16428,18078,21614,20714,18439,24245,24273,24353,25836,27446,25521,28420,26588,26658,24539,27409,26595,24247
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,7683,4095,2577,2592,9600,7444,3608,5841,1572,2649,2734,7407,7837,9455,2491,4676,4881,5576,5705,6277,5783
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12360,21705,15884,16422,21788,19563,15990,12288,21111,19834,19318,18409,22538,25260,21104,27693,25865,26182,22553,24444,30475,30428,33955
