Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cyprus,7271,9070,12288,10081,9593,9613,12214,12274,10596,10994,8984,9406,8995,7626,6288,8595,8857,6120,7492,8327,7859,8134,8682,8201,7197,6930,6930,8070,8320,8120,8785,9720,8180,7610,10015,9225,7095,7605,6780,6600,5810,5695,5497,5487,6300,4400,6380,5195,5055,4330,4534,4633,4714,4992
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102816,76673,77784,86304,72625,72625,71850,69198,54137,46917,35982,35974,36071,30026,31908,29788,28700,27100,26450,23652,23205,23993
Czechoslovakia,512743,505768,501875,490907,223600,436346,407036,371770,325295,337181,331422,319914,303605,277139,250307,240094,234401,219593,212747,195196,198303,198402,191676,192581,185969,181164,178760,177233,170237,164460,167911,161681,,,,,,,,,,,,,,,,,,,,,,
"North Korea",44000,44000,44500,45000,46000,46000,46000,46000,46000,48500,48500,48500,49000,50000,52000,54000,57500,60000,61500,64000,66500,66000,69000,71000,74000,74500,77000,75000,77500,78529,83889,92000,45500,69000,56000,61000,105000,154000,223500,211000,212700,225000,214223,216500,216500,218292,214082,208690,162000,164000,171000,162000,179000,192227
"Congo (Kinshasa)",1406700,1419000,1419100,1473300,1479900,1447100,1491500,1517600,1548700,1581700,1618200,1663800,1702000,1745700,1787700,1826200,1862700,1883400,1899900,1977100,2034400,2093100,2155400,2213100,2073210,2151960,2214890,2292310,2366010,2462592,2571942,2636182,2607984,2668945,2262458,2258938,2195038,2250960,2188396,2126726,2069763,2010944,2018608,2024816,2034052,2069838,2047727,2054631,2061549,2072007,2077964,2053341,2033245,2041128
Denmark,72330,62131,64050,54382,40618,40437,37405,35015,33503,37058,31734,29438,31753,33200,31234,34665,37925,34422,31724,33634,36222,34521,30445,31044,30384,30710,29604,33390,33505,39578,43488,53774,45000,39000,42419,44000,39000,36000,37980,38724,38210,37693,36100,41000,40000,38600,42152,40664,38900,38500,41600,39500,39600,40200
Dominica,1675,1696,1752,1788,1825,1870,1910,1935,1970,2010,2070,2115,2170,2225,2301,2405,2575,2825,2485,2620,2655,2675,2615,2650,2485,2608,2676,2912,3308,3442,2613,2471,2665,2630,2654,2818,2913,2921,2928,2924,2864,2879,3047,3009,3190,3292,3507,3576,3653,3918,3709,3834,3839,3860
"Dominican Republic",42900,46700,44900,47400,47500,48100,48666,50600,54200,54910,58900,63200,64200,63600,61200,57300,58134,61519,41231,36581,32897,22860,30102,32765,35600,38569,32872,37957,37038,34984,31191,29686,28279,30191,42407,42112,33104,36783,39163,31793,34670,36202,35504,26866,30149,32181,32866,28323,37947,42199,40740,40111,41388,39815
Ecuador,65829,64210,66971,70839,76657,78071,80012,80566,81287,87365,95384,84080,84272,93143,79802,80905,72071,58210,50784,59777,61277,60524,53477,64253,62339,77180,82595,72020,74880,78527,73970,88470,81350,89000,91400,89978,87471,75978,83438,69937,70583,80814,75764,84189,76947,78358,70794,71393,78955,70845,72646,60765,76949,65040
Egypt,28988,28993,30538,28691,29939,27691,21972,33605,35706,37806,32610,40748,49569,45369,47469,60323,69817,61050,67219,76832,73583,72145,64270,69210,83070,81390,85950,94770,80480,86889,96763,85703,86934,75181,133628,141401,94486,101157,90816,86666,94038,94724,98133,118023,150446,126804,124874,152168,155344,157687,177223,191307,175580,186612
"El Salvador",1675,1720,1746,1846,1848,1948,1850,1950,2050,1850,1555,1555,1856,1966,2168,1599,1515,1881,2011,2043,2458,2310,2160,2230,2245,2200,2165,2025,2431,2370,2691,3215,2705,5940,5558,4850,5016,4037,5057,4987,5104,5116,4982,4909,5050,4937,5372,5788,5875,6145,6792,7749,7506,8013
"Equatorial Guinea",21000,21000,18000,18000,18000,19000,19000,21000,22000,22000,23000,22000,20000,19000,19000,18500,18500,18500,18000,18000,18000,20000,20000,21000,22000,23000,23000,23000,23000,30093,35592,36388,36597,36672,36894,37350,34746,33061,34394,35517,37053,38462,39684,41037,41846,42173,43688,44406,45016,45610,46000,47000,47000,47366
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37147,37948,36707,36082,38404,39194,39172,37563,39000,38687,40500,40238,41205,35853,31141,27842,22944,20694,20061,18597,19107,18856
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46300,42600,39940,36911,35740,35236,32600,31100,30900,22100,16023,16979,16319,14118,11590,11332,8834,9139,9392,9268,7623,6600,6400
Ethiopia,265000,266400,268000,271700,275300,279600,284900,291200,296600,301900,307400,313000,307500,319000,331000,333250,345250,344600,369250,380750,391250,404750,407750,388750,404500,425500,424150,445116,447000,479500,470600,501700,,,,,,,,,,,,,,,,,,,,,,
"Faroe Islands",135,119,130,124,111,101,101,96,90,98,97,94,83,69,77,95,95,95,95,95,95,95,97,99,102,103,103,104,105,106,107,110,109,109,109,109,108,108,107,107,106,105,104,103,103,102,100,102,102,100,103,105,110,112
Fiji,15710,16184,16189,15863,16356,15862,15038,15882,15550,14103,9410,6730,4743,4446,4468,3619,3440,3293,3118,4750,4954,5120,6470,9560,10150,9778,8105,7534,8173,14801,6738,6155,7992,10824,6294,7193,9651,7196,5255,7838,7647,9104,9710,13210,15989,14896,16773,24777,16975,18346,26368,33333,30551,26376
Finland,76942,73640,76600,71100,72700,67700,64500,64500,58200,60100,49800,47500,45800,47500,48500,52700,46400,44300,42700,40900,36900,39100,45300,41300,39400,39400,41700,44800,44800,41000,36200,34900,36400,36500,36100,34800,33200,32800,32300,32200,30000,29800,28700,27300,28900,28000,27300,26200,26400,25200,24400,20700,22100,22000
France,890176,862200,844000,691070,575117,537072,515415,471148,420045,361200,347100,310000,318000,314200,287900,281300,298500,277300,275400,228800,211000,210200,220000,230000,240000,230000,215000,185000,190000,163500,171000,184190,164000,165000,172000,175000,170000,164000,170500,162644,162239,162207,157278,159753,156423,158315,158080,164663,159315,157082,158643,154229,161206,168519
"French Guiana",1680,1850,1380,1325,1340,1190,1170,1200,1300,562,940,940,1000,1000,1305,1280,1280,1375,1280,1200,1125,1125,1135,1135,1135,1260,1260,1607,3110,3110,3110,3200,2424,2450,2450,2450,2450,2450,2450,2617,2795,2999,3949,4833,5805,6712,7443,7338,5123,5247,5501,6153,6609,6892
"French Polynesia",825,830,825,835,845,852,862,875,890,905,920,940,945,950,965,980,1000,1015,1030,1045,1045,1020,990,970,940,920,890,910,900,981,948,951,957,968,1044,976,955,919,950,906,836,895,855,827,824,846,829,856,857,862,900,885,886,849
Gabon,38500,38500,36500,36500,37000,36000,36100,39000,36000,36500,41000,44000,48000,49200,51320,55740,63120,67550,70300,73500,70500,65500,63500,60000,60000,61000,62000,67100,69100,71755,70117,72700,69244,71723,71956,75056,75844,78801,77052,79134,77052,79747,81200,79207,79075,79544,80542,84654,87299,92125,98116,107270,109900,111140
Gambia,1255,1255,1200,1300,2000,2000,2000,2000,2000,2000,2100,2400,2500,2700,2700,3000,2700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2023,1897,1968,2039,2108,2178,2246,2315,2380,2498,2500,2526,2542,2550,2551,2555,2564,2600,2606,2640,2681,2729,2725,3000,3056
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21900,21100,24000,23200,23500,29200,32900,34100,33972,36525,36557,36482,36969,39793,22800,21200,23900,18000,20700,20200,25700,25900,18200
Germany,1658205,1705524,1672044,1596448,1508433,1425859,1393136,1331443,1193246,1263676,1211945,1149620,1130959,1102486,989644,1014510,987192,933928,873990,819108,778642,768466,732499,731491,717942,690216,670141,656800,645930,561404,341783,371914,322334,322775,346691,335804,303584,297267,309000,304379,282100,284078,287264,295266,276900,274300,274961,259800,263700,255200,258700,238300,242800,244800
Ghana,390000,392000,423554,438803,355000,397000,404000,418000,447000,642000,642000,612000,615000,642000,607000,517000,468000,485000,482000,480000,460000,486600,466000,869000,784954,772800,790310,753610,870010,583806,964915,971916,911816,853413,931910,1048304,1031617,1125289,1194020,1233267,1341427,1444578,1474371,1435411,1436520,1447387,1435201,1512150,1561362,1536227,1571056,1565253,1564773,1591684
