Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Hungary,,,,,,27.55,27.53,26.81,26.88,26.17,27.05,25.08,23.82,22.43,22.95,23.16,21.99,22.62,20.7,21.09,20.84,20.2,18.61,18.09,17.37,16.81,16.71,16.23,15.24,14.68,13.68,13.58,12.98,12.6,11.31,11,11.64,10.69,10.45,10.69,10,10.06,9.82,9.65,9.42,9.36,8.42,8.51,7.93,7.46,7.24,6.45,6.71,6.69,6.47,5.83,5.54,5.52,5.63,6.03,4.88,5.6,5.3,4.8
Iceland,,35.01,28.75,24.81,31.26,31.92,33.06,23.62,19.1,25.7,37.84,31.01,22.71,21.7,14.42,18.41,20.69,18.89,14.04,13.78,7.67,9.09,10.47,18.96,13.3,13.38,18.03,12.36,10.18,8.27,5.75,8.82,7.62,8.73,7.21,5.47,6.06,3.5,5.91,12.76,5.7,6.61,5.09,7.92,4.02,4.74,5.42,5.63,3.08,3.32,4.48,1.98,2.04,2.63,3.02,4.84,3.34,2.84,2.31,1.23,,,,
Ireland,22.78,21.55,19.1,18.12,19.89,19.8,17.76,20.08,17.04,18.35,18.1,15.44,15.2,16.95,16.14,15.76,16.21,14.81,15.38,15.97,13.96,14.32,13.48,12.46,13.08,12.27,9.96,10.74,10.57,9.46,8.09,8.29,6.94,7.46,7.65,6.79,7.3,5.3,6.13,5.78,5.75,7,4.82,5.13,5.47,4.63,4.95,4.52,3.91,4.28,4.14,4.28,3.59,3.57,2.84,3.74,3.75,2.94,3.07,2.97,3.39,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,8.83,7.32,6.42,7.76,7.13,7.32,7.2,6.35,6.34,5.68,4.76,4.77,4.87,4.65,4.1,4,6.08,4.29,4.32,5.25,4.89,5.66,4.52,4.27,4.48,4.12,3.66,4.48,3.54,3.65,3.5,3.48,3.67,3.12,3.46,3.48,3.5,3.1,
Italy,,21.8,21.58,21.97,20.87,20.53,19.8,19.83,19.28,18.6,19.01,18.03,18.27,18.11,17.77,17.66,16.95,16.25,15.57,15.84,15,14.37,14.04,13.46,13.1,12.4,12.1,11.74,11.25,11.15,10.62,10.64,10.15,10.03,9.84,9.43,9.16,8.81,8.91,8.3,8,7.75,7.38,7.15,7.12,6.48,6.33,6.1,5.92,5.4,5.45,5.07,5.2,5.04,4.8667,4.6933,4.52,4.43,4.25,4.21,4.06,4,3.9,
Japan,35.94,35.84,36.62,36.48,36.96,37.41,38.12,37.22,37.52,37.88,37.72,37.54,36.98,36.81,36.22,35.83,35,35.2,35.44,34.24,33.08,32.6,31.62,31.27,29.79,28.39,27.62,26.96,25.56,25.18,24.12,22.87,21.83,20.92,20.23,19.39,18.05,17.4,16.69,16.1,15.18,14.7,14.18,13.46,12.84,13.01,12.37,11.83,11.58,11.23,10.79,10.29,9.74,9.28,9.27,8.75,8.42,8.08,7.7,7.43,7.13,6.9,6.7,6.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.62,18.67,18.5,18.33,18.16,18.55,18.78,18.07,17.35,17.7,16.42,17.01,15.94,14.84,14.85,13.91,13.58,12.52,12.85,12.66,11.67,12.01,11.78,11.05,10.12,10.09,9.77,8.96,8.87,8.27,8.135,8,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,3.67,5.5867,7.5033,9.42,4.6,3.72,4.68,3.76,6.4,4.67,8.23,3.6,3.78,4.16,3.54,1.71,1.8817,2.0533,2.225,2.3967,2.5683,2.74,1.39,2.23,2.35,3.21,2.04,3.67,5.99,1.67,4.74,2.11,1.45,2,0.95,1.16,1.53,3.35,3.01,1.4,3.5,1.3
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52,14.69,14.7833,14.8767,14.97,13.28,13.24,13.73,12.14,12.94,11.44,13.06,11.23,10.72,11.16,9.92,10.43,13.14,10.49,9.59,9.1,9.11,8.89,8.11,9.55,9.15,7.88,9.73,7.62,7.9,8.7,8.1,8.6
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.89,14.3,16.19,15.37,15.54,14.56,14.79,13.76,14.17,14.09,13.98,13.78,11.13,10.71,11.53,12.1,9.01,10.99,9.75,9.84,9.29,9.76,9.29,7.99,7.91,7.88,8.32,7.45,7,8.56,7.32,6.4,6,
