Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ireland,89.54,89.26,78.43,79.98,78.18,81.29,90.17,92.9,93.81,92.64,91.35,87,85.3,93.71,110.66,101.83,93.05,83.44,60.12,42.27
Israel,113.93,108.43,118.25,137.49,121.52,133.1,152.46,151.1,157.28,154.77,157.18,139.43,137.95,125.93,126.18,101.99,94.76,86.66,66.33,48.91
Italy,103.74,103.19,108.2,115.44,114.86,112.16,111.08,114.97,116.16,110.36,106.52,100.07,92.51,87.62,92.21,77.63,74.59,65.13,47.98,36.08
"Ivory Coast",210.51,216.6,235.6,275.15,229.07,214.08,190.06,161.39,177.88,190.02,199.52,204.95,222.03,205.54,204.79,176.17,167.2,136.12,87.1,64.6
Jamaica,93.62,91.59,127.62,114.75,119.28,137.95,159.83,117.74,129.36,114.59,109.96,93.81,109.33,108.88,98.97,85.12,81.5,73.75,55.48,40.85
Japan,61.39,59.89,65.34,72.98,71.8,75.83,78.6,81.18,86.99,82.64,77.66,79.12,73.22,70.05,76.05,63.74,60.01,53.29,38.59,26.86
Jordan,155.52,157.51,177.01,207.61,218.32,260.56,275.95,269.12,266.89,241.79,224.02,182.13,158.49,148.03,128.28,97.69,94.16,83.88,52.5,36.16
Kazakhstan,77.64,76.73,81.67,90.63,105.17,104.13,80.69,92.17,93.3,88.1,79.39,79.37,70.6,65.85,72.81,67.87,59.03,56.08,45.72,31.81
Kenya,120.26,128.69,136.75,141.21,131.5,136.74,140.04,142.47,141.61,134.03,130.66,128.79,120.48,112.07,115.99,95.9,89.4,73.97,51.19,35.46
Kiribati,19.72,19.44,18.17,17.12,18.62,23.22,25.54,29.07,32.97,30.48,35.18,77.85,108.47,85.37,83.63,69.11,64.53,59.07,41.33,30.75
Kuwait,29.78,31.74,35.02,46.13,38.58,32.35,38.14,41.54,37.41,31.39,25.76,21.41,21.66,18.66,23.5,17.95,14.12,12.35,9.32,6.85
Kyrgyzstan,131.16,142.87,120.36,156.26,143.11,133.28,149.04,177.26,187.6,178.91,180.54,169.79,156.1,129.48,134.84,108.33,84.83,83.85,61.18,45.51
Laos,81.85,89.19,122.4,171.53,123.98,110.45,151.11,152.04,198.38,198.29,183.2,152.31,149.05,109.03,95.89,57.6,46.7,40.34,22.58,14.76
Latvia,94.73,122.55,133.33,132.7,132,140.92,160.53,162.74,162.81,152.94,141.01,120.13,127.56,110.45,115.11,93.28,76.65,68.46,47.13,34.65
Lebanon,381.45,384.05,378.96,437.55,378.72,381.18,378.41,347.26,322.36,277.18,243.55,245.53,235.89,207.89,189.54,164.91,151.9,121.77,78.49,53.6
Lesotho,176.13,167.36,169.54,163.6,160.17,158,149.2,150.61,156.71,152.67,150.61,144.09,134.59,124.88,123.26,104.9,93.69,78.54,57.04,40.57
Liberia,0.9,0.96,1.99,239.71,239.54,243.67,258.79,248.93,200.17,335.83,335.92,404.17,360.22,349.28,464.96,361.39,300.41,233,141.33,110.03
Libya,80.36,77.16,79.18,98.91,95.7,85.02,91.94,88.14,75.27,61.99,48.82,42.44,40.56,31.83,47.33,35.33,51.07,35.22,28.71,21.04
Lithuania,64.2,78.23,76.4,77.93,78.43,100.99,92.69,89.14,86.9,99.61,98.76,92.58,79.07,80.07,88.25,71.31,64.59,61.19,45.94,33.68
Luxembourg,20.34,20.32,21.47,23.05,30.05,57.13,59.76,63.1,63.77,64.83,61.11,53.95,47.13,40.82,49.62,40.8,37.18,34.63,25.48,17.84
"Macedonia (F.Y.R.O.M.)",156.97,158.17,162.42,165.15,158.44,173.85,170.28,189.2,195.42,179.56,155.57,132.05,115.05,94.09,100.56,93.65,82.06,72.23,41.94,38
Madagascar,100.24,99.42,101.26,102.24,99,101.25,96.99,108.07,109.16,103.94,99.7,93.65,91.3,81.56,88.89,78.21,60.12,49.03,34.91,25.09
Malawi,148.05,158.37,173.77,197.88,218.44,182.86,167.12,123.45,119.06,120.29,117.92,139.14,149.93,133.91,122.14,110.7,125.39,126.06,104.17,82.44
Malaysia,63.11,62.28,61.22,71.29,70.14,72.31,79.51,82.45,97.06,98.81,95.8,89.85,85.97,74.56,81.69,64.65,60.1,53.74,39.95,29.9
Maldives,146.09,158.3,164.72,167.16,147.89,154.75,131.47,131.85,153.39,144.34,148.65,127.02,115.95,104.08,104.98,89.22,121.87,109.03,73.92,47.62
Mali,115.39,210.63,204.93,199.24,200.57,209.28,183.85,200.23,191.32,171.07,166.89,160.4,161.16,152.25,154.84,136.06,125.37,117.12,112.94,84.7
Malta,83.59,87.71,89.97,99.84,101.29,103.51,117.54,124.76,127.99,137.62,133,128.45,122.44,121.14,123.92,111.69,104.37,96.3,71.14,48.1
"Marshall Islands",100.49,101.17,102.58,110.11,109.34,110.72,108.02,104.89,99.98,100.96,100.03,105.71,106.87,108.75,108.94,105.2,95.82,82.36,59.3,42.98
Mauritania,90.14,90.38,92.68,100.2,90.25,94.03,94.21,96.61,95,91.93,87.28,66.94,77.72,81.35,83.64,74.04,60.98,58.39,38.75,30.43
Mauritius,75.87,76.39,75.53,83.06,77.14,89.97,96.21,108.54,104.06,104.27,118.5,119.46,130.22,134.06,133.7,105.5,90.95,73.85,54.03,39.12
Mexico,146.15,131.38,130.78,135.6,133.92,142.38,164.7,175.64,187.07,180.74,172.31,156.28,150.62,139.72,149.38,120.48,101.82,90.21,66.65,48.59
Micronesia,28.83,29.64,29.02,32.07,32.46,34.7,33.77,32.84,34.06,33.73,41.64,42.09,39.41,55.04,55.84,45.29,41.74,36.16,28.06,20.37
Moldova,141.63,157.1,151.57,161.54,146.36,167.23,240.37,230.4,232.36,215.61,242.34,278.75,271.64,259.69,276.62,236.3,196.12,191.24,118.61,80.31
Monaco,17.69,17.46,21.74,33.92,36.11,41.75,39.19,37.66,37.49,34.24,29.74,25.7,21.75,19.57,21.63,18.65,16.75,14.86,10.46,7.95
Mongolia,33.19,28.08,32.67,39.09,42.34,58.62,69.37,92.19,142.86,127.45,105.21,89.93,90.6,94.36,98.92,82.66,69.43,64.16,46.33,33.76
Montenegro,95.86,96.51,95.22,95.87,98.34,99,112.77,125.55,126.86,125.51,130.14,127.3,114.62,101.78,112.53,104.98,96.62,85.45,59.91,43.99
Morocco,116.9,123.66,139.09,145.09,143.65,155.43,164.97,210.49,212.82,202.23,188.55,173.24,164.48,153.33,157.97,138.57,135.4,116.97,87.48,62.5
Mozambique,85.35,77.53,78.26,80.51,85.03,93.28,88.43,98.73,111.96,111.69,114.3,109.3,95.54,95.04,120.28,89.58,123.61,91.22,66.32,48.62
