Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Sri Lanka",,,,1310,1377,1219,2044,2023,2002,1099,763,732,676,619,553,487,530
Sudan,,,,,,,,1511,1702,,,,,,,,
Suriname,68,79,57,60,46,69,62,45,43,,,,,,,,
Swaziland,,202,140,144,146,152,121,170,217,187,208,,,,,,
Sweden,96,87,101,85,107,83,91,111,82,93,91,81,68,87,87,112,106
Switzerland,69,86,86,73,78,75,60,51,54,51,52,46,45,57,41,57,45
Syria,357,376,368,405,426,430,446,533,529,476,463,,,,,,
Taiwan,,306,290.4,274.8,259.2,243.6,228,176,191,181,179,179,179,168,180,192,
Tajikistan,283,233,180,164,142,157,194,132,100,97,181,126,,,,,
Tanzania,,,,2778,2926,3086.3333,3246.6667,3407,3567.3333,3727.6667,3888,4149,4092,3697,3902,3746,
Thailand,5142,5020,4538,6434,4273,4806,4687,4435,3974,3703,3654,3307,3323,2894,2649,2387,2229
"Timor Leste",,,,,23,46,49,62,35,32,39,41,43,45,47,49,
Togo,522,538.8,555.6,572.4,589.2,606,609.8,613.6,617.4,621.2,625,633.6,642.2,650.8,659.4,668,
Tonga,1,6,6,6,2,4,8,1,4,8,1,2,1,,,,
"Trinidad and Tobago",120,151,171,229,260,386,371,391,547,507,473,352,380,408,405,420,
Tunisia,,,,,195,260,249,273,280,255,286,309,332,,,,
Turkey,,,,2837,2914,3305,3168,3599,3257,3692,3064,3061,3216,,,,
Turkmenistan,267,248,241,233,209,206,203,,,,,,,,,,
"Turks and Caicos",,,2,2,2,2,2,2,2,2,2.5,3,3.5,4,2,,
Tuvalu,,,,,,,,,,,1,1,2,,,,
Uganda,,,,2136,2049,2492,2696,2645,2793,3233,3160,3753,4066,3857,4473,,
Ukraine,4418,4854,4296,4041,3487,3030,2958,2646,2466,2240,1988,2162,2336,2590.5,2845,,
"United Arab Emirates",,,,45,27,56,39,46,53,60,67,51,69,57,61,60,83
"United Kingdom",915,966,1107,926,950,834,860,873,762,706,756,641,627,603,590,649,791
"United States",15586,19033,16229,16528,16148,16740,17309,17128,16485,15399,14722,14661,14856,14319,14164,15883,17250
Uruguay,214,218,231,197,200,190,202,194,221,226,205,199,267,260,268,293,265
Uzbekistan,1068,1081,1058,963,962,910,861,815,831,,,,,,,,
Vanuatu,5,5,5,5,5,5,5,5,5,5,5,5.2,5.4,5.6,5.8,6,
Venezuela,8022,7960,9617,11342,9719,9964,12257,13156,14589,13985,13080,14098,16072,17551,19030,18404,17778
Vietnam,,1004,1067,1059,1063,1053,1048,1168,1092,1233,1336,1358,,,,,
"Virgin Islands (U.S.)",23,28,41,31,37,37,43,43,46,50,56,45,52,,,,
"West Bank and Gaza",,,,94,96,86,73.3333,60.6667,48,44,32,24,26,24,35,45,33
Yemen,697,699.3333,701.6667,704,646,945,895,850,874,990,1099,1375,1616,1703,,,
Zambia,797,784.125,771.25,758.375,745.5,732.625,719.75,706.875,694,812,814,863,885,867,825,853,
Zimbabwe,,1529,1623,1360,1356,1350,1072,981.75,891.5,801.25,711,846,981,,,,
