Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Peru,,,,,,,,,,,,,,,,,,,,,,39.1,37.86,36.62,35.38,34.14,32.9,32.8,32.7,32.6,32.5,32.54,32.58,32.62,32.66,32.7,31.3,29.9,27.35,24.8,25.1,20.1,18.8,18.7,15.9,15.6,13.9,13.8,12.4,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,32.8,31.1,32.5,33.9,,,,
"Papua New Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,20.3,19.8864,19.4727,19.0591,18.6455,18.2318,17.8182,17.4045,16.9909,16.5773,16.1636,15.75,15.3364,14.9227,14.5091,14.0955,13.6818,13.2682,12.8545,12.4409,12.0273,11.6136,11.2,10.075,8.95,7.825,6.7,,,
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,12.65,14.5,13.85,13.2,12.55,11.9,10.95,10,9.05,8.1,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,59.4,58.3,57.2,56.1,55,53.9,52.8,51.7,50.6,51.02,51.44,51.86,52.28,52.7,51.66,50.62,49.58,48.54,47.5,47.05,46.6,44.7333,42.8667,41,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,37.3,38.3,39.3,40.3,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,32.4,31.9286,31.4571,30.9857,30.5143,30.0429,29.5714,29.1,27.46,25.82,24.18,22.54,20.9,22.1167,23.3333,24.55,25.7667,26.9833,28.2,24.4,20.6,20.4,22.7,19.4,18,19.35,20.7
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,
"Sierra Leone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40.66,42.32,43.98,45.64,47.3,44.6,41.9,39.2,43.2,47.2,44.4,41.6,38.8,37.375,35.95,34.525,33.1,,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,32.8,32.9,33,33.1,33.2,33.3,31.76,30.22,28.68,27.14,25.6,24.8,24,23.2,22.4,21.6,20.55,19.5,18.45,17.4,16.35,15.3,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,37.7667,32.7333,27.7,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,7.74,7.28,6.82,6.36,5.9,6.125,6.35,6.575,6.8,,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,38.025,36.95,35.875,34.8,33.725,32.65,31.575,30.5,28.8333,27.1667,25.5,23.8333,22.1667,20.5,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,16,15.1,14.2,13.3,12.4,11.5,11.1,10.7,10.3,9.9,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,37.8667,36.8333,35.8,34.7667,33.7333,32.7,33.025,33.35,33.675,34,32.8,31.6,30.4,29.2,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,34.5,34.1615,33.8231,33.4846,33.1462,32.8077,32.4692,32.1308,31.7923,31.4538,31.1154,30.7769,30.4385,30.1,29.8,29.5,29.2,28.9,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,44.5667,42.7333,40.9,41.925,42.95,43.975,45,44.2167,43.4333,42.65,41.8667,41.0833,40.3,40.42,40.54,40.66,40.78,40.9,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,32.175,31.95,31.725,31.5,30.45,29.4,28.8,28.2,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,16.4167,16.4333,16.45,16.4667,16.4833,16.5,15.25,14,12.75,11.5,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,38,40.6,35.7,30.8,29.3333,27.8667,26.4,24.9,23.4,21.9,20.4,17.9,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,19.6778,18.6556,17.6333,16.6111,15.5889,14.5667,13.5444,12.5222,11.5,,,,
"Timor Leste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,58.2,59.5,58.275,57.05,55.825,54.6,,,,,,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7.3818,7.8636,8.3455,8.8273,9.3091,9.7909,10.2727,10.7545,11.2364,11.7182,12.2,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,10.75,10.2,9.65,9.1,8.55,8,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,24.7,23.64,22.58,21.52,20.46,19.4,18.5333,17.6667,16.8,15.9333,15.0667,14.2,13.75,13.3,12.85,12.4,12.14,11.88,11.62,11.36,11.1,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,52.7,52.68,52.66,52.64,52.62,52.6,52.0333,51.4667,50.9,50.12,49.34,48.56,47.78,47,46.76,46.52,46.28,46.04,45.8,45.6,35.7,38,40.3,38.5,36.7,,,,
Uganda,,,,,,,,,,,,,,,,,,,51.7,51.35,51,50.65,50.3,49.95,49.6,49.25,48.9,48.55,48.2,47.85,47.5,46.4,45.3,44.2,43.1,42,40.9,41.4,41.9,42.4,39.8,37.2,35.5,35.95,36.4,33.65,30.9,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,23.925,22.45,20.975,19.5,18.7727,18.0455,17.3182,16.5909,15.8636,15.1364,14.4091,13.6818,12.9545,12.2273,11.5,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,61.7,59.1286,56.5571,53.9857,51.4143,48.8429,46.2714,43.7,41.7,39.7,37.7,35.7,33.7,31.7,29.7,27.7,25.7,23.7,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,31.1167,31.5333,31.95,32.3667,32.7833,33.2,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,45.4,47.2833,49.1667,51.05,52.9333,54.8167,56.7,56.85,57,57.15,57.3,57.45,57.6,58,58.4,57.0375,55.675,54.3125,52.95,51.5875,50.225,48.8625,47.5,,,,,,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,32.5,33.38,34.26,35.14,36.02,36.9,37.78,38.66,39.54,40.42,41.3,37.6,33.9,30.2,26.5,27.225,27.95,28.675,29.4,29.5,29.6,29.7,29.8,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,49.6,49.725,49.85,49.975,50.1,53.2667,56.4333,59.6,57.8333,56.0667,54.3,53.2,52.1,51,49.9,48.8,47.7333,46.6667,45.6,44.5333,43.4667,42.4,41.58,40.76,39.94,39.12,38.3,
Zimbabwe,,,,,,,,,,,,,,,,,,,33.1,33.3364,33.5727,33.8091,34.0455,34.2818,34.5182,34.7545,34.9909,35.2273,35.4636,35.7,36.15,36.6,37.05,37.5,37.95,38.4,38.25,38.1,37.95,37.8,36,34.775,33.55,32.325,31.1,30,29.175,28.35,27.525,26.7
