Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"South Korea",57.14,58.52,59.34,61.75,79.42,74.79,82.96,85.6,87.64,87.64,87.64,91.94,96.43,97.64,100.66,102.65,102.39,103.31,104.41,105.09,105.09
Spain,131.39,131.39,131.39,131.39,131.39,131.39,131.39,131.39,131.39,131.19,131.49,131.61,131.65,131.84,131.91,131.99,132.06,132,132,132,131.94
"Sri Lanka",141.75,147.6,148.86,150.55,150.55,149.94,151.2,149.32,147.44,145.56,143.68,141.8,139.92,148.28,151.94,155.6,159.26,162.92,166.58,170.24,173.9
Sudan,0.42,0.42,0.43,0.43,0.45,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Suriname,2.53,2.58,2.73,2.73,2.73,2.73,2.73,2.74,2.75,2.77,2.74,2.74,2.74,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63
Swaziland,16.13,16.23,17.05,16.03,16.62,21.45,21.95,16.68,18.7,17.01,17.9,19.3,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
Sweden,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.37,94.47,94.68,94.84,127.65,129.04,128.42
Switzerland,172.24,172.25,172.28,172.32,172.06,172.13,172.28,172.11,172.14,172.27,172.02,172.27,172.51,172.41,172.51,172.71,172.72,172.85,172.86,172.89,173.1
Syria,17.94,18.21,19.47,19.8,19.1,20.01,21.86,22.38,22.57,21.5,20.43,19.36,18.3,25.6,26.33,26.99,28.06,29.72,36.1,36.81,37.73
Tajikistan,20.95,20.07,17.64,19.42,19.62,19.82,20.02,21.38,19.07,19.04,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48
Tanzania,9.29,9.29,9.29,9.29,9.29,9.3,9.31,9.31,9.31,9.31,9.31,8.98,8.66,8.33,8.51,8.69,8.87,9.06,9.24,9.59,9.59
Thailand,14.06,10.2,10.6,11.09,11.6,12.08,12.59,12.59,12.59,12.59,15.8,19.02,22.23,25.45,28.66,31.88,35.09,35.09,35.09,35.09,35.09
Togo,13.01,13.24,13.01,13.24,13.24,13.24,13.24,13.24,13.24,13.24,13.24,14.28,15.32,16.36,17.4,18.44,19.48,20.52,20.52,20.52,20.52
Tonga,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67,90.67
"Trinidad and Tobago",144.25,146.98,149.9,153.02,155.95,159.06,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18,162.18
Tunisia,12.24,12.39,12.63,12.73,13.39,13.75,14.12,14.12,11.61,11.61,11.61,11.65,11.68,11.72,11.75,11.78,11.8,11.82,11.84,11.84,11.87
Turkey,46.89,46.92,49.35,49.53,48.63,48.66,48.7,48.8,48.76,49.26,50.55,51.85,53.14,54.44,44.58,44.57,44.58,44.76,44.92,46.28,46.87
Turkmenistan,4.36,4.45,4.55,4.63,4.68,4.73,4.77,4.82,4.87,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92
Uganda,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29
Ukraine,27.8,28,28.16,28.25,28.55,28.54,28.59,28.56,27.93,27.6,28.08,28.1,28.11,28.12,28.08,28.05,28.02,28.07,28.08,28.08,28.08
"United Arab Emirates",5.16,5.25,5.35,5.45,5.62,5.69,5.78,5.66,5.54,5.42,5.3,5.18,5.06,4.94,4.82,4.84,4.85,4.87,4.88,4.88,4.88
"United Kingdom",146.97,147.76,148.73,157.97,158.27,158.61,158.85,159.23,159.53,159.89,160.19,160.07,159.95,161.05,159.14,159.27,172.21,172.41,172.26,172.27,172.25
"United States",64.84,64.99,65.2,65.26,65.29,65.39,65.51,65.93,65.53,65.72,66.02,66.23,66.45,66.66,66.79,67.94,67.66,67.37,66.18,66.58,66.57
Uruguay,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11
Uzbekistan,16.2,16.52,9.56,17.19,17.52,17.88,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24
Vanuatu,8.29,8.29,8.29,8.29,8.45,8.61,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78
Venezuela,8.21,8.38,8.54,8.72,10.41,10.41,10.41,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54
Vietnam,29.03,29.6,30.2,30.81,31.41,32.03,28.18,28.18,28.18,30.4,32.8,35.03,37.25,39.48,41.71,43.63,45.78,48.33,48.36,48.36,48.37
Yemen,9.68,9.73,9.73,9.79,11.71,12.24,12.26,12.29,12.31,12.34,12.34,12.57,12.8,13.04,13.27,13.5,13.5,13.5,13.5,13.5,13.5
Zambia,4.69,4.8,4.88,4.96,5.08,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87
Zimbabwe,23.08,23.16,23.31,23.31,23.49,23.66,23.84,24.01,24.19,24.37,24.54,24.72,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89
