Country,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.068,0.106,0.144,0.182,0.22,0.222,0.224,0.226,0.228,0.23,0.232,0.234,0.236,0.238,0.24,0.246,0.252,0.258,0.264,0.27,0.278,0.286,0.294,0.302,0.31,0.324,0.338,0.352,0.366,0.38,0.396,0.412,0.428,0.444,0.46,0.484,0.508,0.532,0.556,0.58,0.598,0.616,0.634,0.652,0.67,0.698,0.726,0.754,0.782,0.81,0.842,0.874,0.906,0.938,0.97,1.008,1.046,1.084,1.122,1.16,1.21,1.26,1.31,1.36,1.41,1.48,1.55,1.62,1.69,1.76,1.842,1.924,2.006,2.088,2.17,2.222,2.274,2.326,2.378,2.43,2.458,2.486,2.514,2.542,2.57,2.566,2.562,2.558,2.554,2.55,2.564,2.578,2.592,2.606,2.62,2.636,2.652,2.668,2.684,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Costa Rica",0.32,0.334,0.348,0.362,0.376,0.39,0.408,0.426,0.444,0.462,0.48,0.502,0.524,0.546,0.568,0.59,0.614,0.638,0.662,0.686,0.71,0.74,0.77,0.8,0.83,0.86,0.98,1.1,1.22,1.34,1.46,1.516,1.572,1.628,1.684,1.74,1.796,1.852,1.908,1.964,2.02,2.06,2.1,2.14,2.18,2.22,2.268,2.316,2.364,2.412,2.46,2.51,2.56,2.61,2.66,2.71,2.734,2.758,2.782,2.806,2.83,2.858,2.886,2.914,2.942,2.97,2.996,3.022,3.048,3.074,3.1,3.132,3.164,3.196,3.228,3.26,3.252,3.244,3.236,3.228,3.22,3.248,3.276,3.304,3.332,3.36,3.376,3.392,3.408,3.424,3.44,3.47,3.5,3.53,3.56,3.59,3.55,3.51,3.47,3.43,3.39,3.538,3.686,3.834,3.982,4.13,4.244,4.358,4.472,4.586,4.7,4.758,4.816,4.874,4.932,4.99,5.016,5.042,5.068,5.094,5.12,5.134,5.148,5.162,5.176,5.19,5.218,5.246,5.274,5.302,5.33,5.364,5.398,5.432,5.466,5.5,5.496,5.492,5.488,5.484,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,0.11,0.116,0.122,0.128,0.134,0.14,0.148,0.156,0.164,0.172,0.18,0.19,0.2,0.21,0.22,0.23,0.244,0.258,0.272,0.286,0.3,0.322,0.344,0.366,0.388,0.41,0.482,0.554,0.626,0.698,0.77,0.866,0.962,1.058,1.154,1.25,1.298,1.346,1.394,1.442,1.49,1.576,1.662,1.748,1.834,1.92,1.966,2.012,2.058,2.104,2.15,2.212,2.274,2.336,2.398,2.46,2.526,2.592,2.658,2.724,2.79,2.828,2.866,2.904,2.942,2.98,3.006,3.032,3.058,3.084,3.11,3.13,3.15,3.17,3.19,3.21,3.234,3.258,3.282,3.306,3.33,3.34,3.35,3.36,3.37,3.38,3.43,3.48,3.53,3.58,3.63,3.684,3.738,3.792,3.846,3.9,3.988,4.076,4.164,4.252,4.34,4.428,4.516,4.604,4.692,4.78,4.862,4.944,5.026,5.108,5.19,5.204,5.218,5.232,5.246,5.26,5.27,5.28,5.29,5.3,5.31,5.32,5.33,5.34,5.35,5.36,5.378,5.396,5.414,5.432,5.45,5.474,5.498,5.522,5.546,5.57,5.594,5.618,5.642,5.666,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0.29,0.302,0.314,0.326,0.338,0.35,0.364,0.378,0.392,0.406,0.42,0.436,0.452,0.468,0.484,0.5,0.52,0.54,0.56,0.58,0.6,0.634,0.668,0.702,0.736,0.77,0.798,0.826,0.854,0.882,0.91,0.932,0.954,0.976,0.998,1.02,1.06,1.1,1.14,1.18,1.22,1.28,1.34,1.4,1.46,1.52,1.576,1.632,1.688,1.744,1.8,1.844,1.888,1.932,1.976,2.02,2.062,2.104,2.146,2.188,2.23,2.258,2.286,2.314,2.342,2.37,2.392,2.414,2.436,2.458,2.48,2.518,2.556,2.594,2.632,2.67,2.792,2.914,3.036,3.158,3.28,3.368,3.456,3.544,3.632,3.72,3.832,3.944,4.056,4.168,4.28,4.328,4.376,4.424,4.472,4.52,4.55,4.58,4.61,4.64,4.67,4.712,4.754,4.796,4.838,4.88,4.918,4.956,4.994,5.032,5.07,5.142,5.214,5.286,5.358,5.43,5.478,5.526,5.574,5.622,5.67,5.656,5.642,5.628,5.614,5.6,5.626,5.652,5.678,5.704,5.73,5.664,5.598,5.532,5.466,5.4,5.51,5.62,5.73,5.84,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Czech Republic",3.12,3.142,3.164,3.186,3.208,3.23,3.252,3.274,3.296,3.318,3.34,3.362,3.384,3.406,3.428,3.45,3.47,3.49,3.51,3.53,3.55,3.572,3.594,3.616,3.638,3.66,3.682,3.704,3.726,3.748,3.77,3.822,3.874,3.926,3.978,4.03,4.074,4.118,4.162,4.206,4.25,4.288,4.326,4.364,4.402,4.44,4.472,4.504,4.536,4.568,4.6,4.646,4.692,4.738,4.784,4.83,4.868,4.906,4.944,4.982,5.02,5.056,5.092,5.128,5.164,5.2,5.248,5.296,5.344,5.392,5.44,5.476,5.512,5.548,5.584,5.62,5.682,5.744,5.806,5.868,5.93,5.946,5.962,5.978,5.994,6.01,6.026,6.042,6.058,6.074,6.09,6.138,6.186,6.234,6.282,6.33,6.388,6.446,6.504,6.562,6.62,6.664,6.708,6.752,6.796,6.84,6.882,6.924,6.966,7.008,7.05,7.078,7.106,7.134,7.162,7.19,7.25,7.31,7.37,7.43,7.49,7.67,7.85,8.03,8.21,8.39,8.41,8.43,8.45,8.47,8.49,8.494,8.498,8.502,8.506,8.51,8.46,8.41,8.36,8.31,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2.35,2.358,2.366,2.374,2.382,2.39,2.398,2.406,2.414,2.422,2.43,2.44,2.45,2.46,2.47,2.48,2.492,2.504,2.516,2.528,2.54,2.55,2.56,2.57,2.58,2.59,2.602,2.614,2.626,2.638,2.65,2.66,2.67,2.68,2.69,2.7,2.718,2.736,2.754,2.772,2.79,2.808,2.826,2.844,2.862,2.88,2.898,2.916,2.934,2.952,2.97,2.988,3.006,3.024,3.042,3.06,3.078,3.096,3.114,3.132,3.15,3.168,3.186,3.204,3.222,3.24,3.256,3.272,3.288,3.304,3.32,3.33,3.34,3.35,3.36,3.37,3.39,3.41,3.43,3.45,3.47,3.444,3.418,3.392,3.366,3.34,3.352,3.364,3.376,3.388,3.4,3.424,3.448,3.472,3.496,3.52,3.616,3.712,3.808,3.904,4,4.074,4.148,4.222,4.296,4.37,4.444,4.518,4.592,4.666,4.74,4.806,4.872,4.938,5.004,5.07,5.146,5.222,5.298,5.374,5.45,5.492,5.534,5.576,5.618,5.66,5.682,5.704,5.726,5.748,5.77,5.792,5.814,5.836,5.858,5.88,5.912,5.944,5.976,6.008,6.04,5.994,5.948,5.902,5.856,5.81,5.808,5.806,5.804,5.802,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
"Dominican Republic",0.07,0.076,0.082,0.088,0.094,0.1,0.108,0.116,0.124,0.132,0.14,0.148,0.156,0.164,0.172,0.18,0.188,0.196,0.204,0.212,0.22,0.226,0.232,0.238,0.244,0.25,0.258,0.266,0.274,0.282,0.29,0.366,0.442,0.518,0.594,0.67,0.736,0.802,0.868,0.934,1,1.044,1.088,1.132,1.176,1.22,1.266,1.312,1.358,1.404,1.45,1.508,1.566,1.624,1.682,1.74,1.808,1.876,1.944,2.012,2.08,2.098,2.116,2.134,2.152,2.17,2.166,2.162,2.158,2.154,2.15,2.164,2.178,2.192,2.206,2.22,2.244,2.268,2.292,2.316,2.34,2.35,2.36,2.37,2.38,2.39,2.428,2.466,2.504,2.542,2.58,2.588,2.596,2.604,2.612,2.62,2.658,2.696,2.734,2.772,2.81,2.874,2.938,3.002,3.066,3.13,3.2,3.27,3.34,3.41,3.48,3.536,3.592,3.648,3.704,3.76,3.826,3.892,3.958,4.024,4.09,4.138,4.186,4.234,4.282,4.33,4.37,4.41,4.45,4.49,4.53,4.57,4.61,4.65,4.69,4.73,4.788,4.846,4.904,4.962,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.19,0.198,0.206,0.214,0.222,0.23,0.242,0.254,0.266,0.278,0.29,0.304,0.318,0.332,0.346,0.36,0.378,0.396,0.414,0.432,0.45,0.47,0.49,0.51,0.53,0.55,0.61,0.67,0.73,0.79,0.85,0.874,0.898,0.922,0.946,0.97,1,1.03,1.06,1.09,1.12,1.148,1.176,1.204,1.232,1.26,1.29,1.32,1.35,1.38,1.41,1.426,1.442,1.458,1.474,1.49,1.52,1.55,1.58,1.61,1.64,1.68,1.72,1.76,1.8,1.84,1.866,1.892,1.918,1.944,1.97,2.006,2.042,2.078,2.114,2.15,2.178,2.206,2.234,2.262,2.29,2.334,2.378,2.422,2.466,2.51,2.562,2.614,2.666,2.718,2.77,2.884,2.998,3.112,3.226,3.34,3.418,3.496,3.574,3.652,3.73,3.788,3.846,3.904,3.962,4.02,4.122,4.224,4.326,4.428,4.53,4.526,4.522,4.518,4.514,4.51,4.538,4.566,4.594,4.622,4.65,4.642,4.634,4.626,4.618,4.61,4.61,4.61,4.61,4.61,4.61,4.676,4.742,4.808,4.874,4.94,5.006,5.072,5.138,5.204,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.03,0.03,0.03,0.03,0.03,0.034,0.038,0.042,0.046,0.05,0.052,0.054,0.056,0.058,0.06,0.064,0.068,0.072,0.076,0.08,0.086,0.092,0.098,0.104,0.11,0.116,0.122,0.128,0.134,0.14,0.15,0.16,0.17,0.18,0.19,0.202,0.214,0.226,0.238,0.25,0.26,0.27,0.28,0.29,0.3,0.302,0.304,0.306,0.308,0.31,0.288,0.266,0.244,0.222,0.2,0.206,0.212,0.218,0.224,0.23,0.244,0.258,0.272,0.286,0.3,0.31,0.32,0.33,0.34,0.35,0.372,0.394,0.416,0.438,0.46,0.482,0.504,0.526,0.548,0.57,0.606,0.642,0.678,0.714,0.75,0.792,0.834,0.876,0.918,0.96,1.012,1.064,1.116,1.168,1.22,1.338,1.456,1.574,1.692,1.81,1.948,2.086,2.224,2.362,2.5,2.572,2.644,2.716,2.788,2.86,2.936,3.012,3.088,3.164,3.24,3.324,3.408,3.492,3.576,3.66,3.692,3.724,3.756,3.788,3.82,3.846,3.872,3.898,3.924,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Salvador",0.21,0.22,0.23,0.24,0.25,0.26,0.272,0.284,0.296,0.308,0.32,0.334,0.348,0.362,0.376,0.39,0.408,0.426,0.444,0.462,0.48,0.498,0.516,0.534,0.552,0.57,0.608,0.646,0.684,0.722,0.76,0.778,0.796,0.814,0.832,0.85,0.888,0.926,0.964,1.002,1.04,1.05,1.06,1.07,1.08,1.09,1.104,1.118,1.132,1.146,1.16,1.174,1.188,1.202,1.216,1.23,1.24,1.25,1.26,1.27,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.302,1.324,1.346,1.368,1.39,1.39,1.39,1.39,1.39,1.39,1.412,1.434,1.456,1.478,1.5,1.544,1.588,1.632,1.676,1.72,1.784,1.848,1.912,1.976,2.04,2.112,2.184,2.256,2.328,2.4,2.462,2.524,2.586,2.648,2.71,2.764,2.818,2.872,2.926,2.98,3.098,3.216,3.334,3.452,3.57,3.674,3.778,3.882,3.986,4.09,4.188,4.286,4.384,4.482,4.58,4.774,4.968,5.162,5.356,5.55,5.71,5.87,6.03,6.19,6.35,6.346,6.342,6.338,6.334,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.034,0.038,0.042,0.046,0.05,0.054,0.058,0.062,0.066,0.07,0.106,0.142,0.178,0.214,0.25,0.29,0.33,0.37,0.41,0.45,0.528,0.606,0.684,0.762,0.84,0.97,1.1,1.23,1.36,1.49,1.564,1.638,1.712,1.786,1.86,1.936,2.012,2.088,2.164,2.24,2.308,2.376,2.444,2.512,2.58,2.638,2.696,2.754,2.812,2.87,2.998,3.126,3.254,3.382,3.51,3.594,3.678,3.762,3.846,3.93,3.984,4.038,4.092,4.146,4.2,4.312,4.424,4.536,4.648,4.76,4.814,4.868,4.922,4.976,5.03,5.126,5.222,5.318,5.414,5.51,5.608,5.706,5.804,5.902,6,6.076,6.152,6.228,6.304,6.38,6.502,6.624,6.746,6.868,6.99,7.004,7.018,7.032,7.046,7.06,6.998,6.936,6.874,6.812,6.75,6.71,6.67,6.63,6.59,6.55,6.532,6.514,6.496,6.478,6.46,6.31,6.16,6.01,5.86,5.71,5.722,5.734,5.746,5.758,5.77,5.782,5.794,5.806,5.818,5.83,5.838,5.846,5.854,5.862,5.87,5.878,5.886,5.894,5.902,5.91,5.916,5.922,5.928,5.934,5.94
Finland,0.1,0.106,0.112,0.118,0.124,0.13,0.134,0.138,0.142,0.146,0.15,0.158,0.166,0.174,0.182,0.19,0.202,0.214,0.226,0.238,0.25,0.266,0.282,0.298,0.314,0.33,0.474,0.618,0.762,0.906,1.05,1.12,1.19,1.26,1.33,1.4,1.418,1.436,1.454,1.472,1.49,1.552,1.614,1.676,1.738,1.8,1.868,1.936,2.004,2.072,2.14,2.21,2.28,2.35,2.42,2.49,2.55,2.61,2.67,2.73,2.79,2.836,2.882,2.928,2.974,3.02,3.036,3.052,3.068,3.084,3.1,3.112,3.124,3.136,3.148,3.16,3.184,3.208,3.232,3.256,3.28,3.29,3.3,3.31,3.32,3.33,3.338,3.346,3.354,3.362,3.37,3.394,3.418,3.442,3.466,3.49,3.56,3.63,3.7,3.77,3.84,3.896,3.952,4.008,4.064,4.12,4.176,4.232,4.288,4.344,4.4,4.44,4.48,4.52,4.56,4.6,4.648,4.696,4.744,4.792,4.84,4.886,4.932,4.978,5.024,5.07,5.108,5.146,5.184,5.222,5.26,5.3,5.34,5.38,5.42,5.46,5.496,5.532,5.568,5.604,5.64,5.688,5.736,5.784,5.832,5.88,5.884,5.888,5.892,5.896,5.9,5.9,5.9,5.9,5.9,5.9,5.902,5.904,5.906,5.908,5.91,5.912,5.914,5.916,5.918,5.92,5.92,5.92,5.92,5.92,5.92
France,0.69,0.71,0.73,0.75,0.77,0.79,0.866,0.942,1.018,1.094,1.17,1.232,1.294,1.356,1.418,1.48,1.534,1.588,1.642,1.696,1.75,1.806,1.862,1.918,1.974,2.03,2.08,2.13,2.18,2.23,2.28,2.332,2.384,2.436,2.488,2.54,2.592,2.644,2.696,2.748,2.8,2.848,2.896,2.944,2.992,3.04,3.086,3.132,3.178,3.224,3.27,3.3,3.33,3.36,3.39,3.42,3.432,3.444,3.456,3.468,3.48,3.496,3.512,3.528,3.544,3.56,3.58,3.6,3.62,3.64,3.66,3.676,3.692,3.708,3.724,3.74,3.752,3.764,3.776,3.788,3.8,3.812,3.824,3.836,3.848,3.86,3.818,3.776,3.734,3.692,3.65,3.678,3.706,3.734,3.762,3.79,3.826,3.862,3.898,3.934,3.97,3.986,4.002,4.018,4.034,4.05,4.056,4.062,4.068,4.074,4.08,4.106,4.132,4.158,4.184,4.21,4.242,4.274,4.306,4.338,4.37,4.422,4.474,4.526,4.578,4.63,4.664,4.698,4.732,4.766,4.8,4.818,4.836,4.854,4.872,4.89,4.896,4.902,4.908,4.914,4.92,4.922,4.924,4.926,4.928,4.93,4.932,4.934,4.936,4.938,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94
Gambia,0.05,0.052,0.054,0.056,0.058,0.06,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1,0.104,0.108,0.112,0.116,0.12,0.126,0.132,0.138,0.144,0.15,0.158,0.166,0.174,0.182,0.19,0.2,0.21,0.22,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.236,0.232,0.228,0.224,0.22,0.218,0.216,0.214,0.212,0.21,0.208,0.206,0.204,0.202,0.2,0.2,0.2,0.2,0.2,0.2,0.208,0.216,0.224,0.232,0.24,0.238,0.236,0.234,0.232,0.23,0.23,0.23,0.23,0.23,0.23,0.234,0.238,0.242,0.246,0.25,0.254,0.258,0.262,0.266,0.27,0.274,0.278,0.282,0.286,0.29,0.296,0.302,0.308,0.314,0.32,0.326,0.332,0.338,0.344,0.35,0.374,0.398,0.422,0.446,0.47,0.5,0.53,0.56,0.59,0.62,0.658,0.696,0.734,0.772,0.81,0.89,0.97,1.05,1.13,1.21,1.258,1.306,1.354,1.402,1.45,1.49,1.53,1.57,1.61,1.65,1.708,1.766,1.824,1.882,1.94,2.014,2.088,2.162,2.236,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2.04,2.078,2.116,2.154,2.192,2.23,2.27,2.31,2.35,2.39,2.43,2.47,2.51,2.55,2.59,2.63,2.67,2.71,2.75,2.79,2.83,2.868,2.906,2.944,2.982,3.02,3.05,3.08,3.11,3.14,3.17,3.194,3.218,3.242,3.266,3.29,3.312,3.334,3.356,3.378,3.4,3.526,3.652,3.778,3.904,4.03,4.148,4.266,4.384,4.502,4.62,4.704,4.788,4.872,4.956,5.04,5.064,5.088,5.112,5.136,5.16,5.222,5.284,5.346,5.408,5.47,5.52,5.57,5.62,5.67,5.72,5.77,5.82,5.87,5.92,5.97,6.07,6.17,6.27,6.37,6.47,6.516,6.562,6.608,6.654,6.7,6.704,6.708,6.712,6.716,6.72,6.686,6.652,6.618,6.584,6.55,6.468,6.386,6.304,6.222,6.14,6.054,5.968,5.882,5.796,5.71,5.642,5.574,5.506,5.438,5.37,5.322,5.274,5.226,5.178,5.13,5.086,5.042,4.998,4.954,4.91,4.862,4.814,4.766,4.718,4.67,4.628,4.586,4.544,4.502,4.46,4.406,4.352,4.298,4.244,4.19,4.136,4.082,4.028,3.974,3.92,3.922,3.924,3.926,3.928,3.93,3.93,3.93,3.93,3.93,3.93,3.932,3.934,3.936,3.938,3.94,3.942,3.944,3.946,3.948,3.95,3.954,3.958,3.962,3.966,3.97,3.97,3.97,3.97,3.97,3.97
Ghana,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.156,0.162,0.168,0.174,0.18,0.194,0.208,0.222,0.236,0.25,0.258,0.266,0.274,0.282,0.29,0.298,0.306,0.314,0.322,0.33,0.346,0.362,0.378,0.394,0.41,0.42,0.43,0.44,0.45,0.46,0.466,0.472,0.478,0.484,0.49,0.51,0.53,0.55,0.57,0.59,0.612,0.634,0.656,0.678,0.7,0.754,0.808,0.862,0.916,0.97,1.08,1.19,1.3,1.41,1.52,1.64,1.76,1.88,2,2.12,2.212,2.304,2.396,2.488,2.58,2.648,2.716,2.784,2.852,2.92,2.988,3.056,3.124,3.192,3.26,3.312,3.364,3.416,3.468,3.52,3.548,3.576,3.604,3.632,3.66,3.698,3.736,3.774,3.812,3.85,3.918,3.986,4.054,4.122,4.19,4.224,4.258,4.292,4.326,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0.73,0.75,0.77,0.79,0.81,0.83,0.854,0.878,0.902,0.926,0.95,0.974,0.998,1.022,1.046,1.07,1.094,1.118,1.142,1.166,1.19,1.21,1.23,1.25,1.27,1.29,1.33,1.37,1.41,1.45,1.49,1.516,1.542,1.568,1.594,1.62,1.662,1.704,1.746,1.788,1.83,1.868,1.906,1.944,1.982,2.02,2.038,2.056,2.074,2.092,2.11,2.126,2.142,2.158,2.174,2.19,2.252,2.314,2.376,2.438,2.5,2.6,2.7,2.8,2.9,3,3.068,3.136,3.204,3.272,3.34,3.406,3.472,3.538,3.604,3.67,3.634,3.598,3.562,3.526,3.49,3.62,3.75,3.88,4.01,4.14,4.292,4.444,4.596,4.748,4.9,4.854,4.808,4.762,4.716,4.67,4.696,4.722,4.748,4.774,4.8,4.848,4.896,4.944,4.992,5.04,5.092,5.144,5.196,5.248,5.3,5.324,5.348,5.372,5.396,5.42,5.448,5.476,5.504,5.532,5.56,5.562,5.564,5.566,5.568,5.57,5.59,5.61,5.63,5.65,5.67,5.722,5.774,5.826,5.878,5.93,5.932,5.934,5.936,5.938,5.94,5.942,5.944,5.946,5.948,5.95,5.952,5.954,5.956,5.958,5.96,5.96,5.96,5.96,5.96,5.96,5.962,5.964,5.966,5.968,5.97,5.97,5.97,5.97,5.97,5.97,5.972,5.974,5.976,5.978,5.98
Guatemala,0.21,0.218,0.226,0.234,0.242,0.25,0.26,0.27,0.28,0.29,0.3,0.314,0.328,0.342,0.356,0.37,0.384,0.398,0.412,0.426,0.44,0.464,0.488,0.512,0.536,0.56,0.604,0.648,0.692,0.736,0.78,0.788,0.796,0.804,0.812,0.82,0.852,0.884,0.916,0.948,0.98,1.006,1.032,1.058,1.084,1.11,1.132,1.154,1.176,1.198,1.22,1.214,1.208,1.202,1.196,1.19,1.192,1.194,1.196,1.198,1.2,1.222,1.244,1.266,1.288,1.31,1.31,1.31,1.31,1.31,1.31,1.308,1.306,1.304,1.302,1.3,1.278,1.256,1.234,1.212,1.19,1.192,1.194,1.196,1.198,1.2,1.206,1.212,1.218,1.224,1.23,1.244,1.258,1.272,1.286,1.3,1.336,1.372,1.408,1.444,1.48,1.526,1.572,1.618,1.664,1.71,1.832,1.954,2.076,2.198,2.32,2.37,2.42,2.47,2.52,2.57,2.62,2.67,2.72,2.77,2.82,2.858,2.896,2.934,2.972,3.01,3.052,3.094,3.136,3.178,3.22,3.246,3.272,3.298,3.324,3.35,3.47,3.59,3.71,3.83,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,0.25,0.274,0.298,0.322,0.346,0.37,0.42,0.47,0.52,0.57,0.62,0.67,0.72,0.77,0.82,0.87,0.918,0.966,1.014,1.062,1.11,1.148,1.186,1.224,1.262,1.3,1.352,1.404,1.456,1.508,1.56,1.604,1.648,1.692,1.736,1.78,1.818,1.856,1.894,1.932,1.97,2.028,2.086,2.144,2.202,2.26,2.31,2.36,2.41,2.46,2.51,2.538,2.566,2.594,2.622,2.65,2.674,2.698,2.722,2.746,2.77,2.808,2.846,2.884,2.922,2.96,3,3.04,3.08,3.12,3.16,3.18,3.2,3.22,3.24,3.26,3.404,3.548,3.692,3.836,3.98,4.008,4.036,4.064,4.092,4.12,4.154,4.188,4.222,4.256,4.29,4.326,4.362,4.398,4.434,4.47,4.504,4.538,4.572,4.606,4.64,4.666,4.692,4.718,4.744,4.77,4.796,4.822,4.848,4.874,4.9,4.91,4.92,4.93,4.94,4.95,4.958,4.966,4.974,4.982,4.99,5.01,5.03,5.05,5.07,5.09,5.108,5.126,5.144,5.162,5.18,5.192,5.204,5.216,5.228,5.24,5.26,5.28,5.3,5.32,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.118,0.126,0.134,0.142,0.15,0.154,0.158,0.162,0.166,0.17,0.178,0.186,0.194,0.202,0.21,0.216,0.222,0.228,0.234,0.24,0.244,0.248,0.252,0.256,0.26,0.268,0.276,0.284,0.292,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.508,0.516,0.524,0.532,0.54,0.526,0.512,0.498,0.484,0.47,0.482,0.494,0.506,0.518,0.53,0.55,0.57,0.59,0.61,0.63,0.654,0.678,0.702,0.726,0.75,0.784,0.818,0.852,0.886,0.92,0.962,1.004,1.046,1.088,1.13,1.194,1.258,1.322,1.386,1.45,1.6,1.75,1.9,2.05,2.2,2.256,2.312,2.368,2.424,2.48,2.534,2.588,2.642,2.696,2.75,2.784,2.818,2.852,2.886,2.92,2.974,3.028,3.082,3.136,3.19,3.226,3.262,3.298,3.334,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0.23,0.242,0.254,0.266,0.278,0.29,0.302,0.314,0.326,0.338,0.35,0.366,0.382,0.398,0.414,0.43,0.448,0.466,0.484,0.502,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.754,0.788,0.822,0.856,0.89,0.916,0.942,0.968,0.994,1.02,1.042,1.064,1.086,1.108,1.13,1.18,1.23,1.28,1.33,1.38,1.388,1.396,1.404,1.412,1.42,1.412,1.404,1.396,1.388,1.38,1.372,1.364,1.356,1.348,1.34,1.34,1.34,1.34,1.34,1.34,1.35,1.36,1.37,1.38,1.39,1.404,1.418,1.432,1.446,1.46,1.478,1.496,1.514,1.532,1.55,1.58,1.61,1.64,1.67,1.7,1.732,1.764,1.796,1.828,1.86,1.898,1.936,1.974,2.012,2.05,2.104,2.158,2.212,2.266,2.32,2.458,2.596,2.734,2.872,3.01,3.122,3.234,3.346,3.458,3.57,3.634,3.698,3.762,3.826,3.89,3.942,3.994,4.046,4.098,4.15,4.202,4.254,4.306,4.358,4.41,4.446,4.482,4.518,4.554,4.59,4.624,4.658,4.692,4.726,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
