Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Saint Kitts and Nevis",,,,,,,,,21.57,20.3367,19.1033,17.87,13.11,12.61,13.68,13.71,13.2767,12.8433,12.41,12.32,13.6,15.11,13.02,12.46,12.31,12.31,12.29,12.29,12.3,21.08,21.06
"South Korea",13.95,10.61,9.54,9.035,8.53,7.9667,7.4033,6.84,15.02,13.45,13.61,5.9,9.55,10.41,9.98,9.7,9.25,7.95,7.43,7.13,8.26,7.8,7.19,7.32,7.59,7.85,6.1,5.72,8.67,5.05,4.83
Kuwait,,,,,,,,,,,,,,,4.3,4.52,4.52,3.91,3.74,3.53,3.98,2.87,3.94,3.94,4.15,3.93,3.14,2.96,2.96,4.34,4.77
Laos,,,,,,,,,,,,,14.06,12.97,12.3,11.63,10.96,9.95,9.22,8.09,13.15,11.5217,9.8933,8.265,6.6367,5.0083,3.38,2.35,1.65,1.48,0.73
Lebanon,,,,,,,,,,,,11.59,16.94,8.36,27.08,16.205,5.33,6.13,4.32,4.79,4.5714,4.3529,4.1343,3.9157,3.6971,3.4786,3.26,3.39,2.98,3.76,1.05
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,13.11,12.2,12.18,11.52,10.86,10.2,9.54
Libya,,,,,,,,,35.63,34.8133,33.9967,33.18,32.3633,31.5467,30.73,,,,,,,,,,,,,,,,
"Saint Lucia",,,,,,,,,18.52,17.78,17.04,16.3,16.34,12.22,12.69,12.78,13.27,13.76,9.43,9,7.9733,6.9467,5.92,5.8,6.75,10.55,8.11,7.84,9.25,,
"Sri Lanka",,,28.96,29.7133,30.4667,31.22,31.16,29.4,27.64,25.88,9.89,8.335,6.78,6.55,6.41,6.27,6.73,7.56,7.23,7.19,7.12,7.21,8.04,7.68,7.05,7.07,7.09,4.43,6.575,8.72,12.08
Lesotho,,,,,,,,,,,,,,1.38,6.37,11.36,16.35,16.74,15.67,13.58,12.06,10.32,10.56,13.16,13.08,1.37,2.43,2.79,2.01,1.43,3.36
Lithuania,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
