Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"East Germany",,,,,,,,,,,1.4,3.5,2.9,2.5,3.7,2.8,3.1,4.5,2.4,2.7,2.2,3.5,3.5,5.1,4.2,2.4,3.2,1.7,2.9,2.2,2,-0.3,2.1,3,3.3,1.6,1.6,0.9,2.8,-14.1,-21.7,9,9.9,10.2,4.8,3.6,2,,,,,,,,,,,,,,,,,,
Ecuador,-1.5,9.5,-0.5,5.3,-0.1,0.9,1.7,0.1,2.4,3.5,-0.4,2.3,-0.4,3.9,6.4,-0.4,2.2,2.4,2.4,3.9,2.7,3.1,9.2,2.8,2.3,6.6,3.3,4,2.5,1.7,1.3,-1.6,-4.7,1.4,1.5,0.3,-8.7,7.9,-2.4,0.2,3.2,0.9,0.1,1.8,0.6,-0.6,2,1.1,-6.4,-0.4,2.5,2.5,0.8,5.8,3,2.5,0.6,4.7,-0.9,2,6.3,3.7,3.2,2.4,0.5
Egypt,-0.6,-0.5,-0.6,-0.6,-0.5,2.3,2.3,2.3,2.3,2.3,4,4.2,4.3,4.1,4,-1.8,-3.4,-0.5,4.8,4.4,2.3,0.1,0.8,1.7,7.9,13.1,10,4.4,4.7,7.2,0.3,7.1,4.5,2.9,3.4,-0.4,0.2,1.8,0.7,-0.2,3.8,4.6,3.3,2.1,2.9,3.4,3,2.5,2.8,3.5,2.2,1.2,1,1.4,2.1,3.5,4.7,4.9,3.7,2.8,1.4,0.8,0.2,0.3,1.3
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,2.7,1.8,-0.7,2,0.2,4.5,6.3,-8.2,-9.4,-12.4,-6.2,0.95,8.1,7.3,12.9,7.8,0.5,10.7,6.9,6.9,8.2,7.2,10.2,11.1,8.6,-4.7,-14.2,3.1,9,5.3,2.3,2.8,3
Ethiopia,1.1,1.1,4,-1.7,3.5,1.5,-2.5,1.4,0.8,3.1,2.9,2.1,11,2.8,3.7,1.8,2.1,-0.4,1.5,3.5,2,2.8,1,-1.1,-2.2,0.2,0.4,-2.7,5.1,3.4,-2.4,-2.8,2,-4.4,-8,4.6,6.5,-1.1,-1.3,-4.3,-10.3,-11.4,-0.3,6,1.4,6.4,5,-2.9,-2.4,1,4.3,1.6,-3.4,2.2,8.5,7.1,7.3,6.6,6.2,6.9,8.3,6.5,5.8,6.6,5.6
Finland,7.5,2.3,-0.5,7.5,3.9,1.9,3.7,-0.3,5.1,8.3,6.9,2.4,2.6,4.5,5,2,1.6,1.8,9.7,7.9,2,7,6.1,2.5,0.7,-0.7,0.55,1.8,6.7,5,1.4,2.7,2.1,2.5,2.9,2,3.8,4.6,5.3,-0.5,-6.4,-3.8,-1.2,3.5,3.8,3.3,6,5.2,4.2,5.4,2.3,1.4,1.8,3.7,2.6,3.9,5,0.6,-8.4,2.9,2.5,-1.5,-1.4,-0.2,1.4
France,5.3,1.9,2.2,4.1,4.8,4,4.9,1.4,1.8,6,4.3,4.5,3.7,5.5,3.9,4.1,3.8,3.6,6,4.8,3.8,3.5,4.6,2.2,-1.2,3.9,3.3,2.4,2.8,0.9,0.5,2,0.7,0.9,1,1.9,2.1,3.9,3,2,0.4,1,-1.1,1.9,1.6,0.9,1.9,3.1,2.9,3.3,1.4,0.5,0.3,2.2,1,1.7,1.7,-0.4,-3.5,1.4,1.5,-0.2,-0.2,-0.1,0.4
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1,5.4,7.3,5.6,-0.2,-1,7,-3.4,-14.3,-21.1,-44.3,-27.9,-8.3,4.7,13,11.6,3.8,3.5,2.5,5.4,5.9,11.6,6,8.5,8.5,12.7,2.6,-4.4,5.2,6.4,6.1,3.5,4.9,4.3
Germany,9,8.8,8.2,7.2,11.5,7,5.3,3.7,7,8,3.6,3.7,1.9,5.8,4.4,2.1,-0.5,5.2,6.7,4.2,2.3,3.8,4.6,0.2,-1,5.9,3,3.1,4.1,0.8,-0.05,-0.9,2,3.2,2.2,2.3,1.5,3.3,2.8,2.4,4.3,1.1,-1.6,2.1,1.4,0.5,1.7,2,1.9,2.8,1.5,-0.2,-0.8,1.2,0.8,3.8,3.4,1.3,-5.4,4.3,3.8,0.6,0.3,1.8,1.8
Ghana,1,-4.4,10.9,9.6,-8.9,3,0.4,-4.4,11.3,4.3,0.7,2,0.6,-0.7,-1.5,-2.8,-1.1,-1.5,0.5,7.5,4.7,-6,-0.3,4.1,-14.3,-5.5,0.3,6.6,-4,-4.4,-1.3,-8.8,-10.4,2.9,1.9,1,1.9,2.7,2.2,0.5,3,1.7,2.3,0.9,2.2,2.8,2.4,2.8,2.5,2.2,2.5,2.6,3,3.1,3.9,2.2,4.1,6.1,2.4,5,12.4,6.4,4.8,0.9,5.7
