Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Guadeloupe,2400,2286,2250,2250,2333,3644,3812,3625,3750,3750,3667,3333,3333,3478,4000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,5013,4733,6289,6843,7464,9580,6492,8079,8699,8693,7995,11591,10793,11626,9587,11822,11085,12023,13030,12302,11069,8966,9401,10616,9494,7967,9129,11900,10447,10573,10601,10575,9276,9237,8201,9724,8575,9407,7935,7872,6082,6392,6919,7781,7923,6937,6179,8446,6921,7140,7095,7006,7024
Guinea,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1113,1216,1343,1548,1163,1719,3133,4090,5566,5546,5607,4264,4284,4536,5182,5266,5128,5536,4032,3902,4040,4229,3902,3837,3774,3722,3653,3351,3233,3296,3374
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,10000,8667,10000,6000,10000,10000,10000,10000,4757,5434,4068,2858,2851,3500,3529,3571,4652,3214,3149,3636,3766,4286,4747,5091,4106,4316,3874,5000,4744,3590,3750,3659,2872,2872
Haiti,4511,4531,4832,4694,5318,4948,4948,4879,4657,4638,4385,4844,4554,5061,4403,2974,2866,3739,4215,6109,3918,4143,4121,4515,4187,3716,4432,4626,4626,4842,4367,4647,4603,4645,4475,4411,4285,4270,4408,4425,4357,4289,4284,4396,4446,4437,4595,4637,4908,5101,5128,5154,5212
Honduras,7567,8206,7166,8333,8220,7982,7141,7482,7611,7790,6311,6296,7012,5580,6247,6730,6198,6411,6617,5737,8188,8102,9667,7979,6680,7371,7098,6483,4651,8903,9507,8262,9697,9697,9697,6400,11200,4567,6400,3900,6100,5810,5545,5545,5545,5545,5545,4643,4667,4903,4848,5000,5063
Hungary,9270,7989,9478,10038,10856,10951,11724,9845,13113,10525,11021,11547,12379,13060,10573,11980,12035,9778,11373,12780,13617,11684,11776,14978,14422,15881,14611,13676,15662,9388,6225,10336,6061,17250,17250,19564,18844,19311,20468,22241,22059,20000,20000,20000,14133,12576,12209,12268,12326,12120,11911,11628,11334
India,2638,2628,2728,2610,2269,2451,2698,2111,2610,2411,2809,2624,2968,2761,2685,2968,2813,3057,2957,3043,3108,2903,2842,3372,4181,3424,3133,3529,4002,3958,4013,4124,4088,4170,3795,4398,3842,3718,3958,3671,3766,4039,5059,4788,5321,5819,6183,5517,5548,6326,6167,6095,6437
Indonesia,3820,3111,2825,3108,3348,3948,4344,3682,3035,2999,2623,2414,2273,2109,2133,2186,1963,2067,2405,2141,2471,2515,2526,2147,2724,2941,2971,3088,3152,3424,3510,3955,3811,3849,4071,4250,4366,4611,4663,5492,5558,5399,5397,5273,4956,5141,4128,3906,3503,3282,4446,4615,4714
Iran,3419,2653,3402,3298,4121,3426,3926,4954,4349,4793,4823,6080,5749,6225,4795,5286,5629,4755,5658,4679,3924,4755,4955,5297,5699,5907,5522,6053,5004,5382,5751,5900,6373,6649,6062,5493,5748,6191,6481,6504,6533,7219,8066,8040,7209,7721,7791,7394,7459,7910,6267,4174,6164
