Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Slovenia,,,,,,,,15000,12000,17000,12900,14050,14050,14050,14050,13500,12100,13500,11000,10000,12000,11000,12000,12000,12100,12100,12100,13550,13550,13550,13200,13200
Somalia,62700,58775,54850,50925,47000,47000,82600,118200,153800,189400,225000,225000,225000,225000,50000,50000,44666.6667,39333.3333,34000,28666.6667,23333.3333,18000,12666.6667,7333.3333,2000,2000,3200,20000,11000,17000,19800,19800
"South Africa",106400,104800,103200,101600,100000,85000,80000,75000,75000,75000,276900,277900,217440,211700,78150,71600,67000,60000,55700,55000,56000,103000,62000,62000,77153,77153,77582,62100,77150,82250,82150,81400
"South Korea",598000,610250,622500,634750,647000,650000,750000,750000,750000,750000,641000,668000,676500,676500,676500,687500,687500,690500,690500,696000,693000,692000,692000,692000,659500,659500,659500,659500,659500,632500,634500,634000
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,140000,210000,210000,185000,185000,185000,185000
Spain,320000,309250,298500,287750,277000,263000,246000,198000,204000,213000,281600,282300,273250,269710,262260,241800,214700,251200,224000,220000,220000,222000,222000,223000,222422,223216,215700,215600,213950,200000,199950,197950
"Sri Lanka",21600,21700,21800,21900,22000,22000,110000,110000,110000,110000,235500,225200,227200,225200,218300,203600,209600,246500,240900,239000,200000,213000,213000,213000,223100,223100,223100,223100,223100,223100,265200,305200
Sudan,56600,58700,60800,62900,65000,65000,65000,82000,82000,82000,133500,104000,94700,109700,109700,119500,124000,124000,114500,121000,123000,125000,127000,127000,126800,126800,264300,264300,264300,264300,264300,124300
Suriname,2000,2500,3000,3500,4000,4000,4000,2000,2000,2000,1800,1800,1800,1800,1800,2000,2000,2000,1800,1000,2000,2000,2000,2000,1840,1840,1840,1840,1940,1940,1940,1940
Swaziland,,,,,4000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,,,,,,,,,,,,,,,
Sweden,65700,64775,63850,62925,62000,65000,63000,70000,70000,70000,99600,98200,88950,88700,88700,88300,69500,69500,63200,27600,28600,24600,17600,17600,21870,21163,21300,16100,16100,30550,30550,30550
Switzerland,20000,19250,18500,17750,17000,22000,22000,31000,35000,39000,31400,27300,26260,26300,27700,27700,26800,27600,27500,4000,109000,23000,23000,23000,25620,25287,23100,22650,21250,20800,20950,20950
Syria,402500,401875,401250,400625,400000,408000,408000,408000,408000,320000,531000,529000,428000,428000,424000,424800,429000,427000,427000,415000,416000,401000,401000,401000,403000,403000,178000,178000,178000,280500,277500,307500
Tajikistan,,,,,,,,3000,3000,3000,18000,23500,10200,10200,10200,7200,7200,7200,7200,12000,13000,17000,17000,17000,16300,16300,16300,16300,16300,16300,16300,16300
Tanzania,40400,40300,40200,40100,40000,40000,40000,46000,46000,50000,36000,36000,36000,35400,35400,35400,28400,28400,28400,28000,28000,28000,28000,28000,28400,28400,28400,28400,28400,28400,28400,28400
Thailand,235300,247225,259150,271075,283000,283000,283000,283000,295000,290000,420500,393500,337000,377000,377000,416600,410000,419000,427200,419000,421000,420000,420000,421000,419560,419560,474550,453550,453550,453550,454550,454550
"Timor Leste",,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000,1332,1332,1330,1330,1330,1330,1330,1330
Togo,3600,4200,4800,5400,6000,8000,8000,8000,8000,8000,7800,7800,7750,7750,7750,7800,10300,10300,9300,8750,9750,9750,9750,9750,9300,9300,9300,9300,9300,9300,9300,9300
"Trinidad and Tobago",2100,2075,2050,2025,2000,2000,2000,2000,2000,2000,6900,6900,6900,7400,7500,7500,2700,2700,2700,2000,3000,3000,4000,4000,4063,4063,4050,4050,4050,4050,4050,4050
Tunisia,35100,36325,37550,38775,40000,35000,35000,35000,35000,35000,58500,58000,47000,47000,47000,47000,47000,47000,47000,47000,47000,48000,48000,48000,47800,47800,47800,47800,47800,47800,47800,47800
Turkey,630000,667500,705000,742500,780000,769000,804000,704000,686000,811000,690000,707200,821200,821200,841200,827700,665100,664800,664800,616000,617000,612000,612000,613000,612800,612800,612800,612800,612800,612800,512000,512000
Turkmenistan,,,,,,,,28000,28000,15000,11000,18000,18000,19000,19000,14500,17500,17500,29000,26000,26000,22000,22000,22000,22000,22000,22000,22000,22000,36500,36500,41500
Uganda,20000,25000,30000,35000,40000,60000,60000,70000,70000,60000,51500,51500,46500,41500,41500,50600,56800,56800,61800,55000,47000,47000,47000,47000,46800,46800,46800,46800,46800,46800,46400,46400
Ukraine,,,,,,,,430000,380000,350000,518500,466800,453400,449400,428000,420400,419800,414800,403000,271000,273000,215000,215000,215000,214825,214825,214850,214850,121500,204000,256000,292000
"United Arab Emirates",43000,43000,43000,43000,43000,66000,66000,55000,55000,60000,71000,65500,65500,65500,65500,66000,66000,41500,50500,50000,51000,51000,51000,51000,51000,51000,51000,51000,63000,63000,63000,63000
"United Kingdom",334000,330000,326000,322000,318000,308000,301000,293000,271000,257000,233000,221000,218000,218000,218000,212500,211400,210400,212600,205000,217000,181000,160000,160000,178470,174020,165650,169150,159150,154700,152350,150250
"United States",2151600,2173700,2195800,2217900,2240000,2180000,2120000,1920000,1820000,1720000,1635600,1572100,1533300,1594000,1575000,1454800,1420700,1467000,1480000,1473000,1546000,1498000,1555000,1540000,1563996,1569417,1520100,1492200,1433150,1381250,1347300,1348400
Uruguay,31900,30675,29450,28225,27000,25000,25000,25000,25000,25000,26500,26520,26050,26520,26520,24600,24800,24800,24900,24920,24920,25410,25900,25900,25439,25439,25450,25450,25450,25450,25450,25450
Uzbekistan,,,,,,,,40000,41000,20000,41700,46000,86000,100000,94000,79100,72000,72000,72000,75000,91000,87000,87000,87000,87000,87000,68000,68000,68000,68000,68000,68000
Venezuela,49000,55500,62000,68500,75000,75000,73000,75000,75000,75000,80000,79000,79000,79000,79000,79000,105300,105300,105300,82000,82000,98500,115000,115000,115000,115000,115000,115000,115000,265000,265000,273000
Vietnam,1027000,1082750,1138500,1194250,1250000,1050000,1040000,857000,857000,700000,622000,622000,557000,524000,524000,524000,524000,524000,524000,509500,495000,495000,495000,495000,495000,522000,522000,522000,522000,522000,522000,522000
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,56000,56000,56000,56000,56000,56000,56000,56000,,,,
Yemen,64100,63575,63050,62525,62000,127000,127000,64000,64000,69000,69500,112000,146300,136300,136300,136300,124000,136500,136700,136000,138000,138000,138000,138000,137900,137900,137900,137900,137900,20000,20000,20000
Zambia,16200,16400,16600,16800,17000,16000,16000,16000,16000,16000,23000,23000,23000,23000,23000,23000,23000,23000,19500,16000,16000,16000,16000,16000,16500,16500,16500,16500,16500,16500,16500,16500
Zimbabwe,41000,43500,46000,48500,51000,45000,45000,48000,48000,43000,67800,64800,60800,60800,60800,61800,60800,57800,50800,50000,51000,51000,51000,51000,50800,50800,50800,50800,50800,50800,50800,50800
