Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Netherlands,8501,8470,8372,8463,8628,8721,8791,8773,8628,8653,8753,8872,9042,9157,9309,9380,9444,9407,9486,10337,10275,10191,10123,10043,9806,9496,9479,9372,9330,9400,9559,9513,9284,9114,9141,9212,9337,9402,9552,9777,10036,10165,10353,10324,10450,10763,11099,11331,11572,11895,12003,12154,12093,11956,11990,11955,12186,12540,12747,12567,12477,12594,12487,12378,12444,12505,12756,12989
"New Zealand",,,,,,,,,,,,,,,,,,,,,2383,2443,2467,2511,2610,2689,2715,2714,2877,2883,2897,2844,2848,2837,2874,2944,2968,2984,2875,2773,2776,2704,2723,2862,2977,3104,3191,3196,3180,3257,3303,3366,3478,3560,3702,3780,3826,3847,3848,3736,3786,3821,3803,3901,4062,4141,4354,4478
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106563,106573,103807,107530,111224,117693,126294,129496
Norway,3269,3252,3234,3217,3200,3183,3166,3153,3104,3086,3096,3115,3109,3108,3132,3089,3103,3096,3036,2985,3011,3000,2979,2977,2980,3001,3005,3022,3006,3007,3079,3099,3078,3061,3074,3147,3241,3248,3236,3138,3094,3058,3072,3087,3125,3154,3206,3289,3372,3401,3379,3331,3310,3243,3309,3361,3469,3636,3765,3691,3696,3761,3834,3847,3900,3912,3926,3943
Pakistan,,,,,,,,,,,,,,,,,,,,,39325,41449,40886,43097,44888,46858,47739,48588,49440,50327,51630,52340,53718,55138,56514,58179,58471,61253,61137,64088,67062,65801,68364,71652,72474,73753,73161,77343,80440,82302,81598,83029,86016,88165,91951,93212,100052,101771,104498,107123,110375,113865,117267,118182,118410,120296,123479,126669
Peru,1702,1736,1770,1806,1842,1879,1917,1955,1994,2034,2075,2106,2137,2170,2202,2237,2272,2307,2343,2379,2479,2581,2682,2780,2889,2950,3023,3074,3126,3185,3293,3413,3511,3674,3791,3868,4184,4328,4336,4424,4538,4843,4850,5018,5284,5556,5766,5894,6151,6208,6892,6909,7230,7181,7340,7288,7592,7987,8046,8115,8353,8494,8634,8826,8846,8939,9101,9228
Philippines,,,,,,,,,,,,,,,,,,,,,26038,28486,29801,30446,32173,32264,32184,33427,35656,37758,37818,39644,40233,42327,43574,44620,46105,46929,46286,48143,48685,49867,51565,52082,53818,54698,56938,56605,56062,58682,59310,60287,61973,63657,65911,67976,67819,70248,72045,73017,75892,77215,78079,80196,79872,82074,85619,87322
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28557,29037,29522,30061,30835,31242,30941,30219,29578,28613,28357,28684,29225,30177,31488,32559,32431,31491,31589,31544,31465,32112,32723,32930,33084
Portugal,6815,6830,6844,6859,6873,6888,6902,6720,6911,6915,6960,6929,6871,6813,6756,6699,6629,6552,6476,6400,6465,6580,6546,6492,6982,7308,7395,7440,7370,7408,7503,7475,7398,7670,7586,7496,7462,7747,7979,8275,8445,8391,8400,8239,8343,8575,8724,8930,9256,9408,9664,9749,9752,9622,9586,9552,9530,9617,9586,9325,9206,8916,8471,8273,8425,8552,8566,8643
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21175,20916,21083,20432,20083,19960,19742,17876,17580,17371,17171,17442,17588,17593,17149,17036,17200,15661,15480,15478,15412,15303,15320
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138728,136804,129232,125112,124384,125840,123785,125776,127726,128513,129819,131346,132198,132632,133960,135776,136589,133083,133366,133867,134713,134444,135067,136048,136189,134963
Singapore,737,768,800,833,868,904,942,981,1022,1065,1109,1139,1170,1202,1234,1268,1302,1337,1373,1410,1448,1559,1669,1779,1834,1843,1946,1988,2118,2241,2371,2596,2763,2848,2896,2708,2629,2770,2956,3178,3336,3497,3615,3773,3968,4188,4485,4786,4891,4913,5150,5288,5196,5144,5159,5386,5722,6164,6734,6823,7164,7444,7732,7946,8230,8214,8207,8305
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4548,4185,3917,3917,3843,3905,3914,3896,3860,3751,3676,3667,3576,3498,3581,3696,3784,3899,4030,3922,3917,3960,3953,3884,3912,3977,4039,4109
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,1562,1522,1532,1557,1564,1560,1607,1605,1622,1577,1574,1615,1675,1650,1616,1573,1541,1541,1566,1589,1616,1646
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30689,32289,30741,31384,33646,34445,34217,34838,33557,32774,34367,34758,35624,36251,37673,37768,38327
"South Korea",12797,13063,13335,13612,13895,14184,14479,14780,15088,15402,15722,16420,17148,17909,17653,19411,19797,20766,22224,23283,23157,24544,26233,28147,29949,30890,33785,34491,36507,36821,36835,37541,40143,40133,39635,41121,41663,45167,46842,47798,48415,49546,50097,51018,52351,53996,54941,54717,49519,50527,53039,53805,54378,53602,53946,53742,54310,54040,52944,52465,52106,50659,53375,52119,54373,54839,54776,55165
Spain,25694,25731,25786,25902,26297,26417,26624,26832,27153,26698,26287,26500,26449,26410,25965,26064,26330,26622,26314,26451,26826,27026,27257,27759,27990,27631,27476,27170,26083,24959,24246,23244,22787,22315,21291,20955,21344,22265,22992,23662,24588,25012,24552,23746,23619,24073,24441,25388,26630,27923,29255,30399,31220,32102,33037,34139,35358,36259,36519,34371,33591,32788,31204,30250,30579,31428,32160,32815
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,6576,6750,6860,6975,7085,7193,7293,7612,7739,7871,7957,8066,8192,8362,8389,8185,8695,8878,9060,9232,9386,9708,9604,10132,10007,10051,10359,10256,11127,11333,12122,12352,12428,12055,13091,13480,13719,13788,14638,14437,15133,15896,16388,16639,16913,17200,17247,17301
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,93,92,92,93,96,99,105,103,114,112,112,111,120,126,126,,,,,,,,,,,,,,,,
Sweden,6881,6844,6837,6763,6794,6750,6659,6758,6748,6760,6849,6912,6905,6918,6902,6908,6865,6677,6586,6622,6751,6613,6478,6440,6492,6522,6599,6488,6355,6408,6492,6466,6514,6569,6633,6719,6752,6851,7033,7130,7179,7011,6775,6551,6644,6773,6771,6704,6810,6988,7062,7106,7007,6908,6963,6980,7072,7291,7381,7168,7354,7499,7489,7516,7624,7747,7928,8030
Switzerland,5017,5120,5225,5332,5441,5552,5692,5800,5730,5709,5845,6128,6373,6481,6592,6557,6541,6586,6636,6755,6865,6953,6970,6939,6831,6474,6249,6209,6230,6246,6334,6410,6426,6338,6302,6403,6525,6684,6856,6982,7164,6895,6866,6790,6829,6736,6626,6579,6699,6840,6888,6840,6800,6830,6974,7004,7111,7250,7382,7378,7406,7554,7598,7608,7713,7889,8018,8053
Taiwan,6788,6883,6978,7075,7174,7273,7375,7477,7581,7686,7793,8065,8331,8613,8708,8749,8959,9404,9807,10180,10599,10977,11455,12303,12674,12748,13086,13793,14350,15029,15149,15413,15457,15941,16474,16671,17345,18262,18245,18428,18476,18717,19165,19594,19530,20121,19931,19648,20364,20557,20695,19945,19966,20267,20899,21152,21583,21925,21571,21115,21644,21983,22447,22616,22849,22756,22139,22481
Thailand,,,,,,,,,,,,,,,,,,,,,37769,38668,35711,39860,40963,42791,44837,46927,51731,54806,59192,59729,54595,63710,66849,66016,68438,70026,75488,81404,78648,80968,85394,82952,84911,86270,83951,84110,83159,81978,84538,82503,83746,84087,86425,85110,84695,86596,88654,90279,90783,92596,91409,89451,86206,86068,85336,85662
Turkey,,,,,,,,,,,,,,,,,,,,,24921,25237,25832,26202,26662,26778,26936,27566,27707,27881,28124,28259,28446,28609,28079,28955,29245,29280,29602,30855,31359,32665,33424,32152,34139,34919,36232,35982,37052,38315,37756,37840,37744,37448,37674,38849,39702,39630,40268,40022,42409,44946,46044,46760,47509,48711,49831,50928
"United Kingdom",44611,45566,45246,45591,46591,47702,47741,47484,46501,47447,48334,48118,47997,48346,49046,48855,48250,47279,46867,46794,45774,44851,45505,46441,46186,45231,44789,45076,45341,45742,44789,42731,41804,41358,42396,42990,43126,44106,45746,47039,46916,45014,43784,43276,43883,44476,44877,45656,46007,46419,46528,46999,46905,47112,47551,48172,48485,48939,49197,47767,48029,48216,49131,50041,51432,52213,52963,53248
"United States",122009,128933,130222,131692,127834,132053,134250,133035,128386,133071,134028,133117,136462,137550,141124,145975,151082,152749,155514,159298,156508,155819,160120,165238,165841,161090,165754,171588,179664,184526,184015,184407,181666,184933,194266,198712,201045,206499,212666,218551,218903,216173,216131,221148,228531,233255,237300,243637,248819,253055,256809,253455,249938,247597,250706,254172,258878,260278,258238,244607,244962,249752,253741,256777,261630,266500,269676,272854
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468,2442,2472,2484,2544,2573,2498,2482,2330,2264,2212,2187,2063,2023,2146,2206,2295,2384,2456,2462,2484,2607,2540,2536,2587,2576,2568,2568
Venezuela,3607,3698,3792,3888,3986,4097,4201,4308,4417,4529,4656,4772,4892,5014,5140,5279,5395,5514,5636,5760,5897,6193,6421,6744,7081,7415,7314,7485,7927,8166,9239,9517,9713,9673,9628,9901,10405,10919,11509,11594,12075,12565,13026,13392,13853,14657,14989,15930,16790,16465,16774,17578,17691,17686,19438,20202,20886,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,35188,36277,37400,38557,39766,41045,42173,43783,44158,44646,46065,46889,48954,50628,52927,59275,62253,63383,64260,64885,68035,69367,70971,72851,74984,77020,78190,78190,82344,84688,86878,83386,85721,89326,90407,92622,96426,99566,107264,114697,112038,117339,117996,117565,112649,112853,113622,114774
