Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Iceland,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.7,1.1,1.3,1.5,1.4,1.4,1.5,1.704,2.602,3.602,4,4.6,4.5,4.7,5.21,5.253,5.248,5.011
India,,,,,,,,,,,,,,,0.2,0.5,0.9,1,1.1,2.5,3,4,4.5,5.5,6.4,8.519,10.619,14.059,23.62,30.022,34.446,42.988,52.753,60.16,67.509,
Indonesia,,,,0.2,0.2,0.4,0.6,0.7,1,1,1.1,1,1.1,1.1,1.9,2.2,2.4,2.6,2.6,2.7,4.9,6,6.2,6.3,6.7,6.622,6.732,7.03602,8.3474,9.3631,9.4992,9.5922,9.718,9.684,11.008,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.1,0.1,0.2,0.202,0.173,0.2962,0.23,0.401,0.407,
Ireland,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.4,0.5,0.8,1.2,1.7,2.2,2.609,3.252,3.131,4.718,4.495,5.082,5.741,7.109
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.01,0.01,0.016,0.075,0.139,0.272,0.451,0.539,0.908,1.388
Italy,3.8,3.4,3.3,3.2,3.3,3,3.5,3.7,3.8,3.2,3.3,3.4,3.7,3.9,3.7,3.8,4.4,4.8,5.6,6.6,7.2,8.3,9.6,11.3,12.8,13.831,15.235,16.638,18.258,21.804,28.018,39.449,52.612,61.536,64.596,67.968
Jamaica,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0972,0.0944,0.0916,0.0888,0.086,0.092,0.089,0.102,0.184,0.18,0.229,0.284,0.282,0.268,
Japan,1.1,0.8,9.7,10.9,12.3,12.4,13.3,14.3,16.3,17.3,12.7,12.8,12.8,12.8,14.1,16.2,16.7,18.8,18.6,18.7,18.7,19.2,21.5,23.2,23.9,28.5,29.1,30.615,26.817,27.022,40.594,43.302,56.127,54.744,67.653,85.584
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.009,0.012,0.012,0.01,0.012,0.011,0.009,0.009,0.008,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.006,0.014,
Kenya,0.1,0.1,0.1,0.3,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.7,0.8,0.7,1.1,1.3,1.301,1.301,1.311,1.337,1.547,1.742,1.754,1.828,2.227,4.266,
"South Korea",,,,,,,,,,,,,,,,0.3,0.4,0.34,0.28,0.22,0.16,0.1,0.2,0.2,0.4,0.415,0.531,1.07,1.269,1.889,2.696,3.414,3.684,5.002,6.359,6.041
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,0.088,0.095,0.103,0.099,0.115,0.189,0.402,0.622,0.809,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.038,0.154,0.169,0.302,0.371,0.637,0.778,1.028,1.153,
