Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sudan,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.4,2.4,2.7,2.7,2.6,2.9,2.9,2.9,3.5,3.0,3.1,3.2,3.2,3.6,3.8,3.7,3.3,3.4,6.8,3.3,3.4,2.8,2.1,1.7,2.2,2.8,3.8,3.8,3.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.2,1.8,1.7,1.9,1.9,1.8,1.8,1.7
Sweden,0.8,0.8,0.6,0.6,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.7,1.0,1.0,0.8,0.6,0.7,0.9,0.7,0.3,0.2,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.0,0.1,0.2,0.2,0.3,0.5,0.7,0.8,0.8,0.6,0.6,0.7,0.5,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.9,0.9,0.8,0.7,0.8,0.8,0.8,0.8
Switzerland,1.2,1.4,1.3,1.0,1.0,1.3,1.6,1.4,1.2,2.0,2.8,2.8,2.2,1.7,1.0,0.9,1.1,1.1,1.3,0.9,1.2,0.9,0.6,0.3,-0.9,-1.1,-0.3,0.3,0.3,0.5,0.6,0.7,0.5,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.1,0.9,0.8,0.6,0.3,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.7,1.1,1.1,1.0,1.0,1.0,0.9,0.8,0.7,0.7
Syria,2.3,2.4,2.4,2.4,2.5,2.6,2.7,2.8,3.0,3.1,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.5,2.9,2.8,2.7,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,4.1,6.0,3.1,1.0,1.8,1.2,-1.1,-7.5,-10.9,-4.9,0.7
Taiwan,4.2,3.3,3.7,3.7,4.1,3.9,3.4,3.7,4.5,3.8,3.4,3.4,3.3,3.2,3.1,2.9,2.4,3.4,2.0,2.3,2.3,2.1,1.9,1.9,2.0,2.3,1.9,2.0,2.1,1.9,1.7,1.7,1.4,1.4,1.2,1.0,1.1,1.1,1.0,1.1,1.1,1.0,1.0,1.0,0.9,0.8,0.8,0.9,0.8,0.8,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2
Tajikistan,3.6,3.5,2.7,2.7,2.9,3.1,3.4,2.9,2.9,3.5,4.0,4.2,3.8,3.6,3.6,3.3,3.1,3.3,3.3,3.1,3.4,3.5,3.1,3.2,3.1,3.0,3.0,2.8,2.7,2.7,2.7,2.7,2.8,3.0,3.1,3.2,3.2,2.9,2.8,2.4,2.6,1.7,0.8,1.0,1.3,1.5,1.7,2.0,2.1,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7
Tanzania,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.1,3.1,3.3,3.4,3.2,3.0,3.0,3.0,3.0,2.8,2.9,2.9,2.9,3.0,3.0,3.0,3.1,3.3,3.2,3.0,3.0,2.8,2.9,3.3,3.9,3.2,2.1,2.4,2.9,3.0,3.1,3.0,3.0,3.1,3.0,3.0,2.9,3.0,2.9,2.7,2.8,2.9,2.9,2.9,2.9,2.8,2.8
Thailand,3.1,3.1,3.2,3.3,3.4,3.4,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,3.0,2.8,2.6,2.5,2.3,2.2,2.1,2.1,2.1,2.2,1.9,1.9,1.8,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.1,1.1,0.9,0.8,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Tunisia,1.9,1.8,1.8,1.8,1.8,1.5,1.2,1.4,1.7,1.8,1.6,1.7,2.1,2.1,2.2,2.4,2.4,2.2,2.1,2.0,1.9,2.0,2.3,2.4,2.7,2.7,2.5,2.2,2.3,2.6,2.5,1.9,1.9,4.7,2.5,2.5,2.4,2.2,2.0,1.9,1.9,1.8,1.8,1.7,1.5,1.4,1.3,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
Turkey,2.6,2.6,2.7,2.8,2.9,3.0,3.2,3.3,3.2,3.1,2.9,2.6,2.4,2.4,2.3,2.3,2.2,2.3,2.3,2.3,2.3,2.5,2.7,2.6,2.6,2.3,2.2,2.1,2.1,2.0,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2.1,2.0,2.0,1.8,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.1
Turkmenistan,1.9,2.1,2.4,2.4,2.6,2.5,3.2,3.7,3.5,3.6,3.8,3.7,3.6,3.4,3.1,2.9,3.0,3.0,3.0,3.1,3.0,3.0,2.9,3.0,3.0,2.8,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.6,2.6,2.4,2.3,2.4,2.4,2.3,2.3,2.2,1.9,1.6,1.4,1.5,1.5,1.4,1.3,1.3,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.1
Uganda,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.1,2.7,2.2,2.0,2.3,2.6,2.6,2.7,2.7,2.4,2.3,2.5,2.8,3.0,3.3,3.4,3.6,4.1,4.2,4.1,3.7,3.5,3.6,3.8,3.7,2.9,2.8,3.0,3.1,3.4,3.3,3.1,3.2,3.3,3.4,3.3,3.3,3.2,3.1,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.3
Ukraine,1.8,1.5,1.4,1.2,1.0,1.5,1.8,1.7,1.6,1.5,1.3,1.2,1.3,1.2,1.0,1.0,1.0,0.9,0.8,0.8,0.9,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.4,0.2,0.2,0.2,0.3,0.0,-0.5,-0.8,-0.8,-0.9,-0.9,-0.9,-1.0,-1.0,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.5,-0.4,-0.4,-0.4,-0.2,-0.2,-1.0,-1.1,-0.5
"United Arab Emirates",2.5,2.7,2.9,3.2,3.5,3.8,4.1,4.5,4.9,5.3,5.8,6.3,6.8,7.5,8.1,8.9,9.7,11.2,14.1,14.5,15.5,16.7,16.4,15.8,15.3,14.4,14.3,13.9,13.5,13.1,6.9,6.3,6.3,6.2,6.2,6.1,5.8,6.0,6.1,6.1,6.0,6.2,6.2,6.2,6.0,5.8,5.6,5.5,5.4,5.3,5.2,5.0,4.9,4.7,4.6,4.4,4.2,4.0,3.8,3.7,3.5,3.2,3.0,2.8,2.7,2.6
"United Kingdom",0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.6,0.8,0.8,0.9,0.6,0.7,0.7,0.5,0.6,0.5,0.4,0.3,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,-0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5
"United States",1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.7,1.5,1.4,1.4,1.3,1.2,1.1,1.0,1.0,1.2,1.3,1.1,1.0,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.3,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.0,0.9,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.8
Uruguay,1.3,1.3,1.4,1.4,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.4,1.3,1.2,1.1,1.0,1.0,1.0,0.9,0.8,0.1,0.1,0.2,0.1,0.2,0.6,0.6,0.6,0.6,0.5,-2.8,4.2,0.7,0.6,0.1,0.6,0.6,0.6,0.7,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"Soviet Union",1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.5,1.4,1.2,1.1,1.1,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.9,1.0,0.9,0.9,0.9,0.8,0.5,0.7,0.6,0.3,0.1,-0.1,-0.1,-0.1,-0.1,,,,,,,,,,,,,,,,,,,
Uzbekistan,3.1,2.9,3.1,2.5,2.4,2.9,3.4,3.3,3.4,3.7,3.9,3.9,3.7,3.5,3.3,3.2,3.2,3.4,3.2,3.0,3.3,3.3,3.2,3.2,3.1,3.0,2.8,2.7,2.6,2.5,2.5,2.6,2.0,3.2,2.7,2.8,2.7,2.1,2.1,2.5,2.6,2.6,2.4,2.2,2.1,2.0,1.8,1.6,1.5,1.4,1.3,1.3,1.2,1.1,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Venezuela,4.2,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.6,3.5,3.4,3.4,3.5,3.6,3.7,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.0,2.9,2.7,3.0,3.0,2.9,2.7,2.7,2.6,2.6,2.6,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.8,1.7,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4
Vietnam,1.8,1.8,1.8,1.8,1.9,2.1,2.4,2.7,3.0,3.2,3.3,3.3,3.4,3.3,3.2,3.0,2.8,2.7,2.5,2.5,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.2,1.9,2.0,2.2,2.3,2.3,2.3,2.3,2.2,2.3,2.2,2.6,2.1,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.0
"West Germany",1.1,0.7,1.0,1.0,1.0,1.2,1.2,1.2,1.1,1.0,1.3,1.2,1.0,1.0,1.1,0.9,0.2,0.4,1.0,1.0,1.1,0.6,0.5,0.1,-0.4,-0.5,-0.2,-0.1,0.1,0.3,0.2,-0.1,-0.3,-0.4,-0.2,0.1,0.0,0.6,1.0,2.4,0.9,1.2,1.0,0.5,0.5,0.4,0.3,,,,,,,,,,,,,,,,,,,
Yemen,1.9,1.9,2.0,2.0,2.0,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,1.8,1.8,1.8,1.7,1.7,2.2,2.1,2.3,2.3,2.3,3.0,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.0,3.1,3.2,3.3,3.4,3.6,3.8,3.8,3.9,3.7,3.0,3.0,3.0,3.1,3.1,3.0,3.1,3.1,3.0,2.9,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.8,2.6,2.5
Yugoslavia,1.4,1.1,1.4,1.3,1.2,0.8,0.9,0.8,1.0,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,0.8,0.7,0.9,0.9,0.8,0.9,0.9,1.0,0.9,0.9,0.8,0.6,0.4,0.8,0.6,0.3,0.6,0.6,0.4,0.5,0.4,1.7,0.4,-0.8,-1.0,-0.4,-0.1,-0.2,0.1,,,,,,,,,,,,,,,,,,,
Zambia,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.6,2.6,2.7,2.8,2.8,2.8,3.1,2.9,3.0,3.0,3.1,2.9,2.9,3.0,3.0,3.0,3.0,3.3,3.7,3.9,3.6,3.3,3.6,3.6,3.2,3.0,3.0,2.8,2.8,2.7,2.7,2.6,2.6,2.8,2.8,2.8,3.0,3.0,2.7,2.5,2.5,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Zimbabwe,3.4,4.4,3.6,3.6,3.1,3.5,3.3,3.2,3.3,3.2,3.2,3.3,3.1,2.8,3.3,3.2,3.3,3.5,3.5,3.0,3.1,3.1,2.4,2.8,2.7,2.4,2.2,1.9,1.8,4.1,3.6,2.8,3.8,3.9,3.9,3.7,3.8,3.7,3.2,2.9,2.8,2.7,2.4,1.0,0.7,1.4,1.3,1.2,1.1,0.7,0.4,0.0,-0.4,-0.7,-0.8,-0.8,-0.9,-0.8,0.4,2.3,3.7,4.4,4.5,4.5,3.3,2.2
