Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
India,,,,,,,,,,,,,,,22,22.3333,22.6667,23,23.3333,23.6667,24,24.24,24.48,24.72,24.96,25.20000076,25.48,25.76,26.04,26.32,26.60000038,27.35,28.10000038,28.70000076,
Indonesia,30.39999962,30.39999962,30.39999962,30.8667,31.3333,31.79999924,36.5,36.70000076,30.39999962,30.39999962,30.20000076,31.39999962,30.89999962,33.5,35,37.59999847,37.90000153,39.79999924,38.79999924,38.90000153,37.29999924,37.5,36.90000153,35.90000153,38.70000076,37.20000076,39.29999924,39.90000153,40.79999924,41.5,42.29999924,43,43.09999847,44.79999924,44.79999924
Iran,,,46.79999924,46.6214,46.4429,46.2643,46.0857,45.9071,45.7286,45.55,45.3714,45.1929,45.0143,44.8357,44.6571,44.4786,44.29999924,44.3556,44.4111,44.4667,44.5222,44.5778,44.6333,44.6889,44.7444,44.79999924,45.09999847,45.09999847,46.5,47.29999924,48.59999847,48.525,48.45,48.375,48.29999924
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,65.19999695,58.9,52.59999847,59.70000076,58.29999924,,,,,,
Ireland,,,,53.40000153,54.29999924,55.59999847,55.59999847,57,57,56.70000076,56.40000153,57.29999924,57.70000076,59.5,59,59.59999847,61,60.20000076,61.5,62.20000076,62.59999847,63.29999924,64.5,65.19999695,65.59999847,65.80000305,66.30000305,66.59999847,67.90000153,72.19999695,74.40000153,75.5,76.09999847,75.30000305,75.19999695
"Isle of Man",,,,,,,,,,,,,,,,,,,,,,82.5,82.66,82.82,82.98,83.14,83.30000305,,,,,,,,
Israel,62.09999847,62.70000076,63.70000076,63.70000076,64.30000305,65,65.19999695,65,66.5,67.40000153,67.5,67.19999695,67.30000305,67,67.5,67.69999695,68.40000153,69.40000153,71.19999695,72.09999847,73,73.90000153,74.69999695,75.09999847,75,75.69999695,75.90000153,75.59999847,75.69999695,77.09999847,77.19999695,77.19999695,79,79.5,79.69999695
Italy,48.70000076,49.90000153,51.40000153,52.29999924,54.5,56,56.90000153,57.70000076,58.40000153,58.90000153,59.29999924,59.5,57.40000153,58.79999924,59.29999924,59.79999924,60.5,61.5,61.5,62.20000076,63,63.09999847,63.5,63.5,65,65.09999847,65.69999695,65.90000153,66.5,67.09999847,67.59999847,68,68.69999695,69.40000153,69.5
Jamaica,,,,,,,,,,,,,53.09999847,55.5,56.29999924,56.5,57,60,60.70000076,61.29999924,62,61.90000153,62.40000153,62.09999847,63.20000076,64,63.90000153,64.19999695,63.09999847,63.20000076,63.79999924,66.30000305,66.5,66.5,
Japan,54,54.5,55.20000076,55.70000076,55.90000153,56,56.70000076,57.5,57.5,57.70000076,58.20000076,58.40000153,58.5,59.29999924,59.70000076,60.40000153,60.79999924,61.09999847,62.09999847,62.5,63.09999847,63.90000153,64.80000305,64.80000305,65.5,66,66.09999847,66.30000305,66.80000305,68.80000305,69.5,27.89999962,69.19999695,69.09999847,
Jordan,,,,71.59999847,72.9333,74.2667,75.59999847,76.30000305,76.0692,75.8385,75.6077,75.3769,75.1462,74.9154,74.6846,74.4538,74.2231,73.9923,73.7615,73.5308,73.30000305,74.09999847,74.59999847,74.80000305,69.69999695,76,76.90000153,77.40000153,78.30000305,77.69999695,80.5,80.09999847,79.30000305,79.90000153,79.59999847
Kazakhstan,,,,,,,,,,,,,,,,,,,,53.20000076,50.65,48.09999847,48.20000076,47.79999924,49.09999847,49.59999847,50,49.90000153,50.90000153,52.29999924,53,54.59999847,55.09999847,56,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,32.20000076,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,89.80000305,88.06,86.32,84.58,82.84,81.09999847,77.24,73.38,69.52,65.66,61.79999924,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.09999847,,
Kuwait,,,,72.30000305,72.48,72.66,72.84,73.02,73.19999695,73.3143,73.4286,73.5429,73.6571,73.7714,73.8857,74,74.9625,75.925,76.8875,77.85,78.8125,79.775,80.7375,81.69999695,78.9,76.09999847,74.8333,73.5667,72.30000305,70.0167,67.7333,65.45,63.1667,60.8833,58.59999847
Kyrgyzstan,,,,,,,36.20000076,35.5,35.70000076,35.20000076,39.40000153,38,39.29999924,39.70000076,38.70000076,36.09999847,38.29999924,38.20000076,37.90000153,36.09999847,36.5,36.70000076,38.90000153,41.70000076,43.5,43.90000153,44.29999924,45.20000076,45.29999924,46.025,46.75,47.475,48.20000076,48.09999847,
Laos,,,,,,,,,,,,,,,,11.10000038,11.7067,12.3133,12.92,13.5267,14.1333,14.74,15.3467,15.9533,16.56,17.1667,17.7733,18.38,18.9867,19.5933,20.20000076,,,,
Latvia,,,,,,,,,,,,,,,,,55.40000153,52.40000153,53.90000153,57,58.59999847,57.29999924,58,58.5,59.29999924,61.40000153,61,61.20000076,62.59999847,66.90000153,68.30000305,68,68.09999847,67.90000153,68.59999847
Lesotho,,,,,,,,,,,,,,,,,30.70000076,28.29999924,23.3,18.29999924,21.3222,24.3444,27.3667,30.3889,33.4111,36.4333,39.4556,42.4778,45.5,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.89999962,23.6667,32.4333,41.20000076,,,,
Libya,47.40000153,46.3667,45.3333,44.29999924,44.05,43.79999924,50.20000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,50.79999924,51.40000153,53.09999847,54.40000153,55.79999924,53.70000076,54.09999847,55.09999847,56.09999847,56.20000076,57.79999924,61,63.90000153,66.40000153,66.69999695,65.59999847,65.59999847,65.80000305
