Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Latvia,,,,,,,,,,,,,,,,,0.2,0.65,1.1,1.8,1.875,1.95,2.025,2.1,2.175,2.25,2.325,2.4,2.1,1.1,0.6,1,1.7,1.5,1,0.9,0.7,0.5,,
Lesotho,,,,,,,,,,59.7,59.4375,59.175,58.9125,58.65,58.3875,58.125,57.8625,57.6,56.4125,55.225,54.0375,52.85,51.6625,50.475,49.2875,48.1,48.025,47.95,47.875,47.8,47.725,47.65,47.575,47.5,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9,47.1571,44.4143,41.6714,38.9286,36.1857,33.4429,30.7,,
Lithuania,,,,,,,,,,,,0.1,1.68,3.26,4.84,6.42,8,7.5182,7.0364,6.5545,6.0727,5.5909,5.1091,4.6273,4.1455,3.6636,3.1818,2.7,1.8,1.3,1.1,1.3,2,1.6,0.8,0.9,0.8,1.2,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.2,8.3,6.5,5.4,4.5,
Madagascar,,,,34.3,35.5538,36.8077,38.0615,39.3154,40.5692,41.8231,43.0769,44.3308,45.5846,46.8385,48.0923,49.3462,50.6,50.05,49.5,48.95,48.4,47.95,47.5,49.85,52.2,52.1,52,51.9,51.8,52.98,54.16,55.34,56.52,57.7,57.95,58.2,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,45.8,46.8143,47.8286,48.8429,49.8571,50.8714,51.8857,52.9,52.9,52.9,52.9,52.9,52.9,52.9,,,,,,
Malaysia,,,,,,,,3.4,3.2667,3.1333,3,2.85,2.7,2.6667,2.6333,2.6,2.6333,2.6667,2.7,2.05,1.4,1.2857,1.1714,1.0571,0.9429,0.8286,0.7143,0.6,0.6667,0.7333,0.8,0.7,0.6,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,10.5571,10.0143,9.4714,8.9286,8.3857,7.8429,7.3,,,,,,,
Mali,,,,,,,,,,,,,,,,,,67.4,63.8143,60.2286,56.6429,53.0571,49.4714,45.8857,42.3,41.28,40.26,39.24,38.22,37.2,36.7667,36.3333,35.9,,,,,,,
Mauritania,,,,,,,,,,,32.2,32.05,31.9,31.75,31.6,31.45,31.3,24.7,18.1,17.78,17.46,17.14,16.82,16.5,15.825,15.15,14.475,13.8,13.025,12.25,11.475,10.7,10,9.3,8.6,7.9,7.2,6.5,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,
Mexico,,,,,,,,7.3,7.4875,7.675,7.8625,8.05,8.2375,8.425,8.6125,8.8,8.5,8.2,10.1,12,12.1,12.2,10.8,9.4,8.8,8.2,6.65,5.1,4.3,3.5,3.65,3.8,3.75,3.7,3.35,3,3.15,3.3,,
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,10.4125,10.925,11.4375,11.95,12.4625,12.975,13.4875,14,,,
Moldova,,,,,,,,,,,,,,,,,,,,,15,23.1,30.5,28.6,23.1,14.8,8.7,9.5,13,3.1,1.8,2,1.7,1.1,0.7,0.6,0.3,0.1,0.2,
Mongolia,,,,,,,,,,,,,,,,,,,12.3,15.9667,19.6333,23.3,20.125,16.95,13.775,10.6,8.98,7.36,5.74,4.12,2.5,2.3,2.1,1.9,1.3,0.8,0.65,0.5,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.2,0.1,0.1,0.1,0.3,1,0.9,0.1,,
Morocco,,,,,,,,10.2,9.25,8.3,7.35,6.4,5.45,4.5,4.9125,5.325,5.7375,6.15,6.5625,6.975,7.3875,7.8,7.6,7.4,6.85,6.3,5.75,5.2,4.65,4.1,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,65,64.2333,63.4667,62.7,61.9333,61.1667,60.4,58.9,57.4,55.9,54.4,52.9,51.4,,,,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,23.4333,22.4667,21.5,20.5333,19.5667,18.6,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,43.9,42.6625,41.425,40.1875,38.95,37.7125,36.475,35.2375,34,31.4,28.8,26.2,23.6,21,18.4,15.8,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Nicaragua,,,,,,,,,,,,,,,,,30,28.12,26.24,24.36,22.48,20.6,18.6667,16.7333,14.8,13.325,11.85,10.375,8.9,8.525,8.15,7.775,7.4,6.7,6,5.3,4.6,3.9,,
Niger,,,,,,,,,,,,,,,,56.2,59,61.8,61.2182,60.6364,60.0545,59.4727,58.8909,58.3091,57.7273,57.1455,56.5636,55.9818,55.4,53.2,51,47.4,43.8,40.2,36.6,35.7,34.8,33.9,,
Nigeria,,,,,,,,,34.5,35.8571,37.2143,38.5714,39.9286,41.2857,42.6429,44,45.1,46.2,47.3,48.4,47.3143,46.2286,45.1429,44.0571,42.9714,41.8857,40.8,40.7167,40.6333,40.55,40.4667,40.3833,40.3,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,
Pakistan,,,,,,,,,,,43.8,43.4667,43.1333,42.8,38.7167,34.6333,30.55,26.4667,22.3833,18.3,20.05,21.8,22.9,24,25.1,22.9,20.7,18.5,17.5,16.45,15.4,14.2333,13.0667,11.9,11.4,10.45,9.5,,,
Panama,,,7.8,9.16,10.52,11.88,13.24,14.6,15.96,17.32,18.68,20.04,21.4,20.25,19.1,18.05,17,15.95,14.9,14.1,13.3,13.7,12,13,13.8,10,9.7,8.9,8.4,9.1,6.8,4.6,3.2,3.9,3.6,3.8,2.8,3.3,2.2,
"Papua New Guinea",,,,,,,,,,,,,,,,,,,,42.4,41.4615,40.5231,39.5846,38.6462,37.7077,36.7692,35.8308,34.8923,33.9538,33.0154,32.0769,31.1385,30.2,,,,,,,
Paraguay,,,,,,,,,,,,,,1.3,3.12,4.94,6.76,8.58,10.4,9.6,8.8,8.7,8.6,8.2,7.8,11.4,7.9,6.2,6.3,8.4,7,4.9,5.5,5.3,4.9,3.5,2.3,2.5,2.4,
Peru,,,,,,,,,,,,,,,,,,,,,14.7,14,14.4,13.5,14.5,12.7,10.8,10.2,11.4,10,8.4,6.8,5.6,4.4,4,3.8,3.4,3,3,
Philippines,,,,,,,,,22.2,21.6667,21.1333,20.6,20.6667,20.7333,20.8,20.4333,20.0667,19.7,18.1667,16.6333,15.1,14.6667,14.2333,13.8,13.4333,13.0667,12.7,12.9667,13.2333,13.5,12.7,11.9,11.1,11.4,11.7,12,11.1333,10.2667,9.4,
Poland,,,,,,,,,,,,,,,,,0.5,1.8,3.1,4.4,2.25,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.1,0.3,0.2,0.2,0.1,0.4,0.6,0.7,0.5,,
Romania,,,,,,,,,,,,,,,,,,,,,,2.9,7.5,8.3,6.5,6.4,5,3.7,3,3,2.1,1,0.8,1,0.9,0.8,0.8,,,
Russia,,,,,,,,,,,,,,,,,2.8,3,3.2,3.4,1.4,2,3.7,2.6,2,1,1.1,1,0.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Rwanda,,,,,,,,43.7,44.5375,45.375,46.2125,47.05,47.8875,48.725,49.5625,50.4,51.2375,52.075,52.9125,53.75,54.5875,55.425,56.2625,57.1,55.72,54.34,52.96,51.58,50.2,48.92,47.64,46.36,45.08,43.8,43.7667,43.7333,43.7,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,,,24.4,24.64,24.88,25.12,25.36,25.6,25.84,26.08,26.32,26.56,26.8,,,,,,
Senegal,,,,,,,,,,,,,,,53.3,49.6333,45.9667,42.3,41.4143,40.5286,39.6429,38.7571,37.8714,36.9857,36.1,34.55,33,31.45,29.9,29.85,29.8,29.75,29.7,29.65,29.6,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.5,0.8,1.1,0.5,0.3,0.2,0.3,0.3,0.3,0.3,0.3,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,
