Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7,0.7,0.7,0.7,0.9,0.7,0.7,0.9,0.5,0.6,0.5,0.6,1.2,0.9,1.1,0.6,0.6,1,1.4,1.2,1.2,1.3,1.6,1.4,1.5,1.8,1.6
Panama,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.5,1.4,2.5,1.3,0.9,1.5,0.9,0.9,0.9556,1.0111,1.0667,1.1222,1.1778,1.2333,1.2889,1.3444,1.4,1.7,3.1,2.6,2,2.2,2.4,2.5,3,3.7,3.2,2.7,2.5,3.5,2.3,3.6,3.2,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2.1,1.9,2,1.4,1.8,1.9,2,1.9,1.4,1.6,1.7,1.8,1.7,2.4,1.7,1.7,1.4,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3,1.4,1.2,1.4333,1.6667,1.9,2.1,2,1.1,1.7,1.3,1.4,1.25,1.1,1.3,1.5,1.1,0.9,5.4,4.9,4.5,5,4.8,5.4,5.9,4.8,5,5.2,5.3,5,5,4.6,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.9,5.9,6,5.7,5.66,5.62,5.58,5.54,5.5,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.1,7,6.6,6.2,6,5.9,5.5,5.6,5.3,4.8,4.8,4.7,4.3,3.8,3.7,3.6,3.4333,3.2667,3.1,2.9,2.9,2.6,2.5,2.3,2.2,2.2,2.2,2.3,2.1,2.1,2,1.8,1.8
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.6,0.4,0.3,0.5,0.4,0.3,0.4,0.4,0.6,0.7,0.7,0.6,0.8,1,1.1,1.2,1.3,1.1,1.2,1.1,1.5,1.9,1.7,1.675,1.65,1.625,1.6,1.5,1.7,1.8,1.8,1.8,2
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7,0.8,0.9,0.7,0.6,0.8,1.1,1.2,1.3,1.5,1.4,1.4,1.7,3.7,3.8,3.6,4,3.9,3.5,3.9,3.7,3.6,3.6,3.8,3.8,3.8,3.6,3.8,4,4.1,4,4.1,
Scotland,1.1,0.8,0.5,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1,0.8,0.9,0.8,0.8,0.9,1,1.1,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.2,1.4,1.5,1.4,1.5,1.3,1.9,1.8,1.7,1.9,2.2,2,2,1.8,2,1.8,1.9,2.1,2.4,2.7
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.2,3.7,3.4,3.5,3.4,3.3,3.2,3.2,3.2,2.9,3.2,2.5,2.8,2.8,3.2
