Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Central African Republic",4.953553798,-3.713800184,-0.707010752,2.080324599,0.947578712,0.64478372,4.676613109,1.404113177,7.091542528,2.332880877,1.130202384,-0.000867175,1.888939956,6.339033612,0.404987104,5.432518987,3.806234914,1.209235419,-2.465137785,-4.478638848,-1.544465665,7.715783631,-8.126513593,9.481726653,3.927219538,3.577979254,-4.938987885,1.710165285,1.977270435,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,1.70923922,3.046634733,3.300719157,4.112797869,-36.69995244,1.040018047,4.799886081,4.531285963
Chad,1.397743671,5.360116109,-1.599454015,-2.510939603,0.606227786,-1.807092392,0.767201382,-0.457218867,6.881310224,1.859656479,-2.247626372,1.149616095,-8.380883008,4.961852583,9.010267306,2.98076527,2.234624849,-0.469634188,-21.44108769,-6.047670747,1.042918103,5.346608999,15.67871778,2.048898911,21.79277353,-4.081667517,-2.388808497,15.48235907,4.884735103,-4.178472373,8.535137166,8.001443346,-15.70983705,10.13688763,1.236549317,2.214473035,5.653392328,6.951579914,-0.682850217,-0.879681025,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052691532,4.217695552,13.55010086,0.082869798,8.882576072,5.700001363,6.899985045,1.799999521,-7
"Channel Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,,,,,,
Chile,5.245271886,4.026685625,5.840140137,2.557220542,0.950272505,11.23624245,3.615999855,3.592013329,3.937983279,1.828966971,9.422686212,-1.019947795,-5.029248355,2.382149332,-12.91210105,3.832584009,10.44468638,7.701103605,8.418304686,7.986620757,6.525370365,-11.01430506,-5.017420525,4.103683242,4.009916202,5.377692322,6.460468528,7.345110455,9.923382897,3.333565473,7.804392186,11.16670773,6.588783827,5.030197977,8.933295869,6.802916596,7.427889808,4.324579497,-0.412096167,5.326938419,3.303047313,3.106970532,4.091047685,7.209539709,5.742830489,6.317176343,4.905324504,3.529530553,-1.564239443,5.844177296,6.110918829,5.318628,4.045004298,1.909693358,2.252536753,1.589022564
China,-27.27,-5.57999999,10.3,18.17999999,16.95,10.65,-5.770000004,-4.099999992,16.94,19.3,7.060000003,3.809999998,7.760000002,2.31,8.72,-1.570000003,7.569999999,11.666644,7.6,7.80669145,5.172413792,8.934426228,10.83521445,15.13917176,13.44339623,8.939708941,11.6889313,11.23451516,4.185867897,3.907113896,9.294075913,14.21616358,13.86757602,13.05215872,10.94922737,9.928372463,9.230769231,7.837613919,7.66748617,8.491508492,8.33991055,9.130645945,10.03560303,10.11122346,11.39577594,12.71947902,14.23138804,9.654289373,9.399813171,10.63614046,9.536443008,7.85626211,7.757635146,7.297665959,6.900204824,6.699999993
Colombia,5.265372382,5.466500282,2.904114678,6.602341595,3.012487197,5.322368129,4.190635447,6.427444336,6.520935067,6.956515099,5.951223099,7.673414682,6.72748176,5.742522109,2.248047059,4.817187269,4.148013439,8.46345,5.382853373,4.098199161,2.263216774,0.948480319,1.584376304,3.355101016,3.088264652,5.83829241,5.371506806,4.059821002,3.417426656,6.042038478,2.277231497,5.032677497,2.365650574,5.835811494,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806,4.874065579,4.39360834,3.052016573,1.960049844
Comoros,,,,,,,,,,,,,,,,,,,,,3.864921144,6.383623377,4.821027935,4.110264251,2.280371874,1.867211764,1.637991097,2.687518788,-3.180675367,5.091392685,-5.395598907,8.530923433,3.005937478,-5.276682038,3.610129478,-1.291668436,4.030340669,1.282662475,1.924123666,10.84807495,2.332936494,2.324779259,2.104101953,1.919602379,2.837407764,2.646899868,0.800152799,0.400266855,1.949999978,2.199999982,2.600000088,2.999999972,3.499999994,2.061639469,1.015118459,2.2
"Congo (Kinshasa)",-10.85137608,21.20069751,5.213990134,-2.440223564,0.997348794,6.775485302,-0.985738661,4.332698464,9.328837439,-0.245056575,6.005018067,0.151135514,8.137275887,3.130585879,-4.981631005,-5.309002081,0.760793602,-5.345291528,0.430088262,2.194912924,2.350524075,-0.457677609,1.411703688,5.541074022,0.467850951,4.717209653,2.675642451,0.470381337,-1.266050636,-6.568310695,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320981058,6.259469847,6.225900286,2.855060107,7.078889424,6.864630026,7.157859628,8.503503317,9.509963565,6.88273,2.205299999
"Congo (Brazzaville)",8.350726724,5.202308789,-4.029300398,3.816796268,3.676467736,1.358982462,2.116272058,7.631326238,7.548525194,6.358470188,7.753035853,8.617550844,8.231188944,7.885520809,7.731596839,0.916286753,-8.953427981,6.35974701,9.813224739,17.63660548,17.61972247,23.59769996,5.85396284,6.976131056,-1.185660855,-6.861526437,0.189376641,1.766263429,2.599876517,1.000003567,2.395367454,2.611948052,-0.979683206,-5.493075745,3.985324378,4.290481556,-0.62481215,3.73755277,-2.582199357,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249,6.779940953,2.646447938,-1.86466295
"Costa Rica",-0.955940444,8.148320009,4.784711578,4.149052116,9.829617279,7.870708095,5.650125928,8.385017746,5.577729803,7.503134358,6.778505415,8.178045142,7.708915804,5.544900006,2.100071039,5.517564409,8.90447443,6.267686829,4.93912395,0.751895407,-2.261655509,-7.285568852,2.862992703,6.201703582,1.041412268,5.784949499,6.875439664,3.819392962,5.065672856,3.904917795,2.571919975,9.196560573,7.087517585,4.48726748,4.121496228,1.237816293,5.564945334,6.96170009,3.943353886,3.73453301,3.490469432,3.291753197,4.255476254,4.336575111,3.870873066,7.237732806,8.167896116,4.649598462,-0.970548313,4.951863844,4.30710166,4.796919919,2.2690274,3.656803633,4.723266702,4.328788006
